#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# EvPSNet: Evidential Panoptic Segmentation Network for Uncertainy-aware Panoptic Segmentation  EvPSNet is the first approach to tackle the task of uncertainty-aware panoptic segmentation, with an aim to provide per-pixel semantic and instance label together with per-pixel panoptic uncertainty estimation.  !
1-1	0-1	#	*[523]|*[780]	SOFTWARE[523]|SOFTWARE[780]
3-22	434-435	\[	*[780]	SOFTWARE[780]
3-23	435-452	Uncertainty-aware	*[780]	SOFTWARE[780]
3-24	453-461	Panoptic	*[780]	SOFTWARE[780]
3-25	462-474	Segmentation	*[780]	SOFTWARE[780]
3-26	474-475	\]	*[780]	SOFTWARE[780]
3-27	475-476	(	*[780]	SOFTWARE[780]
3-28	476-481	https	*[780]	SOFTWARE[780]
3-29	481-482	:	*[780]	SOFTWARE[780]
3-30	482-483	/	*[780]	SOFTWARE[780]
3-31	483-484	/	*[780]	SOFTWARE[780]
3-32	484-493	arxiv.org	*[780]	SOFTWARE[780]
3-33	493-494	/	*[780]	SOFTWARE[780]
3-34	494-497	abs	*[780]	SOFTWARE[780]
3-35	497-498	/	*[780]	SOFTWARE[780]
3-36	498-508	2206.14554	*[780]	SOFTWARE[780]
3-37	508-509	)	*[780]	SOFTWARE[780]
3-38	509-510	.	*[780]	SOFTWARE[780]

#Text=The repository builds on \[EfficientPS\](https://github.com/DeepSceneSeg/EfficientPS), \[mmdetection\](https://github.com/open-mmlab/mmdetection) and \[gen-efficientnet-pytorch\](https://github.com/rwightman/gen-efficientnet-pytorch) codebases.
4-1	511-514	The	*[780]	SOFTWARE[780]
4-2	515-525	repository	*[780]	SOFTWARE[780]
4-3	526-532	builds	*[780]	SOFTWARE[780]
4-4	533-535	on	*[780]	SOFTWARE[780]
4-5	536-537	\[	*[780]	SOFTWARE[780]
4-6	537-548	EfficientPS	*[780]	SOFTWARE[780]
4-7	548-549	\]	*[780]	SOFTWARE[780]
4-8	549-550	(	*[780]	SOFTWARE[780]
4-9	550-555	https	*[780]	SOFTWARE[780]
4-10	555-556	:	*[780]	SOFTWARE[780]
4-11	556-557	/	*[780]	SOFTWARE[780]
4-12	557-558	/	*[780]	SOFTWARE[780]
4-13	558-568	github.com	*[780]	SOFTWARE[780]
4-14	568-569	/	*[780]	SOFTWARE[780]
4-15	569-581	DeepSceneSeg	*[780]	SOFTWARE[780]
4-16	581-582	/	*[780]	SOFTWARE[780]
4-17	582-593	EfficientPS	*[780]	SOFTWARE[780]
4-18	593-594	)	*[780]	SOFTWARE[780]
4-19	594-595	,	*[780]	SOFTWARE[780]
4-20	596-597	\[	*[780]	SOFTWARE[780]
4-21	597-608	mmdetection	*[780]	SOFTWARE[780]
4-22	608-609	\]	*[780]	SOFTWARE[780]
4-23	609-610	(	*[780]	SOFTWARE[780]
4-24	610-615	https	*[780]	SOFTWARE[780]
4-25	615-616	:	*[780]	SOFTWARE[780]
4-26	616-617	/	*[780]	SOFTWARE[780]
4-27	617-618	/	*[780]	SOFTWARE[780]
4-28	618-628	github.com	*[780]	SOFTWARE[780]
4-29	628-629	/	*[780]	SOFTWARE[780]
4-30	629-639	open-mmlab	*[780]	SOFTWARE[780]
4-31	639-640	/	*[780]	SOFTWARE[780]
4-32	640-651	mmdetection	*[780]	SOFTWARE[780]
4-33	651-652	)	*[780]	SOFTWARE[780]
4-34	653-656	and	*[780]	SOFTWARE[780]
4-35	657-658	\[	*[780]	SOFTWARE[780]
4-36	658-682	gen-efficientnet-pytorch	*[780]	SOFTWARE[780]
4-36	675-682	pytorch	*[780]	SOFTWARE[780]
4-37	682-683	\]	*[780]	SOFTWARE[780]
4-38	683-684	(	*[780]	SOFTWARE[780]
4-39	684-689	https	*[780]	SOFTWARE[780]
4-40	689-690	:	*[780]	SOFTWARE[780]
4-41	690-691	/	*[780]	SOFTWARE[780]
4-42	691-692	/	*[780]	SOFTWARE[780]
4-43	692-702	github.com	*[780]	SOFTWARE[780]
4-44	702-703	/	*[780]	SOFTWARE[780]
4-45	703-712	rwightman	*[780]	SOFTWARE[780]
4-46	712-713	/	*[780]	SOFTWARE[780]
4-47	713-737	gen-efficientnet-pytorch	*[780]	SOFTWARE[780]
4-47	730-737	pytorch	*[780]	SOFTWARE[780]
4-48	737-738	)	*[780]	SOFTWARE[780]
4-49	739-748	codebases	*[780]	SOFTWARE[780]
4-50	748-749	.	*[780]	SOFTWARE[780]

#Text=If you find the code useful for your research, please consider citing our paper: ``` @article{sirohi2023uncertainty,   title={Uncertainty-aware panoptic segmentation},   author={Sirohi, Kshitij and Marvi, Sajad and B{\\"u}scher, Daniel and Burgard, Wolfram},   journal={IEEE Robotics and Automation Letters},   volume={8},   number={5},   pages={2629--2636},   year={2023},   publisher={IEEE} } ```  ## System Requirements \* Linux  \* Python 3.7 \* PyTorch 1.7 \* CUDA 10.2 \* GCC 7 or 8  \*\*IMPORTANT NOTE\*\*: These requirements are not necessarily mandatory.
5-1	751-753	If	*[780]	SOFTWARE[780]
5-2	754-757	you	*[780]	SOFTWARE[780]
5-3	758-762	find	*[780]	SOFTWARE[780]
5-4	763-766	the	*[780]	SOFTWARE[780]
5-5	767-771	code	*[780]	SOFTWARE[780]
5-6	772-778	useful	*[780]	SOFTWARE[780]
5-7	779-782	for	*[780]	SOFTWARE[780]
5-8	783-787	your	*[780]	SOFTWARE[780]
5-9	788-796	research	*[780]	SOFTWARE[780]
5-10	796-797	,	*[780]	SOFTWARE[780]
5-11	798-804	please	*[780]	SOFTWARE[780]
5-12	805-813	consider	*[780]	SOFTWARE[780]
5-13	814-820	citing	*[780]	SOFTWARE[780]
5-14	821-824	our	*[780]	SOFTWARE[780]
5-15	825-830	paper	*[780]	SOFTWARE[780]
5-16	830-831	:	*[780]	SOFTWARE[780]
5-17	832-833	`	*[780]	SOFTWARE[780]
5-18	833-834	`	*[780]	SOFTWARE[780]
5-19	834-835	`	*[780]	SOFTWARE[780]
5-20	836-837	@	*[780]	SOFTWARE[780]
5-21	837-844	article	*[780]	SOFTWARE[780]
5-22	844-845	{	*[780]	SOFTWARE[780]
5-23	845-866	sirohi2023uncertainty	*[780]	SOFTWARE[780]
5-24	866-867	,	*[780]	SOFTWARE[780]
5-25	870-875	title	*[780]	SOFTWARE[780]
5-26	875-876	=	*[780]	SOFTWARE[780]
5-27	876-877	{	*[780]	SOFTWARE[780]
5-28	877-894	Uncertainty-aware	*[780]	SOFTWARE[780]
5-29	895-903	panoptic	*[780]	SOFTWARE[780]
5-30	904-916	segmentation	*[780]	SOFTWARE[780]
5-31	916-917	}	*[780]	SOFTWARE[780]
5-32	917-918	,	*[780]	SOFTWARE[780]
5-33	921-927	author	*[780]	SOFTWARE[780]
5-34	927-928	=	*[780]	SOFTWARE[780]
5-35	928-929	{	*[780]	SOFTWARE[780]
5-36	929-935	Sirohi	*[780]	SOFTWARE[780]
5-37	935-936	,	*[780]	SOFTWARE[780]
5-38	937-944	Kshitij	*[780]	SOFTWARE[780]
5-39	945-948	and	*[780]	SOFTWARE[780]
5-40	949-954	Marvi	*[780]	SOFTWARE[780]
5-41	954-955	,	*[780]	SOFTWARE[780]
5-42	956-961	Sajad	*[780]	SOFTWARE[780]
5-43	962-965	and	*[780]	SOFTWARE[780]
5-44	966-967	B	*[780]	SOFTWARE[780]
5-45	967-968	{	*[780]	SOFTWARE[780]
5-46	968-969	\\	*[780]	SOFTWARE[780]
