#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# A Glitch in the Matrix?
1-1	0-1	#	*[523]|*[774]	SOFTWARE[523]|SOFTWARE[774]
3-75	672-673	\*	*[774]	SOFTWARE[774]
3-76	674-679	Large	*[774]	SOFTWARE[774]
3-77	680-688	language	*[774]	SOFTWARE[774]
3-78	689-695	models	*[774]	SOFTWARE[774]
3-79	696-697	(	*[774]	SOFTWARE[774]
3-80	697-701	LLMs	*[774]	SOFTWARE[774]
3-81	701-702	)	*[774]	SOFTWARE[774]
3-82	703-707	have	*[774]	SOFTWARE[774]
3-83	708-710	an	*[774]	SOFTWARE[774]
3-84	711-721	impressive	*[774]	SOFTWARE[774]
3-85	722-729	ability	*[774]	SOFTWARE[774]
3-86	730-732	to	*[774]	SOFTWARE[774]
3-87	733-737	draw	*[774]	SOFTWARE[774]
3-88	738-740	on	*[774]	SOFTWARE[774]
3-89	741-746	novel	*[774]	SOFTWARE[774]
3-90	747-758	information	*[774]	SOFTWARE[774]
3-91	759-767	supplied	*[774]	SOFTWARE[774]
3-92	768-770	in	*[774]	SOFTWARE[774]
3-93	771-776	their	*[774]	SOFTWARE[774]
3-94	777-784	context	*[774]	SOFTWARE[774]
3-95	784-785	.	*[774]	SOFTWARE[774]

#Text=Yet the mechanisms underlying this contextual grounding remain unknown, especially in situations where contextual information contradicts factual knowledge stored in the parameters, which LLMs also excel at recalling.
4-1	786-789	Yet	*[774]	SOFTWARE[774]
4-2	790-793	the	*[774]	SOFTWARE[774]
4-3	794-804	mechanisms	*[774]	SOFTWARE[774]
4-4	805-815	underlying	*[774]	SOFTWARE[774]
4-5	816-820	this	*[774]	SOFTWARE[774]
4-6	821-831	contextual	*[774]	SOFTWARE[774]
4-7	832-841	grounding	*[774]	SOFTWARE[774]
4-8	842-848	remain	*[774]	SOFTWARE[774]
4-9	849-856	unknown	*[774]	SOFTWARE[774]
4-10	856-857	,	*[774]	SOFTWARE[774]
4-11	858-868	especially	*[774]	SOFTWARE[774]
4-12	869-871	in	*[774]	SOFTWARE[774]
4-13	872-882	situations	*[774]	SOFTWARE[774]
4-14	883-888	where	*[774]	SOFTWARE[774]
4-15	889-899	contextual	*[774]	SOFTWARE[774]
4-16	900-911	information	*[774]	SOFTWARE[774]
4-17	912-923	contradicts	*[774]	SOFTWARE[774]
4-18	924-931	factual	*[774]	SOFTWARE[774]
4-19	932-941	knowledge	*[774]	SOFTWARE[774]
4-20	942-948	stored	*[774]	SOFTWARE[774]
4-21	949-951	in	*[774]	SOFTWARE[774]
4-22	952-955	the	*[774]	SOFTWARE[774]
4-23	956-966	parameters	*[774]	SOFTWARE[774]
4-24	966-967	,	*[774]	SOFTWARE[774]
4-25	968-973	which	*[774]	SOFTWARE[774]
4-26	974-978	LLMs	*[774]	SOFTWARE[774]
4-27	979-983	also	*[774]	SOFTWARE[774]
4-28	984-989	excel	*[774]	SOFTWARE[774]
4-29	990-992	at	*[774]	SOFTWARE[774]
4-30	993-1002	recalling	*[774]	SOFTWARE[774]
4-31	1002-1003	.	*[774]	SOFTWARE[774]

#Text=Favoring the contextual information is critical for retrieval-augmented generation methods, which enrich the context with up-to-date information, hoping that grounding can rectify outdated or noisy stored knowledge.
5-1	1004-1012	Favoring	*[774]	SOFTWARE[774]
5-2	1013-1016	the	*[774]	SOFTWARE[774]
5-3	1017-1027	contextual	*[774]	SOFTWARE[774]
5-4	1028-1039	information	*[774]	SOFTWARE[774]
5-5	1040-1042	is	*[774]	SOFTWARE[774]
5-6	1043-1051	critical	*[774]	SOFTWARE[774]
5-7	1052-1055	for	*[774]	SOFTWARE[774]
5-8	1056-1075	retrieval-augmented	*[774]	SOFTWARE[774]
5-9	1076-1086	generation	*[774]	SOFTWARE[774]
5-10	1087-1094	methods	*[774]	SOFTWARE[774]
5-11	1094-1095	,	*[774]	SOFTWARE[774]
5-12	1096-1101	which	*[774]	SOFTWARE[774]
5-13	1102-1108	enrich	*[774]	SOFTWARE[774]
5-14	1109-1112	the	*[774]	SOFTWARE[774]
5-15	1113-1120	context	*[774]	SOFTWARE[774]
5-16	1121-1125	with	*[774]	SOFTWARE[774]
5-17	1126-1136	up-to-date	*[774]	SOFTWARE[774]
5-18	1137-1148	information	*[774]	SOFTWARE[774]
5-19	1148-1149	,	*[774]	SOFTWARE[774]
5-20	1150-1156	hoping	*[774]	SOFTWARE[774]
5-21	1157-1161	that	*[774]	SOFTWARE[774]
5-22	1162-1171	grounding	*[774]	SOFTWARE[774]
5-23	1172-1175	can	*[774]	SOFTWARE[774]
5-24	1176-1183	rectify	*[774]	SOFTWARE[774]
5-25	1184-1192	outdated	*[774]	SOFTWARE[774]
5-26	1193-1195	or	*[774]	SOFTWARE[774]
5-27	1196-1201	noisy	*[774]	SOFTWARE[774]
5-28	1202-1208	stored	*[774]	SOFTWARE[774]
5-29	1209-1218	knowledge	*[774]	SOFTWARE[774]
5-30	1218-1219	.	*[774]	SOFTWARE[774]

#Text=We present a novel method to study grounding abilities using Fakepedia, a dataset of counterfactual texts constructed to clash with a model's internal parametric knowledge.
6-1	1220-1222	We	*[774]	SOFTWARE[774]
6-2	1223-1230	present	*[774]	SOFTWARE[774]
6-3	1231-1232	a	*[774]	SOFTWARE[774]
6-4	1233-1238	novel	*[774]	SOFTWARE[774]
6-5	1239-1245	method	*[774]	SOFTWARE[774]
6-6	1246-1248	to	*[774]	SOFTWARE[774]
6-7	1249-1254	study	*[774]	SOFTWARE[774]
6-8	1255-1264	grounding	*[774]	SOFTWARE[774]
6-9	1265-1274	abilities	*[774]	SOFTWARE[774]
6-10	1275-1280	using	*[774]	SOFTWARE[774]
6-11	1281-1290	Fakepedia	*[774]	SOFTWARE[774]
6-12	1290-1291	,	*[774]	SOFTWARE[774]
6-13	1292-1293	a	*[774]	SOFTWARE[774]
6-14	1294-1301	dataset	*[774]	SOFTWARE[774]
6-15	1302-1304	of	*[774]	SOFTWARE[774]
6-16	1305-1319	counterfactual	*[774]	SOFTWARE[774]
6-17	1320-1325	texts	*[774]	SOFTWARE[774]
6-18	1326-1337	constructed	*[774]	SOFTWARE[774]
6-19	1338-1340	to	*[774]	SOFTWARE[774]
6-20	1341-1346	clash	*[774]	SOFTWARE[774]
6-21	1347-1351	with	*[774]	SOFTWARE[774]
6-22	1352-1353	a	*[774]	SOFTWARE[774]
6-23	1354-1361	model's	*[774]	SOFTWARE[774]
6-24	1362-1370	internal	*[774]	SOFTWARE[774]
6-25	1371-1381	parametric	*[774]	SOFTWARE[774]
6-26	1382-1391	knowledge	*[774]	SOFTWARE[774]
6-27	1391-1392	.	*[774]	SOFTWARE[774]

#Text=We benchmark various LLMs with Fakepedia and then we conduct a causal mediation analysis, based on our Masked Grouped Causal Tracing (MGCT), on LLM components when answering Fakepedia queries.
7-1	1393-1395	We	*[774]	SOFTWARE[774]
7-2	1396-1405	benchmark	*[774]	SOFTWARE[774]
7-3	1406-1413	various	*[774]	SOFTWARE[774]
7-4	1414-1418	LLMs	*[774]	SOFTWARE[774]
7-5	1419-1423	with	*[774]	SOFTWARE[774]
7-6	1424-1433	Fakepedia	*[774]	SOFTWARE[774]
7-7	1434-1437	and	*[774]	SOFTWARE[774]
7-8	1438-1442	then	*[774]	SOFTWARE[774]
7-9	1443-1445	we	*[774]	SOFTWARE[774]
7-10	1446-1453	conduct	*[774]	SOFTWARE[774]
7-11	1454-1455	a	*[774]	SOFTWARE[774]
7-12	1456-1462	causal	*[774]	SOFTWARE[774]
7-13	1463-1472	mediation	*[774]	SOFTWARE[774]
7-14	1473-1481	analysis	*[774]	SOFTWARE[774]
7-15	1481-1482	,	*[774]	SOFTWARE[774]
7-16	1483-1488	based	*[774]	SOFTWARE[774]
7-17	1489-1491	on	*[774]	SOFTWARE[774]
7-18	1492-1495	our	*[774]	SOFTWARE[774]
7-19	1496-1502	Masked	*[774]	SOFTWARE[774]
7-20	1503-1510	Grouped	*[774]	SOFTWARE[774]
7-21	1511-1517	Causal	*[774]	SOFTWARE[774]
7-22	1518-1525	Tracing	*[774]	SOFTWARE[774]
7-23	1526-1527	(	*[774]	SOFTWARE[774]
7-24	1527-1531	MGCT	*[774]	SOFTWARE[774]
7-25	1531-1532	)	*[774]	SOFTWARE[774]
7-26	1532-1533	,	*[774]	SOFTWARE[774]
7-27	1534-1536	on	*[774]	SOFTWARE[774]
7-28	1537-1540	LLM	*[774]	SOFTWARE[774]
7-29	1541-1551	components	*[774]	SOFTWARE[774]
7-30	1552-1556	when	*[774]	SOFTWARE[774]
7-31	1557-1566	answering	*[774]	SOFTWARE[774]
7-32	1567-1576	Fakepedia	*[774]	SOFTWARE[774]
7-33	1577-1584	queries	*[774]	SOFTWARE[774]
7-34	1584-1585	.	*[774]	SOFTWARE[774]

#Text=Within this analysis, we identify distinct computational patterns between grounded and ungrounded responses.
8-1	1586-1592	Within	*[774]	SOFTWARE[774]
8-2	1593-1597	this	*[774]	SOFTWARE[774]
8-3	1598-1606	analysis	*[774]	SOFTWARE[774]
8-4	1606-1607	,	*[774]	SOFTWARE[774]
8-5	1608-1610	we	*[774]	SOFTWARE[774]
8-6	1611-1619	identify	*[774]	SOFTWARE[774]
8-7	1620-1628	distinct	*[774]	SOFTWARE[774]
8-8	1629-1642	computational	*[774]	SOFTWARE[774]
8-9	1643-1651	patterns	*[774]	SOFTWARE[774]
8-10	1652-1659	between	*[774]	SOFTWARE[774]
8-11	1660-1668	grounded	*[774]	SOFTWARE[774]
8-12	1669-1672	and	*[774]	SOFTWARE[774]
8-13	1673-1683	ungrounded	*[774]	SOFTWARE[774]
8-14	1684-1693	responses	*[774]	SOFTWARE[774]
8-15	1693-1694	.	*[774]	SOFTWARE[774]

#Text=We finally demonstrate that distinguishing grounded from ungrounded responses is achievable through computational analysis alone.
9-1	1695-1697	We	*[774]	SOFTWARE[774]
9-2	1698-1705	finally	*[774]	SOFTWARE[774]
9-3	1706-1717	demonstrate	*[774]	SOFTWARE[774]
9-4	1718-1722	that	*[774]	SOFTWARE[774]
9-5	1723-1737	distinguishing	*[774]	SOFTWARE[774]
9-6	1738-1746	grounded	*[774]	SOFTWARE[774]
9-7	1747-1751	from	*[774]	SOFTWARE[774]
9-8	1752-1762	ungrounded	*[774]	SOFTWARE[774]
9-9	1763-1772	responses	*[774]	SOFTWARE[774]
9-10	1773-1775	is	*[774]	SOFTWARE[774]
9-11	1776-1786	achievable	*[774]	SOFTWARE[774]
9-12	1787-1794	through	*[774]	SOFTWARE[774]
9-13	1795-1808	computational	*[774]	SOFTWARE[774]
9-14	1809-1817	analysis	*[774]	SOFTWARE[774]
9-15	1818-1823	alone	*[774]	SOFTWARE[774]
9-16	1823-1824	.	*[774]	SOFTWARE[774]

#Text=Our results, together with existing findings about factual recall mechanisms, provide a coherent narrative of how grounding and factual recall mechanisms interact within LLMs.
10-1	1825-1828	Our	*[774]	SOFTWARE[774]
10-2	1829-1836	results	*[774]	SOFTWARE[774]
10-3	1836-1837	,	*[774]	SOFTWARE[774]
10-4	1838-1846	together	*[774]	SOFTWARE[774]
10-5	1847-1851	with	*[774]	SOFTWARE[774]
10-6	1852-1860	existing	*[774]	SOFTWARE[774]
10-7	1861-1869	findings	*[774]	SOFTWARE[774]
10-8	1870-1875	about	*[774]	SOFTWARE[774]
10-9	1876-1883	factual	*[774]	SOFTWARE[774]
10-10	1884-1890	recall	*[774]	SOFTWARE[774]
10-11	1891-1901	mechanisms	*[774]	SOFTWARE[774]
10-12	1901-1902	,	*[774]	SOFTWARE[774]
10-13	1903-1910	provide	*[774]	SOFTWARE[774]
10-14	1911-1912	a	*[774]	SOFTWARE[774]
10-15	1913-1921	coherent	*[774]	SOFTWARE[774]
10-16	1922-1931	narrative	*[774]	SOFTWARE[774]
10-17	1932-1934	of	*[774]	SOFTWARE[774]
10-18	1935-1938	how	*[774]	SOFTWARE[774]
10-19	1939-1948	grounding	*[774]	SOFTWARE[774]
10-20	1949-1952	and	*[774]	SOFTWARE[774]
10-21	1953-1960	factual	*[774]	SOFTWARE[774]
10-22	1961-1967	recall	*[774]	SOFTWARE[774]
10-23	1968-1978	mechanisms	*[774]	SOFTWARE[774]
10-24	1979-1987	interact	*[774]	SOFTWARE[774]
10-25	1988-1994	within	*[774]	SOFTWARE[774]
10-26	1995-1999	LLMs	*[774]	SOFTWARE[774]
10-27	1999-2000	.	*[774]	SOFTWARE[774]
