#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Cross-lingual analysis  This repository contains the translation codes used in the paper \[A cost-benefit analysis of cross-lingual transfer methods\](https://arxiv.org/abs/2105.06813).
1-1	0-1	#	*[523]|*[779]	SOFTWARE[523]|SOFTWARE[779]
2-17	280-281	(	*[779]	SOFTWARE[779]
2-18	281-284	e.g	*[779]	SOFTWARE[779]
2-19	284-285	.	*[779]	SOFTWARE[779]
2-20	285-286	,	*[779]	SOFTWARE[779]
2-21	287-295	accuracy	*[779]	SOFTWARE[779]
2-22	295-296	)	*[779]	SOFTWARE[779]
2-23	296-297	,	*[779]	SOFTWARE[779]
2-24	298-309	development	*[779]	SOFTWARE[779]
2-25	310-313	and	*[779]	SOFTWARE[779]
2-26	314-324	deployment	*[779]	SOFTWARE[779]
2-27	325-330	costs	*[779]	SOFTWARE[779]
2-28	330-331	,	*[779]	SOFTWARE[779]
2-29	332-334	as	*[779]	SOFTWARE[779]
2-30	335-339	well	*[779]	SOFTWARE[779]
2-31	340-342	as	*[779]	SOFTWARE[779]
2-32	343-348	their	*[779]	SOFTWARE[779]
2-33	349-358	latencies	*[779]	SOFTWARE[779]
2-34	359-361	at	*[779]	SOFTWARE[779]
2-35	362-371	inference	*[779]	SOFTWARE[779]
2-36	372-376	time	*[779]	SOFTWARE[779]
2-37	376-377	.	*[779]	SOFTWARE[779]

#Text=We experiment with the following transfer learning techniques: 1) fine-tuning a bilingual model on a source language and evaluating it on the target language without translation, i.e., in a zero-shot manner\; 2) automatic translation of the training dataset to the target language\; 3) automatic translation of the test set to the source language at inference time and evaluation of a model fine-tuned in English.
3-1	378-380	We	*[779]	SOFTWARE[779]
3-2	381-391	experiment	*[779]	SOFTWARE[779]
3-3	392-396	with	*[779]	SOFTWARE[779]
3-4	397-400	the	*[779]	SOFTWARE[779]
3-5	401-410	following	*[779]	SOFTWARE[779]
3-6	411-419	transfer	*[779]	SOFTWARE[779]
3-7	420-428	learning	*[779]	SOFTWARE[779]
3-8	429-439	techniques	*[779]	SOFTWARE[779]
3-9	439-440	:	*[779]	SOFTWARE[779]
3-10	441-442	1	*[779]	SOFTWARE[779]
3-11	442-443	)	*[779]	SOFTWARE[779]
3-12	444-455	fine-tuning	*[779]	SOFTWARE[779]
3-13	456-457	a	*[779]	SOFTWARE[779]
3-14	458-467	bilingual	*[779]	SOFTWARE[779]
3-15	468-473	model	*[779]	SOFTWARE[779]
3-16	474-476	on	*[779]	SOFTWARE[779]
3-17	477-478	a	*[779]	SOFTWARE[779]
3-18	479-485	source	*[779]	SOFTWARE[779]
3-19	486-494	language	*[779]	SOFTWARE[779]
3-20	495-498	and	*[779]	SOFTWARE[779]
3-21	499-509	evaluating	*[779]	SOFTWARE[779]
3-22	510-512	it	*[779]	SOFTWARE[779]
3-23	513-515	on	*[779]	SOFTWARE[779]
3-24	516-519	the	*[779]	SOFTWARE[779]
3-25	520-526	target	*[779]	SOFTWARE[779]
3-26	527-535	language	*[779]	SOFTWARE[779]
3-27	536-543	without	*[779]	SOFTWARE[779]
3-28	544-555	translation	*[779]	SOFTWARE[779]
3-29	555-556	,	*[779]	SOFTWARE[779]
3-30	557-560	i.e	*[779]	SOFTWARE[779]
3-31	560-561	.	*[779]	SOFTWARE[779]
3-32	561-562	,	*[779]	SOFTWARE[779]
3-33	563-565	in	*[779]	SOFTWARE[779]
3-34	566-567	a	*[779]	SOFTWARE[779]
3-35	568-577	zero-shot	*[779]	SOFTWARE[779]
3-36	578-584	manner	*[779]	SOFTWARE[779]
3-37	584-585	\;	*[779]	SOFTWARE[779]
3-38	586-587	2	*[779]	SOFTWARE[779]
3-39	587-588	)	*[779]	SOFTWARE[779]
3-40	589-598	automatic	*[779]	SOFTWARE[779]
3-41	599-610	translation	*[779]	SOFTWARE[779]
3-42	611-613	of	*[779]	SOFTWARE[779]
3-43	614-617	the	*[779]	SOFTWARE[779]
3-44	618-626	training	*[779]	SOFTWARE[779]
3-45	627-634	dataset	*[779]	SOFTWARE[779]
3-46	635-637	to	*[779]	SOFTWARE[779]
3-47	638-641	the	*[779]	SOFTWARE[779]
3-48	642-648	target	*[779]	SOFTWARE[779]
3-49	649-657	language	*[779]	SOFTWARE[779]
3-50	657-658	\;	*[779]	SOFTWARE[779]
3-51	659-660	3	*[779]	SOFTWARE[779]
3-52	660-661	)	*[779]	SOFTWARE[779]
3-53	662-671	automatic	*[779]	SOFTWARE[779]
3-54	672-683	translation	*[779]	SOFTWARE[779]
3-55	684-686	of	*[779]	SOFTWARE[779]
3-56	687-690	the	*[779]	SOFTWARE[779]
3-57	691-695	test	*[779]	SOFTWARE[779]
3-58	696-699	set	*[779]	SOFTWARE[779]
3-59	700-702	to	*[779]	SOFTWARE[779]
3-60	703-706	the	*[779]	SOFTWARE[779]
3-61	707-713	source	*[779]	SOFTWARE[779]
3-62	714-722	language	*[779]	SOFTWARE[779]
3-63	723-725	at	*[779]	SOFTWARE[779]
3-64	726-735	inference	*[779]	SOFTWARE[779]
3-65	736-740	time	*[779]	SOFTWARE[779]
3-66	741-744	and	*[779]	SOFTWARE[779]
3-67	745-755	evaluation	*[779]	SOFTWARE[779]
3-68	756-758	of	*[779]	SOFTWARE[779]
3-69	759-760	a	*[779]	SOFTWARE[779]
3-70	761-766	model	*[779]	SOFTWARE[779]
3-71	767-777	fine-tuned	*[779]	SOFTWARE[779]
3-72	778-780	in	*[779]	SOFTWARE[779]
3-73	781-788	English	*[779]	SOFTWARE[779]
3-74	788-789	.	*[779]	SOFTWARE[779]

#Text=Finally, by combining zero-shot and translation methods, we achieve the state-of-the-art in two of the three datasets used in this work.
4-1	790-797	Finally	*[779]	SOFTWARE[779]
4-2	797-798	,	*[779]	SOFTWARE[779]
4-3	799-801	by	*[779]	SOFTWARE[779]
4-4	802-811	combining	*[779]	SOFTWARE[779]
4-5	812-821	zero-shot	*[779]	SOFTWARE[779]
4-6	822-825	and	*[779]	SOFTWARE[779]
4-7	826-837	translation	*[779]	SOFTWARE[779]
4-8	838-845	methods	*[779]	SOFTWARE[779]
4-9	845-846	,	*[779]	SOFTWARE[779]
4-10	847-849	we	*[779]	SOFTWARE[779]
4-11	850-857	achieve	*[779]	SOFTWARE[779]
4-12	858-861	the	*[779]	SOFTWARE[779]
4-13	862-878	state-of-the-art	*[779]	SOFTWARE[779]
4-14	879-881	in	*[779]	SOFTWARE[779]
4-15	882-885	two	*[779]	SOFTWARE[779]
4-16	886-888	of	*[779]	SOFTWARE[779]
4-17	889-892	the	*[779]	SOFTWARE[779]
4-18	893-898	three	*[779]	SOFTWARE[779]
4-19	899-907	datasets	*[779]	SOFTWARE[779]
4-20	908-912	used	*[779]	SOFTWARE[779]
4-21	913-915	in	*[779]	SOFTWARE[779]
4-22	916-920	this	*[779]	SOFTWARE[779]
4-23	921-925	work	*[779]	SOFTWARE[779]
4-24	925-926	.	*[779]	SOFTWARE[779]

#Text=The study is a result of an ongoing Master's Program.  ## Evaluation benchmarks The models were benchmarked on three tasks (Question Answering, Natural Language Inference and Passage Text Ranking) and compared to previous published results.
5-1	927-930	The	*[779]	SOFTWARE[779]
5-2	931-936	study	*[779]	SOFTWARE[779]
5-3	937-939	is	*[779]	SOFTWARE[779]
5-4	940-941	a	*[779]	SOFTWARE[779]
5-5	942-948	result	*[779]	SOFTWARE[779]
5-6	949-951	of	*[779]	SOFTWARE[779]
5-7	952-954	an	*[779]	SOFTWARE[779]
5-8	955-962	ongoing	*[779]	SOFTWARE[779]
5-9	963-971	Master's	*[779]	SOFTWARE[779]
5-10	972-979	Program	*[779]	SOFTWARE[779]
5-11	979-980	.	*[779]	SOFTWARE[779]
5-12	982-983	#	*[779]	SOFTWARE[779]
5-13	983-984	#	*[779]	SOFTWARE[779]
5-14	985-995	Evaluation	*[779]	SOFTWARE[779]
5-15	996-1006	benchmarks	*[779]	SOFTWARE[779]
5-16	1007-1010	The	*[779]	SOFTWARE[779]
5-17	1011-1017	models	*[779]	SOFTWARE[779]
5-18	1018-1022	were	*[779]	SOFTWARE[779]
5-19	1023-1034	benchmarked	*[779]	SOFTWARE[779]
5-20	1035-1037	on	*[779]	SOFTWARE[779]
5-21	1038-1043	three	*[779]	SOFTWARE[779]
5-22	1044-1049	tasks	*[779]	SOFTWARE[779]
5-23	1050-1051	(	*[779]	SOFTWARE[779]
5-24	1051-1059	Question	*[779]	SOFTWARE[779]
5-25	1060-1069	Answering	*[779]	SOFTWARE[779]
5-26	1069-1070	,	*[779]	SOFTWARE[779]
5-27	1071-1078	Natural	*[779]	SOFTWARE[779]
5-28	1079-1087	Language	*[779]	SOFTWARE[779]
5-29	1088-1097	Inference	*[779]	SOFTWARE[779]
5-30	1098-1101	and	*[779]	SOFTWARE[779]
5-31	1102-1109	Passage	*[779]	SOFTWARE[779]
5-32	1110-1114	Text	*[779]	SOFTWARE[779]
5-33	1115-1122	Ranking	*[779]	SOFTWARE[779]
5-34	1122-1123	)	*[779]	SOFTWARE[779]
5-35	1124-1127	and	*[779]	SOFTWARE[779]
5-36	1128-1136	compared	*[779]	SOFTWARE[779]
5-37	1137-1139	to	*[779]	SOFTWARE[779]
5-38	1140-1148	previous	*[779]	SOFTWARE[779]
5-39	1149-1158	published	*[779]	SOFTWARE[779]
5-40	1159-1166	results	*[779]	SOFTWARE[779]
5-41	1166-1167	.	*[779]	SOFTWARE[779]

#Text=Metrics are: Exact Match and F1-score for Q&A, Accuracy and F1-score for NLI and MRR@10 for Text Ranking
6-1	1168-1175	Metrics	*[779]	SOFTWARE[779]
6-2	1176-1179	are	*[779]	SOFTWARE[779]
6-3	1179-1180	:	*[779]	SOFTWARE[779]
6-4	1181-1186	Exact	*[779]	SOFTWARE[779]
6-5	1187-1192	Match	*[779]	SOFTWARE[779]
6-6	1193-1196	and	*[779]	SOFTWARE[779]
6-7	1197-1199	F1	*[779]	SOFTWARE[779]
6-8	1199-1200	-	*[779]	SOFTWARE[779]
6-9	1200-1205	score	*[779]	SOFTWARE[779]
6-10	1206-1209	for	*[779]	SOFTWARE[779]
6-11	1210-1211	Q	*[779]	SOFTWARE[779]
6-12	1211-1212	&	*[779]	SOFTWARE[779]
6-13	1212-1213	A	*[779]	SOFTWARE[779]
6-14	1213-1214	,	*[779]	SOFTWARE[779]
6-15	1215-1223	Accuracy	*[779]	SOFTWARE[779]
6-16	1224-1227	and	*[779]	SOFTWARE[779]
6-17	1228-1230	F1	*[779]	SOFTWARE[779]
6-18	1230-1231	-	*[779]	SOFTWARE[779]
6-19	1231-1236	score	*[779]	SOFTWARE[779]
6-20	1237-1240	for	*[779]	SOFTWARE[779]
6-21	1241-1244	NLI	*[779]	SOFTWARE[779]
6-22	1245-1248	and	*[779]	SOFTWARE[779]
6-23	1249-1252	MRR	*[779]	SOFTWARE[779]
6-24	1252-1253	@	*[779]	SOFTWARE[779]
6-25	1253-1255	10	*[779]	SOFTWARE[779]
6-26	1256-1259	for	*[779]	SOFTWARE[779]
6-27	1260-1264	Text	*[779]	SOFTWARE[779]
6-28	1265-1272	Ranking	*[779]	SOFTWARE[779]

#Text=.
7-1	1272-1273	.	*[779]	SOFTWARE[779]

#Text=\| Model                           \| Pre-train     \| Fine-tune       \| F1           \| Accuracy    \|  \| ------------------------------- \| ------------- \| --------------- \| ------------ \| ----------- \|  \| mBERT (Souza et al
8-1	1275-1276	\|	*[779]	SOFTWARE[779]
8-2	1277-1282	Model	*[779]	SOFTWARE[779]
8-3	1309-1310	\|	*[779]	SOFTWARE[779]
8-4	1311-1320	Pre-train	*[779]	SOFTWARE[779]
8-5	1325-1326	\|	*[779]	SOFTWARE[779]
8-6	1327-1336	Fine-tune	*[779]	SOFTWARE[779]
8-7	1343-1344	\|	*[779]	SOFTWARE[779]
8-8	1345-1347	F1	*[779]	SOFTWARE[779]
8-9	1358-1359	\|	*[779]	SOFTWARE[779]
8-10	1360-1368	Accuracy	*[779]	SOFTWARE[779]
8-11	1372-1373	\|	*[779]	SOFTWARE[779]
8-12	1375-1376	\|	*[779]	SOFTWARE[779]
8-13	1377-1378	-	*[779]	SOFTWARE[779]
8-14	1378-1379	-	*[779]	SOFTWARE[779]
8-15	1379-1380	-	*[779]	SOFTWARE[779]
8-16	1380-1381	-	*[779]	SOFTWARE[779]
8-17	1381-1382	-	*[779]	SOFTWARE[779]
8-18	1382-1383	-	*[779]	SOFTWARE[779]
8-19	1383-1384	-	*[779]	SOFTWARE[779]
8-20	1384-1385	-	*[779]	SOFTWARE[779]
8-21	1385-1386	-	*[779]	SOFTWARE[779]
8-22	1386-1387	-	*[779]	SOFTWARE[779]
8-23	1387-1388	-	*[779]	SOFTWARE[779]
8-24	1388-1389	-	*[779]	SOFTWARE[779]
8-25	1389-1390	-	*[779]	SOFTWARE[779]
8-26	1390-1391	-	*[779]	SOFTWARE[779]
8-27	1391-1392	-	*[779]	SOFTWARE[779]
8-28	1392-1393	-	*[779]	SOFTWARE[779]
8-29	1393-1394	-	*[779]	SOFTWARE[779]
8-30	1394-1395	-	*[779]	SOFTWARE[779]
8-31	1395-1396	-	*[779]	SOFTWARE[779]
8-32	1396-1397	-	*[779]	SOFTWARE[779]
8-33	1397-1398	-	*[779]	SOFTWARE[779]
8-34	1398-1399	-	*[779]	SOFTWARE[779]
8-35	1399-1400	-	*[779]	SOFTWARE[779]
8-36	1400-1401	-	*[779]	SOFTWARE[779]
8-37	1401-1402	-	*[779]	SOFTWARE[779]
8-38	1402-1403	-	*[779]	SOFTWARE[779]
8-39	1403-1404	-	*[779]	SOFTWARE[779]
8-40	1404-1405	-	*[779]	SOFTWARE[779]
8-41	1405-1406	-	*[779]	SOFTWARE[779]
8-42	1406-1407	-	*[779]	SOFTWARE[779]
8-43	1407-1408	-	*[779]	SOFTWARE[779]
8-44	1409-1410	\|	*[779]	SOFTWARE[779]
8-45	1411-1412	-	*[779]	SOFTWARE[779]
8-46	1412-1413	-	*[779]	SOFTWARE[779]
8-47	1413-1414	-	*[779]	SOFTWARE[779]
8-48	1414-1415	-	*[779]	SOFTWARE[779]
8-49	1415-1416	-	*[779]	SOFTWARE[779]
8-50	1416-1417	-	*[779]	SOFTWARE[779]
8-51	1417-1418	-	*[779]	SOFTWARE[779]
8-52	1418-1419	-	*[779]	SOFTWARE[779]
8-53	1419-1420	-	*[779]	SOFTWARE[779]
8-54	1420-1421	-	*[779]	SOFTWARE[779]
8-55	1421-1422	-	*[779]	SOFTWARE[779]
8-56	1422-1423	-	*[779]	SOFTWARE[779]
8-57	1423-1424	-	*[779]	SOFTWARE[779]
8-58	1425-1426	\|	*[779]	SOFTWARE[779]
8-59	1427-1428	-	*[779]	SOFTWARE[779]
8-60	1428-1429	-	*[779]	SOFTWARE[779]
8-61	1429-1430	-	*[779]	SOFTWARE[779]
8-62	1430-1431	-	*[779]	SOFTWARE[779]
8-63	1431-1432	-	*[779]	SOFTWARE[779]
8-64	1432-1433	-	*[779]	SOFTWARE[779]
8-65	1433-1434	-	*[779]	SOFTWARE[779]
8-66	1434-1435	-	*[779]	SOFTWARE[779]
8-67	1435-1436	-	*[779]	SOFTWARE[779]
8-68	1436-1437	-	*[779]	SOFTWARE[779]
8-69	1437-1438	-	*[779]	SOFTWARE[779]
8-70	1438-1439	-	*[779]	SOFTWARE[779]
8-71	1439-1440	-	*[779]	SOFTWARE[779]
8-72	1440-1441	-	*[779]	SOFTWARE[779]
8-73	1441-1442	-	*[779]	SOFTWARE[779]
8-74	1443-1444	\|	*[779]	SOFTWARE[779]
8-75	1445-1446	-	*[779]	SOFTWARE[779]
8-76	1446-1447	-	*[779]	SOFTWARE[779]
8-77	1447-1448	-	*[779]	SOFTWARE[779]
8-78	1448-1449	-	*[779]	SOFTWARE[779]
8-79	1449-1450	-	*[779]	SOFTWARE[779]
8-80	1450-1451	-	*[779]	SOFTWARE[779]
8-81	1451-1452	-	*[779]	SOFTWARE[779]
8-82	1452-1453	-	*[779]	SOFTWARE[779]
8-83	1453-1454	-	*[779]	SOFTWARE[779]
8-84	1454-1455	-	*[779]	SOFTWARE[779]
8-85	1455-1456	-	*[779]	SOFTWARE[779]
8-86	1456-1457	-	*[779]	SOFTWARE[779]
8-87	1458-1459	\|	*[779]	SOFTWARE[779]
8-88	1460-1461	-	*[779]	SOFTWARE[779]
8-89	1461-1462	-	*[779]	SOFTWARE[779]
8-90	1462-1463	-	*[779]	SOFTWARE[779]
8-91	1463-1464	-	*[779]	SOFTWARE[779]
8-92	1464-1465	-	*[779]	SOFTWARE[779]
8-93	1465-1466	-	*[779]	SOFTWARE[779]
8-94	1466-1467	-	*[779]	SOFTWARE[779]
8-95	1467-1468	-	*[779]	SOFTWARE[779]
8-96	1468-1469	-	*[779]	SOFTWARE[779]
8-97	1469-1470	-	*[779]	SOFTWARE[779]
8-98	1470-1471	-	*[779]	SOFTWARE[779]
8-99	1472-1473	\|	*[779]	SOFTWARE[779]
8-100	1475-1476	\|	*[779]	SOFTWARE[779]
8-101	1477-1482	mBERT	*[779]	SOFTWARE[779]
8-102	1483-1484	(	*[779]	SOFTWARE[779]
8-103	1484-1489	Souza	*[779]	SOFTWARE[779]
8-104	1490-1492	et	*[779]	SOFTWARE[779]
8-105	1493-1495	al	*[779]	SOFTWARE[779]

#Text=.
9-1	1495-1496	.	*[779]	SOFTWARE[779]

#Text=)            \| 100 languages \|   ASSIN2        \|   0.8680     \|   0.8680    \| \| PTT5 (Carmo et al
10-1	1496-1497	)	*[779]	SOFTWARE[779]
10-2	1509-1510	\|	*[779]	SOFTWARE[779]
10-3	1511-1514	100	*[779]	SOFTWARE[779]
10-4	1515-1524	languages	*[779]	SOFTWARE[779]
10-5	1525-1526	\|	*[779]	SOFTWARE[779]
10-6	1529-1535	ASSIN2	*[779]	SOFTWARE[779]
10-7	1543-1544	\|	*[779]	SOFTWARE[779]
10-8	1547-1553	0.8680	*[779]	SOFTWARE[779]
10-9	1558-1559	\|	*[779]	SOFTWARE[779]
10-10	1562-1568	0.8680	*[779]	SOFTWARE[779]
10-11	1572-1573	\|	*[779]	SOFTWARE[779]
10-12	1574-1575	\|	*[779]	SOFTWARE[779]
10-13	1576-1580	PTT5	*[779]	SOFTWARE[779]
10-14	1581-1582	(	*[779]	SOFTWARE[779]
10-15	1582-1587	Carmo	*[779]	SOFTWARE[779]
10-16	1588-1590	et	*[779]	SOFTWARE[779]
10-17	1591-1593	al	*[779]	SOFTWARE[779]

#Text=.
11-1	1593-1594	.	*[779]	SOFTWARE[779]

#Text=)             \| EN & PT       \|   ASSIN2        \|   0.8850     \|   0.8860    \| \| BERTimbau Large (Souza et al
12-1	1594-1595	)	*[779]	SOFTWARE[779]
12-2	1608-1609	\|	*[779]	SOFTWARE[779]
12-3	1610-1612	EN	*[779]	SOFTWARE[779]
12-4	1613-1614	&	*[779]	SOFTWARE[779]
12-5	1615-1617	PT	*[779]	SOFTWARE[779]
12-6	1624-1625	\|	*[779]	SOFTWARE[779]
12-7	1628-1634	ASSIN2	*[779]	SOFTWARE[779]
12-8	1642-1643	\|	*[779]	SOFTWARE[779]
12-9	1646-1652	0.8850	*[779]	SOFTWARE[779]
12-10	1657-1658	\|	*[779]	SOFTWARE[779]
12-11	1661-1667	0.8860	*[779]	SOFTWARE[779]
12-12	1671-1672	\|	*[779]	SOFTWARE[779]
12-13	1673-1674	\|	*[779]	SOFTWARE[779]
12-14	1675-1684	BERTimbau	*[779]	SOFTWARE[779]
12-15	1685-1690	Large	*[779]	SOFTWARE[779]
12-16	1691-1692	(	*[779]	SOFTWARE[779]
12-17	1692-1697	Souza	*[779]	SOFTWARE[779]
12-18	1698-1700	et	*[779]	SOFTWARE[779]
12-19	1701-1703	al	*[779]	SOFTWARE[779]

#Text=.
13-1	1703-1704	.	*[779]	SOFTWARE[779]

#Text=)  \| EN & PT       \|   ASSIN2        \|   0.9000     \|   0.9000    \| \| BERT-pt (ours)                  \| EN & PT       \|  MNLI + ASSIN2  \|   0.9207     \|   0.9207    \|                       ## How to Translate   We made available the following data and the respectives notebooks with translation code: - \[SQuAD\](https://colab.research.google.com/drive/1CSNwfWJCwhFgYTtjxsDvUdN1DMuU\_P4-?
14-1	1704-1705	)	*[779]	SOFTWARE[779]
14-2	1707-1708	\|	*[779]	SOFTWARE[779]
14-3	1709-1711	EN	*[779]	SOFTWARE[779]
14-4	1712-1713	&	*[779]	SOFTWARE[779]
14-5	1714-1716	PT	*[779]	SOFTWARE[779]
14-6	1723-1724	\|	*[779]	SOFTWARE[779]
14-7	1727-1733	ASSIN2	*[779]	SOFTWARE[779]
14-8	1741-1742	\|	*[779]	SOFTWARE[779]
14-9	1745-1751	0.9000	*[779]	SOFTWARE[779]
14-10	1756-1757	\|	*[779]	SOFTWARE[779]
14-11	1760-1766	0.9000	*[779]	SOFTWARE[779]
14-12	1770-1771	\|	*[779]	SOFTWARE[779]
14-13	1772-1773	\|	*[779]	SOFTWARE[779]
14-14	1774-1781	BERT-pt	*[779]	SOFTWARE[779]
14-15	1782-1783	(	*[779]	SOFTWARE[779]
14-16	1783-1787	ours	*[779]	SOFTWARE[779]
14-17	1787-1788	)	*[779]	SOFTWARE[779]
14-18	1806-1807	\|	*[779]	SOFTWARE[779]
14-19	1808-1810	EN	*[779]	SOFTWARE[779]
14-20	1811-1812	&	*[779]	SOFTWARE[779]
14-21	1813-1815	PT	*[779]	SOFTWARE[779]
14-22	1822-1823	\|	*[779]	SOFTWARE[779]
14-23	1825-1829	MNLI	*[779]	SOFTWARE[779]
14-24	1830-1831	+	*[779]	SOFTWARE[779]
14-25	1832-1838	ASSIN2	*[779]	SOFTWARE[779]
14-26	1840-1841	\|	*[779]	SOFTWARE[779]
14-27	1844-1850	0.9207	*[779]	SOFTWARE[779]
14-28	1855-1856	\|	*[779]	SOFTWARE[779]
14-29	1859-1865	0.9207	*[779]	SOFTWARE[779]
14-30	1869-1870	\|	*[779]	SOFTWARE[779]
14-31	1893-1894	#	*[779]	SOFTWARE[779]
14-32	1894-1895	#	*[779]	SOFTWARE[779]
14-33	1896-1899	How	*[779]	SOFTWARE[779]
14-34	1900-1902	to	*[779]	SOFTWARE[779]
14-35	1903-1912	Translate	*[779]	SOFTWARE[779]
14-36	1915-1917	We	*[779]	SOFTWARE[779]
14-37	1918-1922	made	*[779]	SOFTWARE[779]
14-38	1923-1932	available	*[779]	SOFTWARE[779]
14-39	1933-1936	the	*[779]	SOFTWARE[779]
14-40	1937-1946	following	*[779]	SOFTWARE[779]
14-41	1947-1951	data	*[779]	SOFTWARE[779]
14-42	1952-1955	and	*[779]	SOFTWARE[779]
14-43	1956-1959	the	*[779]	SOFTWARE[779]
14-44	1960-1971	respectives	*[779]	SOFTWARE[779]
14-45	1972-1981	notebooks	*[779]	SOFTWARE[779]
14-46	1982-1986	with	*[779]	SOFTWARE[779]
14-47	1987-1998	translation	*[779]	SOFTWARE[779]
14-48	1999-2003	code	*[779]	SOFTWARE[779]
14-49	2003-2004	:	*[779]	SOFTWARE[779]
14-50	2005-2006	-	*[779]	SOFTWARE[779]
14-51	2007-2008	\[	*[779]	SOFTWARE[779]
14-52	2008-2013	SQuAD	*[779]	SOFTWARE[779]
14-53	2013-2014	\]	*[779]	SOFTWARE[779]
14-54	2014-2015	(	*[779]	SOFTWARE[779]
14-55	2015-2020	https	*[779]	SOFTWARE[779]
14-56	2020-2021	:	*[779]	SOFTWARE[779]
14-57	2021-2022	/	*[779]	SOFTWARE[779]
14-58	2022-2023	/	*[779]	SOFTWARE[779]
14-59	2023-2048	colab.research.google.com	*[779]	SOFTWARE[779]
14-59	2023-2028	colab	*[779]	SOFTWARE[779]
14-60	2048-2049	/	*[779]	SOFTWARE[779]
14-61	2049-2054	drive	*[779]	SOFTWARE[779]
14-62	2054-2055	/	*[779]	SOFTWARE[779]
14-63	2055-2087	1CSNwfWJCwhFgYTtjxsDvUdN1DMuU\_P4	*[779]	SOFTWARE[779]
14-64	2087-2088	-	*[779]	SOFTWARE[779]
14-65	2088-2089	?	*[779]	SOFTWARE[779]

#Text=usp=sharing) (Q&A) - \[FaQuAD\](https://colab.research.google.com/drive/1HdPjzn61genPyZfiDG5fqAwPNI4vhegw?
15-1	2089-2092	usp	*[779]	SOFTWARE[779]
15-2	2092-2093	=	*[779]	SOFTWARE[779]
15-3	2093-2100	sharing	*[779]	SOFTWARE[779]
15-4	2100-2101	)	*[779]	SOFTWARE[779]
15-5	2102-2103	(	*[779]	SOFTWARE[779]
15-6	2103-2104	Q	*[779]	SOFTWARE[779]
