#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=<h1 align="center">Jury</h1>  <p align="center"> <a href="https://pypi.org/project/jury"><img src="https://img.shields.io/pypi/pyversions/jury" alt="Python versions"></a> <a href="https://pepy.tech/project/jury"><img src="https://pepy.tech/badge/jury" alt="downloads"></a> <a href="https://pypi.org/project/jury"><img src="https://img.shields.io/pypi/v/jury?
1-1	0-1	<	*[523]|*[775]	SOFTWARE[523]|SOFTWARE[775]
1-35	83-87	jury	*[775]	SOFTWARE[775]
1-36	87-88	"	*[775]	SOFTWARE[775]
1-37	88-89	>	*[775]	SOFTWARE[775]
1-38	89-90	<	*[775]	SOFTWARE[775]
1-39	90-93	img	*[775]	SOFTWARE[775]
1-40	94-97	src	*[775]	SOFTWARE[775]
1-41	97-98	=	*[775]	SOFTWARE[775]
1-42	98-99	"	*[775]	SOFTWARE[775]
1-43	99-104	https	*[775]	SOFTWARE[775]
1-44	104-105	:	*[775]	SOFTWARE[775]
1-45	105-106	/	*[775]	SOFTWARE[775]
1-46	106-107	/	*[775]	SOFTWARE[775]
1-47	107-121	img.shields.io	*[775]	SOFTWARE[775]
1-48	121-122	/	*[775]	SOFTWARE[775]
1-49	122-126	pypi	*[775]	SOFTWARE[775]
1-50	126-127	/	*[775]	SOFTWARE[775]
1-51	127-137	pyversions	*[775]	SOFTWARE[775]
1-52	137-138	/	*[775]	SOFTWARE[775]
1-53	138-142	jury	*[775]	SOFTWARE[775]
1-54	142-143	"	*[775]	SOFTWARE[775]
1-55	144-147	alt	*[775]	SOFTWARE[775]
1-56	147-148	=	*[775]	SOFTWARE[775]
1-57	148-149	"	*[775]	SOFTWARE[775]
1-58	149-155	Python	*[775]	SOFTWARE[775]
1-59	156-164	versions	*[775]	SOFTWARE[775]
1-60	164-165	"	*[775]	SOFTWARE[775]
1-61	165-166	>	*[775]	SOFTWARE[775]
1-62	166-167	<	*[775]	SOFTWARE[775]
1-63	167-168	/	*[775]	SOFTWARE[775]
1-64	168-169	a	*[775]	SOFTWARE[775]
1-65	169-170	>	*[775]	SOFTWARE[775]
1-66	171-172	<	*[775]	SOFTWARE[775]
1-67	172-173	a	*[775]	SOFTWARE[775]
1-68	174-178	href	*[775]	SOFTWARE[775]
1-69	178-179	=	*[775]	SOFTWARE[775]
1-70	179-180	"	*[775]	SOFTWARE[775]
1-71	180-185	https	*[775]	SOFTWARE[775]
1-72	185-186	:	*[775]	SOFTWARE[775]
1-73	186-187	/	*[775]	SOFTWARE[775]
1-74	187-188	/	*[775]	SOFTWARE[775]
1-75	188-197	pepy.tech	*[775]	SOFTWARE[775]
1-76	197-198	/	*[775]	SOFTWARE[775]
1-77	198-205	project	*[775]	SOFTWARE[775]
1-78	205-206	/	*[775]	SOFTWARE[775]
1-79	206-210	jury	*[775]	SOFTWARE[775]
1-80	210-211	"	*[775]	SOFTWARE[775]
1-81	211-212	>	*[775]	SOFTWARE[775]
1-82	212-213	<	*[775]	SOFTWARE[775]
1-83	213-216	img	*[775]	SOFTWARE[775]
1-84	217-220	src	*[775]	SOFTWARE[775]
1-85	220-221	=	*[775]	SOFTWARE[775]
1-86	221-222	"	*[775]	SOFTWARE[775]
1-87	222-227	https	*[775]	SOFTWARE[775]
1-88	227-228	:	*[775]	SOFTWARE[775]
1-89	228-229	/	*[775]	SOFTWARE[775]
1-90	229-230	/	*[775]	SOFTWARE[775]
1-91	230-239	pepy.tech	*[775]	SOFTWARE[775]
1-92	239-240	/	*[775]	SOFTWARE[775]
1-93	240-245	badge	*[775]	SOFTWARE[775]
1-94	245-246	/	*[775]	SOFTWARE[775]
1-95	246-250	jury	*[775]	SOFTWARE[775]
1-96	250-251	"	*[775]	SOFTWARE[775]
1-97	252-255	alt	*[775]	SOFTWARE[775]
1-98	255-256	=	*[775]	SOFTWARE[775]
1-99	256-257	"	*[775]	SOFTWARE[775]
1-100	257-266	downloads	*[775]	SOFTWARE[775]
1-101	266-267	"	*[775]	SOFTWARE[775]
1-102	267-268	>	*[775]	SOFTWARE[775]
1-103	268-269	<	*[775]	SOFTWARE[775]
1-104	269-270	/	*[775]	SOFTWARE[775]
1-105	270-271	a	*[775]	SOFTWARE[775]
1-106	271-272	>	*[775]	SOFTWARE[775]
1-107	273-274	<	*[775]	SOFTWARE[775]
1-108	274-275	a	*[775]	SOFTWARE[775]
1-109	276-280	href	*[775]	SOFTWARE[775]
1-110	280-281	=	*[775]	SOFTWARE[775]
1-111	281-282	"	*[775]	SOFTWARE[775]
1-112	282-287	https	*[775]	SOFTWARE[775]
1-113	287-288	:	*[775]	SOFTWARE[775]
1-114	288-289	/	*[775]	SOFTWARE[775]
1-115	289-290	/	*[775]	SOFTWARE[775]
1-116	290-298	pypi.org	*[775]	SOFTWARE[775]
1-116	290-294	pypi	*[775]	SOFTWARE[775]
1-117	298-299	/	*[775]	SOFTWARE[775]
1-118	299-306	project	*[775]	SOFTWARE[775]
1-119	306-307	/	*[775]	SOFTWARE[775]
1-120	307-311	jury	*[775]	SOFTWARE[775]
1-121	311-312	"	*[775]	SOFTWARE[775]
1-122	312-313	>	*[775]	SOFTWARE[775]
1-123	313-314	<	*[775]	SOFTWARE[775]
1-124	314-317	img	*[775]	SOFTWARE[775]
1-125	318-321	src	*[775]	SOFTWARE[775]
1-126	321-322	=	*[775]	SOFTWARE[775]
1-127	322-323	"	*[775]	SOFTWARE[775]
1-128	323-328	https	*[775]	SOFTWARE[775]
1-129	328-329	:	*[775]	SOFTWARE[775]
1-130	329-330	/	*[775]	SOFTWARE[775]
1-131	330-331	/	*[775]	SOFTWARE[775]
1-132	331-345	img.shields.io	*[775]	SOFTWARE[775]
1-133	345-346	/	*[775]	SOFTWARE[775]
1-134	346-350	pypi	*[775]	SOFTWARE[775]
1-135	350-351	/	*[775]	SOFTWARE[775]
1-136	351-352	v	*[775]	SOFTWARE[775]
1-137	352-353	/	*[775]	SOFTWARE[775]
1-138	353-357	jury	*[775]	SOFTWARE[775]
1-139	357-358	?	*[775]	SOFTWARE[775]

#Text=color=blue" alt="PyPI version"></a> <a href="https://github.com/obss/jury/releases/latest"><img alt="Latest Release" src="https://img.shields.io/github/release-date/obss/jury"></a> <a href="https://colab.research.google.com/github/obss/jury/blob/main/examples/jury\_evaluate.ipynb" target="\_blank"><img alt="Open in Colab" src="https://colab.research.google.com/assets/colab-badge.svg"></a> <br> <a href="https://github.com/obss/jury/actions"><img alt="Build status" src="https://github.com/obss/jury/actions/workflows/ci.yml/badge.svg"></a> <a href="https://libraries.io/pypi/jury"><img alt="Dependencies" src="https://img.shields.io/librariesio/github/obss/jury"></a> <a href="https://github.com/psf/black"><img alt="Code style: black" src="https://img.shields.io/badge/code%20style-black-000000.svg"></a> <a href="https://github.com/obss/jury/blob/main/LICENSE"><img alt="License: MIT" src="https://img.shields.io/pypi/l/jury"></a> <br> <a href="https://doi.org/10.48550/arXiv.2310.02040"><img src="https://img.shields.io/badge/DOI-10.48550%2FarXiv.2310.02040-blue" alt="DOI"></a> </p>  A comprehensive toolkit for evaluating NLP experiments offering various automated metrics.
2-1	358-363	color	*[775]	SOFTWARE[775]
2-2	363-364	=	*[775]	SOFTWARE[775]
2-3	364-368	blue	*[775]	SOFTWARE[775]
2-4	368-369	"	*[775]	SOFTWARE[775]
2-5	370-373	alt	*[775]	SOFTWARE[775]
2-6	373-374	=	*[775]	SOFTWARE[775]
2-7	374-375	"	*[775]	SOFTWARE[775]
2-8	375-379	PyPI	*[775]	SOFTWARE[775]
2-9	380-387	version	*[775]	SOFTWARE[775]
2-10	387-388	"	*[775]	SOFTWARE[775]
2-11	388-389	>	*[775]	SOFTWARE[775]
2-12	389-390	<	*[775]	SOFTWARE[775]
2-13	390-391	/	*[775]	SOFTWARE[775]
2-14	391-392	a	*[775]	SOFTWARE[775]
2-15	392-393	>	*[775]	SOFTWARE[775]
2-16	394-395	<	*[775]	SOFTWARE[775]
2-17	395-396	a	*[775]	SOFTWARE[775]
2-18	397-401	href	*[775]	SOFTWARE[775]
2-19	401-402	=	*[775]	SOFTWARE[775]
2-20	402-403	"	*[775]	SOFTWARE[775]
2-21	403-408	https	*[775]	SOFTWARE[775]
2-22	408-409	:	*[775]	SOFTWARE[775]
2-23	409-410	/	*[775]	SOFTWARE[775]
2-24	410-411	/	*[775]	SOFTWARE[775]
2-25	411-421	github.com	*[775]	SOFTWARE[775]
2-26	421-422	/	*[775]	SOFTWARE[775]
2-27	422-426	obss	*[775]	SOFTWARE[775]
2-28	426-427	/	*[775]	SOFTWARE[775]
2-29	427-431	jury	*[775]	SOFTWARE[775]
2-30	431-432	/	*[775]	SOFTWARE[775]
2-31	432-440	releases	*[775]	SOFTWARE[775]
2-32	440-441	/	*[775]	SOFTWARE[775]
2-33	441-447	latest	*[775]	SOFTWARE[775]
2-34	447-448	"	*[775]	SOFTWARE[775]
2-35	448-449	>	*[775]	SOFTWARE[775]
2-36	449-450	<	*[775]	SOFTWARE[775]
2-37	450-453	img	*[775]	SOFTWARE[775]
2-38	454-457	alt	*[775]	SOFTWARE[775]
2-39	457-458	=	*[775]	SOFTWARE[775]
2-40	458-459	"	*[775]	SOFTWARE[775]
2-41	459-465	Latest	*[775]	SOFTWARE[775]
2-42	466-473	Release	*[775]	SOFTWARE[775]
2-43	473-474	"	*[775]	SOFTWARE[775]
2-44	475-478	src	*[775]	SOFTWARE[775]
2-45	478-479	=	*[775]	SOFTWARE[775]
2-46	479-480	"	*[775]	SOFTWARE[775]
2-47	480-485	https	*[775]	SOFTWARE[775]
2-48	485-486	:	*[775]	SOFTWARE[775]
2-49	486-487	/	*[775]	SOFTWARE[775]
2-50	487-488	/	*[775]	SOFTWARE[775]
2-51	488-502	img.shields.io	*[775]	SOFTWARE[775]
2-52	502-503	/	*[775]	SOFTWARE[775]
2-53	503-509	github	*[775]	SOFTWARE[775]
2-54	509-510	/	*[775]	SOFTWARE[775]
2-55	510-522	release-date	*[775]	SOFTWARE[775]
2-56	522-523	/	*[775]	SOFTWARE[775]
2-57	523-527	obss	*[775]	SOFTWARE[775]
2-58	527-528	/	*[775]	SOFTWARE[775]
2-59	528-532	jury	*[775]	SOFTWARE[775]
2-60	532-533	"	*[775]	SOFTWARE[775]
2-61	533-534	>	*[775]	SOFTWARE[775]
2-62	534-535	<	*[775]	SOFTWARE[775]
2-63	535-536	/	*[775]	SOFTWARE[775]
2-64	536-537	a	*[775]	SOFTWARE[775]
2-65	537-538	>	*[775]	SOFTWARE[775]
2-66	539-540	<	*[775]	SOFTWARE[775]
2-67	540-541	a	*[775]	SOFTWARE[775]
2-68	542-546	href	*[775]	SOFTWARE[775]
2-69	546-547	=	*[775]	SOFTWARE[775]
2-70	547-548	"	*[775]	SOFTWARE[775]
2-71	548-553	https	*[775]	SOFTWARE[775]
2-72	553-554	:	*[775]	SOFTWARE[775]
2-73	554-555	/	*[775]	SOFTWARE[775]
2-74	555-556	/	*[775]	SOFTWARE[775]
2-75	556-581	colab.research.google.com	*[775]	SOFTWARE[775]
2-76	581-582	/	*[775]	SOFTWARE[775]
2-77	582-588	github	*[775]	SOFTWARE[775]
2-78	588-589	/	*[775]	SOFTWARE[775]
2-79	589-593	obss	*[775]	SOFTWARE[775]
2-80	593-594	/	*[775]	SOFTWARE[775]
2-81	594-598	jury	*[775]	SOFTWARE[775]
2-82	598-599	/	*[775]	SOFTWARE[775]
2-83	599-603	blob	*[775]	SOFTWARE[775]
2-84	603-604	/	*[775]	SOFTWARE[775]
2-85	604-608	main	*[775]	SOFTWARE[775]
2-86	608-609	/	*[775]	SOFTWARE[775]
2-87	609-617	examples	*[775]	SOFTWARE[775]
2-88	617-618	/	*[775]	SOFTWARE[775]
2-89	618-637	jury\_evaluate.ipynb	*[775]	SOFTWARE[775]
2-89	618-622	jury	*[775]	SOFTWARE[775]
2-90	637-638	"	*[775]	SOFTWARE[775]
2-91	639-645	target	*[775]	SOFTWARE[775]
2-92	645-646	=	*[775]	SOFTWARE[775]
2-93	646-647	"	*[775]	SOFTWARE[775]
2-94	647-648	\_	*[775]	SOFTWARE[775]
2-95	648-653	blank	*[775]	SOFTWARE[775]
2-96	653-654	"	*[775]	SOFTWARE[775]
2-97	654-655	>	*[775]	SOFTWARE[775]
2-98	655-656	<	*[775]	SOFTWARE[775]
2-99	656-659	img	*[775]	SOFTWARE[775]
2-100	660-663	alt	*[775]	SOFTWARE[775]
2-101	663-664	=	*[775]	SOFTWARE[775]
2-102	664-665	"	*[775]	SOFTWARE[775]
2-103	665-669	Open	*[775]	SOFTWARE[775]
2-104	670-672	in	*[775]	SOFTWARE[775]
2-105	673-678	Colab	*[775]	SOFTWARE[775]
2-106	678-679	"	*[775]	SOFTWARE[775]
2-107	680-683	src	*[775]	SOFTWARE[775]
2-108	683-684	=	*[775]	SOFTWARE[775]
2-109	684-685	"	*[775]	SOFTWARE[775]
2-110	685-690	https	*[775]	SOFTWARE[775]
2-111	690-691	:	*[775]	SOFTWARE[775]
2-112	691-692	/	*[775]	SOFTWARE[775]
2-113	692-693	/	*[775]	SOFTWARE[775]
2-114	693-718	colab.research.google.com	*[775]	SOFTWARE[775]
2-115	718-719	/	*[775]	SOFTWARE[775]
2-116	719-725	assets	*[775]	SOFTWARE[775]
2-117	725-726	/	*[775]	SOFTWARE[775]
2-118	726-741	colab-badge.svg	*[775]	SOFTWARE[775]
2-119	741-742	"	*[775]	SOFTWARE[775]
2-120	742-743	>	*[775]	SOFTWARE[775]
2-121	743-744	<	*[775]	SOFTWARE[775]
2-122	744-745	/	*[775]	SOFTWARE[775]
2-123	745-746	a	*[775]	SOFTWARE[775]
2-124	746-747	>	*[775]	SOFTWARE[775]
2-125	748-749	<	*[775]	SOFTWARE[775]
2-126	749-751	br	*[775]	SOFTWARE[775]
2-127	751-752	>	*[775]	SOFTWARE[775]
2-128	753-754	<	*[775]	SOFTWARE[775]
2-129	754-755	a	*[775]	SOFTWARE[775]
2-130	756-760	href	*[775]	SOFTWARE[775]
2-131	760-761	=	*[775]	SOFTWARE[775]
2-132	761-762	"	*[775]	SOFTWARE[775]
2-133	762-767	https	*[775]	SOFTWARE[775]
2-134	767-768	:	*[775]	SOFTWARE[775]
2-135	768-769	/	*[775]	SOFTWARE[775]
2-136	769-770	/	*[775]	SOFTWARE[775]
2-137	770-780	github.com	*[775]	SOFTWARE[775]
2-138	780-781	/	*[775]	SOFTWARE[775]
2-139	781-785	obss	*[775]	SOFTWARE[775]
2-140	785-786	/	*[775]	SOFTWARE[775]
2-141	786-790	jury	*[775]	SOFTWARE[775]
2-142	790-791	/	*[775]	SOFTWARE[775]
2-143	791-798	actions	*[775]	SOFTWARE[775]
2-144	798-799	"	*[775]	SOFTWARE[775]
2-145	799-800	>	*[775]	SOFTWARE[775]
2-146	800-801	<	*[775]	SOFTWARE[775]
2-147	801-804	img	*[775]	SOFTWARE[775]
2-148	805-808	alt	*[775]	SOFTWARE[775]
2-149	808-809	=	*[775]	SOFTWARE[775]
2-150	809-810	"	*[775]	SOFTWARE[775]
2-151	810-815	Build	*[775]	SOFTWARE[775]
2-152	816-822	status	*[775]	SOFTWARE[775]
2-153	822-823	"	*[775]	SOFTWARE[775]
2-154	824-827	src	*[775]	SOFTWARE[775]
2-155	827-828	=	*[775]	SOFTWARE[775]
2-156	828-829	"	*[775]	SOFTWARE[775]
2-157	829-834	https	*[775]	SOFTWARE[775]
2-158	834-835	:	*[775]	SOFTWARE[775]
2-159	835-836	/	*[775]	SOFTWARE[775]
2-160	836-837	/	*[775]	SOFTWARE[775]
2-161	837-847	github.com	*[775]	SOFTWARE[775]
2-162	847-848	/	*[775]	SOFTWARE[775]
2-163	848-852	obss	*[775]	SOFTWARE[775]
2-164	852-853	/	*[775]	SOFTWARE[775]
2-165	853-857	jury	*[775]	SOFTWARE[775]
2-166	857-858	/	*[775]	SOFTWARE[775]
2-167	858-865	actions	*[775]	SOFTWARE[775]
2-168	865-866	/	*[775]	SOFTWARE[775]
2-169	866-875	workflows	*[775]	SOFTWARE[775]
2-170	875-876	/	*[775]	SOFTWARE[775]
2-171	876-882	ci.yml	*[775]	SOFTWARE[775]
2-172	882-883	/	*[775]	SOFTWARE[775]
2-173	883-892	badge.svg	*[775]	SOFTWARE[775]
2-174	892-893	"	*[775]	SOFTWARE[775]
2-175	893-894	>	*[775]	SOFTWARE[775]
2-176	894-895	<	*[775]	SOFTWARE[775]
2-177	895-896	/	*[775]	SOFTWARE[775]
2-178	896-897	a	*[775]	SOFTWARE[775]
2-179	897-898	>	*[775]	SOFTWARE[775]
2-180	899-900	<	*[775]	SOFTWARE[775]
2-181	900-901	a	*[775]	SOFTWARE[775]
2-182	902-906	href	*[775]	SOFTWARE[775]
2-183	906-907	=	*[775]	SOFTWARE[775]
2-184	907-908	"	*[775]	SOFTWARE[775]
2-185	908-913	https	*[775]	SOFTWARE[775]
2-186	913-914	:	*[775]	SOFTWARE[775]
2-187	914-915	/	*[775]	SOFTWARE[775]
2-188	915-916	/	*[775]	SOFTWARE[775]
2-189	916-928	libraries.io	*[775]	SOFTWARE[775]
2-190	928-929	/	*[775]	SOFTWARE[775]
2-191	929-933	pypi	*[775]	SOFTWARE[775]
2-192	933-934	/	*[775]	SOFTWARE[775]
2-193	934-938	jury	*[775]	SOFTWARE[775]
2-194	938-939	"	*[775]	SOFTWARE[775]
2-195	939-940	>	*[775]	SOFTWARE[775]
2-196	940-941	<	*[775]	SOFTWARE[775]
2-197	941-944	img	*[775]	SOFTWARE[775]
2-198	945-948	alt	*[775]	SOFTWARE[775]
2-199	948-949	=	*[775]	SOFTWARE[775]
2-200	949-950	"	*[775]	SOFTWARE[775]
2-201	950-962	Dependencies	*[775]	SOFTWARE[775]
2-202	962-963	"	*[775]	SOFTWARE[775]
2-203	964-967	src	*[775]	SOFTWARE[775]
2-204	967-968	=	*[775]	SOFTWARE[775]
2-205	968-969	"	*[775]	SOFTWARE[775]
2-206	969-974	https	*[775]	SOFTWARE[775]
2-207	974-975	:	*[775]	SOFTWARE[775]
2-208	975-976	/	*[775]	SOFTWARE[775]
2-209	976-977	/	*[775]	SOFTWARE[775]
2-210	977-991	img.shields.io	*[775]	SOFTWARE[775]
2-211	991-992	/	*[775]	SOFTWARE[775]
2-212	992-1003	librariesio	*[775]	SOFTWARE[775]
2-213	1003-1004	/	*[775]	SOFTWARE[775]
2-214	1004-1010	github	*[775]	SOFTWARE[775]
2-215	1010-1011	/	*[775]	SOFTWARE[775]
2-216	1011-1015	obss	*[775]	SOFTWARE[775]
2-217	1015-1016	/	*[775]	SOFTWARE[775]
2-218	1016-1020	jury	*[775]	SOFTWARE[775]
2-219	1020-1021	"	*[775]	SOFTWARE[775]
2-220	1021-1022	>	*[775]	SOFTWARE[775]
2-221	1022-1023	<	*[775]	SOFTWARE[775]
2-222	1023-1024	/	*[775]	SOFTWARE[775]
2-223	1024-1025	a	*[775]	SOFTWARE[775]
2-224	1025-1026	>	*[775]	SOFTWARE[775]
2-225	1027-1028	<	*[775]	SOFTWARE[775]
2-226	1028-1029	a	*[775]	SOFTWARE[775]
2-227	1030-1034	href	*[775]	SOFTWARE[775]
2-228	1034-1035	=	*[775]	SOFTWARE[775]
2-229	1035-1036	"	*[775]	SOFTWARE[775]
2-230	1036-1041	https	*[775]	SOFTWARE[775]
2-231	1041-1042	:	*[775]	SOFTWARE[775]
2-232	1042-1043	/	*[775]	SOFTWARE[775]
2-233	1043-1044	/	*[775]	SOFTWARE[775]
2-234	1044-1054	github.com	*[775]	SOFTWARE[775]
2-235	1054-1055	/	*[775]	SOFTWARE[775]
2-236	1055-1058	psf	*[775]	SOFTWARE[775]
2-237	1058-1059	/	*[775]	SOFTWARE[775]
2-238	1059-1064	black	*[775]	SOFTWARE[775]
2-239	1064-1065	"	*[775]	SOFTWARE[775]
2-240	1065-1066	>	*[775]	SOFTWARE[775]
2-241	1066-1067	<	*[775]	SOFTWARE[775]
2-242	1067-1070	img	*[775]	SOFTWARE[775]
2-243	1071-1074	alt	*[775]	SOFTWARE[775]
2-244	1074-1075	=	*[775]	SOFTWARE[775]
2-245	1075-1076	"	*[775]	SOFTWARE[775]
2-246	1076-1080	Code	*[775]	SOFTWARE[775]
2-247	1081-1086	style	*[775]	SOFTWARE[775]
2-248	1086-1087	:	*[775]	SOFTWARE[775]
2-249	1088-1093	black	*[775]	SOFTWARE[775]
2-250	1093-1094	"	*[775]	SOFTWARE[775]
2-251	1095-1098	src	*[775]	SOFTWARE[775]
2-252	1098-1099	=	*[775]	SOFTWARE[775]
2-253	1099-1100	"	*[775]	SOFTWARE[775]
2-254	1100-1105	https	*[775]	SOFTWARE[775]
2-255	1105-1106	:	*[775]	SOFTWARE[775]
2-256	1106-1107	/	*[775]	SOFTWARE[775]
2-257	1107-1108	/	*[775]	SOFTWARE[775]
2-258	1108-1122	img.shields.io	*[775]	SOFTWARE[775]
2-259	1122-1123	/	*[775]	SOFTWARE[775]
2-260	1123-1128	badge	*[775]	SOFTWARE[775]
2-261	1128-1129	/	*[775]	SOFTWARE[775]
2-262	1129-1133	code	*[775]	SOFTWARE[775]
2-263	1133-1134	%	*[775]	SOFTWARE[775]
2-264	1134-1147	20style-black	*[775]	SOFTWARE[775]
2-265	1147-1148	-	*[775]	SOFTWARE[775]
2-266	1148-1154	000000	*[775]	SOFTWARE[775]
2-267	1154-1155	.	*[775]	SOFTWARE[775]
2-268	1155-1158	svg	*[775]	SOFTWARE[775]
2-269	1158-1159	"	*[775]	SOFTWARE[775]
2-270	1159-1160	>	*[775]	SOFTWARE[775]
2-271	1160-1161	<	*[775]	SOFTWARE[775]
2-272	1161-1162	/	*[775]	SOFTWARE[775]
2-273	1162-1163	a	*[775]	SOFTWARE[775]
2-274	1163-1164	>	*[775]	SOFTWARE[775]
2-275	1165-1166	<	*[775]	SOFTWARE[775]
2-276	1166-1167	a	*[775]	SOFTWARE[775]
2-277	1168-1172	href	*[775]	SOFTWARE[775]
2-278	1172-1173	=	*[775]	SOFTWARE[775]
2-279	1173-1174	"	*[775]	SOFTWARE[775]
2-280	1174-1179	https	*[775]	SOFTWARE[775]
2-281	1179-1180	:	*[775]	SOFTWARE[775]
2-282	1180-1181	/	*[775]	SOFTWARE[775]
2-283	1181-1182	/	*[775]	SOFTWARE[775]
2-284	1182-1192	github.com	*[775]	SOFTWARE[775]
2-285	1192-1193	/	*[775]	SOFTWARE[775]
2-286	1193-1197	obss	*[775]	SOFTWARE[775]
2-287	1197-1198	/	*[775]	SOFTWARE[775]
2-288	1198-1202	jury	*[775]	SOFTWARE[775]
2-289	1202-1203	/	*[775]	SOFTWARE[775]
2-290	1203-1207	blob	*[775]	SOFTWARE[775]
2-291	1207-1208	/	*[775]	SOFTWARE[775]
2-292	1208-1212	main	*[775]	SOFTWARE[775]
2-293	1212-1213	/	*[775]	SOFTWARE[775]
2-294	1213-1220	LICENSE	*[775]	SOFTWARE[775]
2-295	1220-1221	"	*[775]	SOFTWARE[775]
2-296	1221-1222	>	*[775]	SOFTWARE[775]
2-297	1222-1223	<	*[775]	SOFTWARE[775]
2-298	1223-1226	img	*[775]	SOFTWARE[775]
2-299	1227-1230	alt	*[775]	SOFTWARE[775]
2-300	1230-1231	=	*[775]	SOFTWARE[775]
2-301	1231-1232	"	*[775]	SOFTWARE[775]
2-302	1232-1239	License	*[775]	SOFTWARE[775]
2-303	1239-1240	:	*[775]	SOFTWARE[775]
2-304	1241-1244	MIT	*[775]	SOFTWARE[775]
2-305	1244-1245	"	*[775]	SOFTWARE[775]
2-306	1246-1249	src	*[775]	SOFTWARE[775]
2-307	1249-1250	=	*[775]	SOFTWARE[775]
2-308	1250-1251	"	*[775]	SOFTWARE[775]
2-309	1251-1256	https	*[775]	SOFTWARE[775]
2-310	1256-1257	:	*[775]	SOFTWARE[775]
2-311	1257-1258	/	*[775]	SOFTWARE[775]
2-312	1258-1259	/	*[775]	SOFTWARE[775]
2-313	1259-1273	img.shields.io	*[775]	SOFTWARE[775]
2-314	1273-1274	/	*[775]	SOFTWARE[775]
2-315	1274-1278	pypi	*[775]	SOFTWARE[775]
2-316	1278-1279	/	*[775]	SOFTWARE[775]
2-317	1279-1280	l	*[775]	SOFTWARE[775]
2-318	1280-1281	/	*[775]	SOFTWARE[775]
2-319	1281-1285	jury	*[775]	SOFTWARE[775]
2-320	1285-1286	"	*[775]	SOFTWARE[775]
2-321	1286-1287	>	*[775]	SOFTWARE[775]
2-322	1287-1288	<	*[775]	SOFTWARE[775]
2-323	1288-1289	/	*[775]	SOFTWARE[775]
2-324	1289-1290	a	*[775]	SOFTWARE[775]
2-325	1290-1291	>	*[775]	SOFTWARE[775]
2-326	1292-1293	<	*[775]	SOFTWARE[775]
2-327	1293-1295	br	*[775]	SOFTWARE[775]
2-328	1295-1296	>	*[775]	SOFTWARE[775]
2-329	1297-1298	<	*[775]	SOFTWARE[775]
2-330	1298-1299	a	*[775]	SOFTWARE[775]
2-331	1300-1304	href	*[775]	SOFTWARE[775]
2-332	1304-1305	=	*[775]	SOFTWARE[775]
2-333	1305-1306	"	*[775]	SOFTWARE[775]
2-334	1306-1311	https	*[775]	SOFTWARE[775]
2-335	1311-1312	:	*[775]	SOFTWARE[775]
2-336	1312-1313	/	*[775]	SOFTWARE[775]
2-337	1313-1314	/	*[775]	SOFTWARE[775]
2-338	1314-1321	doi.org	*[775]	SOFTWARE[775]
