#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text= 
0-0	0-1	 	*[523]|*[786]	SOFTWARE[523]|SOFTWARE[786]
3-9	373-375	on	*[786]	SOFTWARE[786]
3-10	376-385	Knowledge	*[786]	SOFTWARE[786]
3-11	386-395	Discovery	*[786]	SOFTWARE[786]
3-12	396-399	and	*[786]	SOFTWARE[786]
3-13	400-404	Data	*[786]	SOFTWARE[786]
3-14	405-411	Mining	*[786]	SOFTWARE[786]
3-15	412-413	(	*[786]	SOFTWARE[786]
3-16	413-416	KDD	*[786]	SOFTWARE[786]
3-17	417-418	’	*[786]	SOFTWARE[786]
3-18	418-420	21	*[786]	SOFTWARE[786]
3-19	420-421	)	*[786]	SOFTWARE[786]
3-20	421-422	,	*[786]	SOFTWARE[786]
3-21	423-429	August	*[786]	SOFTWARE[786]
3-22	430-432	14	*[786]	SOFTWARE[786]
3-23	432-433	–	*[786]	SOFTWARE[786]
3-24	433-435	18	*[786]	SOFTWARE[786]
3-25	435-436	,	*[786]	SOFTWARE[786]
3-26	437-441	2021	*[786]	SOFTWARE[786]
3-27	441-442	,	*[786]	SOFTWARE[786]
3-28	443-450	Virtual	*[786]	SOFTWARE[786]
3-29	451-456	Event	*[786]	SOFTWARE[786]
3-30	456-457	,	*[786]	SOFTWARE[786]
3-31	458-467	Singapore	*[786]	SOFTWARE[786]
3-32	467-468	.	*[786]	SOFTWARE[786]

#Text=ACM, New York, NY, USA, 9 pages. https://doi.org/10.11453447548.3467334  ## Introduction  This work presents a generative adversarial graph network model, called ImGAGN to address the imbalanced classification problem on graphs.
4-1	469-472	ACM	*[786]	SOFTWARE[786]
4-2	472-473	,	*[786]	SOFTWARE[786]
4-3	474-477	New	*[786]	SOFTWARE[786]
4-4	478-482	York	*[786]	SOFTWARE[786]
4-5	482-483	,	*[786]	SOFTWARE[786]
4-6	484-486	NY	*[786]	SOFTWARE[786]
4-7	486-487	,	*[786]	SOFTWARE[786]
4-8	488-491	USA	*[786]	SOFTWARE[786]
4-9	491-492	,	*[786]	SOFTWARE[786]
4-10	493-494	9	*[786]	SOFTWARE[786]
4-11	495-500	pages	*[786]	SOFTWARE[786]
4-12	500-501	.	*[786]	SOFTWARE[786]
4-13	502-507	https	*[786]	SOFTWARE[786]
4-14	507-508	:	*[786]	SOFTWARE[786]
4-15	508-509	/	*[786]	SOFTWARE[786]
4-16	509-510	/	*[786]	SOFTWARE[786]
4-17	510-517	doi.org	*[786]	SOFTWARE[786]
4-18	517-518	/	*[786]	SOFTWARE[786]
4-19	518-540	10.11453447548.3467334	*[786]	SOFTWARE[786]
4-20	542-543	#	*[786]	SOFTWARE[786]
4-21	543-544	#	*[786]	SOFTWARE[786]
4-22	545-557	Introduction	*[786]	SOFTWARE[786]
4-23	559-563	This	*[786]	SOFTWARE[786]
4-24	564-568	work	*[786]	SOFTWARE[786]
4-25	569-577	presents	*[786]	SOFTWARE[786]
4-26	578-579	a	*[786]	SOFTWARE[786]
4-27	580-590	generative	*[786]	SOFTWARE[786]
4-28	591-602	adversarial	*[786]	SOFTWARE[786]
4-29	603-608	graph	*[786]	SOFTWARE[786]
4-30	609-616	network	*[786]	SOFTWARE[786]
4-31	617-622	model	*[786]	SOFTWARE[786]
4-32	622-623	,	*[786]	SOFTWARE[786]
4-33	624-630	called	*[786]	SOFTWARE[786]
4-34	631-637	ImGAGN	*[786]	SOFTWARE[786]
4-35	638-640	to	*[786]	SOFTWARE[786]
4-36	641-648	address	*[786]	SOFTWARE[786]
4-37	649-652	the	*[786]	SOFTWARE[786]
4-38	653-663	imbalanced	*[786]	SOFTWARE[786]
4-39	664-678	classification	*[786]	SOFTWARE[786]
4-40	679-686	problem	*[786]	SOFTWARE[786]
4-41	687-689	on	*[786]	SOFTWARE[786]
4-42	690-696	graphs	*[786]	SOFTWARE[786]
4-43	696-697	.	*[786]	SOFTWARE[786]

#Text=It introduces a novel generator for graph structure data, named \*\*GraphGenerator\*\*, which can simulate both the minority class nodes’ attribute distribution and network topological structure distribution by generating a set of synthetic minority nodes such that the number of nodes in different classes can be balanced.   ## Requirements  + PyTorch >= 0.4  + Python >= 3.6  ## Usage  ### Dataset  The datasets can be downloaded from \[Cora\](https://relational.fit.cvut.cz/dataset/CORA), \[Citeseer\](https://linqs.soe.ucsc.edu/data), \[Pubmed\](https://linqs.soe.ucsc.edu/data) and \[DBLP\](https://www.aminer.cn/citation#b541).
5-1	698-700	It	*[786]	SOFTWARE[786]
5-2	701-711	introduces	*[786]	SOFTWARE[786]
5-3	712-713	a	*[786]	SOFTWARE[786]
5-4	714-719	novel	*[786]	SOFTWARE[786]
5-5	720-729	generator	*[786]	SOFTWARE[786]
5-6	730-733	for	*[786]	SOFTWARE[786]
5-7	734-739	graph	*[786]	SOFTWARE[786]
5-8	740-749	structure	*[786]	SOFTWARE[786]
5-9	750-754	data	*[786]	SOFTWARE[786]
5-10	754-755	,	*[786]	SOFTWARE[786]
5-11	756-761	named	*[786]	SOFTWARE[786]
5-12	762-763	\*	*[786]	SOFTWARE[786]
5-13	763-764	\*	*[786]	SOFTWARE[786]
5-14	764-778	GraphGenerator	*[786]	SOFTWARE[786]
5-15	778-779	\*	*[786]	SOFTWARE[786]
5-16	779-780	\*	*[786]	SOFTWARE[786]
5-17	780-781	,	*[786]	SOFTWARE[786]
5-18	782-787	which	*[786]	SOFTWARE[786]
5-19	788-791	can	*[786]	SOFTWARE[786]
5-20	792-800	simulate	*[786]	SOFTWARE[786]
5-21	801-805	both	*[786]	SOFTWARE[786]
5-22	806-809	the	*[786]	SOFTWARE[786]
5-23	810-818	minority	*[786]	SOFTWARE[786]
5-24	819-824	class	*[786]	SOFTWARE[786]
5-25	825-830	nodes	*[786]	SOFTWARE[786]
5-26	830-831	’	*[786]	SOFTWARE[786]
5-27	832-841	attribute	*[786]	SOFTWARE[786]
5-28	842-854	distribution	*[786]	SOFTWARE[786]
5-29	855-858	and	*[786]	SOFTWARE[786]
5-30	859-866	network	*[786]	SOFTWARE[786]
5-31	867-878	topological	*[786]	SOFTWARE[786]
5-32	879-888	structure	*[786]	SOFTWARE[786]
5-33	889-901	distribution	*[786]	SOFTWARE[786]
5-34	902-904	by	*[786]	SOFTWARE[786]
5-35	905-915	generating	*[786]	SOFTWARE[786]
5-36	916-917	a	*[786]	SOFTWARE[786]
5-37	918-921	set	*[786]	SOFTWARE[786]
5-38	922-924	of	*[786]	SOFTWARE[786]
5-39	925-934	synthetic	*[786]	SOFTWARE[786]
5-40	935-943	minority	*[786]	SOFTWARE[786]
5-41	944-949	nodes	*[786]	SOFTWARE[786]
5-42	950-954	such	*[786]	SOFTWARE[786]
5-43	955-959	that	*[786]	SOFTWARE[786]
5-44	960-963	the	*[786]	SOFTWARE[786]
5-45	964-970	number	*[786]	SOFTWARE[786]
5-46	971-973	of	*[786]	SOFTWARE[786]
5-47	974-979	nodes	*[786]	SOFTWARE[786]
5-48	980-982	in	*[786]	SOFTWARE[786]
5-49	983-992	different	*[786]	SOFTWARE[786]
5-50	993-1000	classes	*[786]	SOFTWARE[786]
5-51	1001-1004	can	*[786]	SOFTWARE[786]
5-52	1005-1007	be	*[786]	SOFTWARE[786]
5-53	1008-1016	balanced	*[786]	SOFTWARE[786]
5-54	1016-1017	.	*[786]	SOFTWARE[786]
5-55	1020-1021	#	*[786]	SOFTWARE[786]
5-56	1021-1022	#	*[786]	SOFTWARE[786]
5-57	1023-1035	Requirements	*[786]	SOFTWARE[786]
5-58	1037-1038	+	*[786]	SOFTWARE[786]
5-59	1039-1046	PyTorch	*[786]	SOFTWARE[786]
5-60	1047-1048	>	*[786]	SOFTWARE[786]
5-61	1048-1049	=	*[786]	SOFTWARE[786]
5-62	1050-1053	0.4	*[786]	SOFTWARE[786]
5-63	1055-1056	+	*[786]	SOFTWARE[786]
5-64	1057-1063	Python	*[786]	SOFTWARE[786]
5-65	1064-1065	>	*[786]	SOFTWARE[786]
5-66	1065-1066	=	*[786]	SOFTWARE[786]
5-67	1067-1070	3.6	*[786]	SOFTWARE[786]
5-68	1072-1073	#	*[786]	SOFTWARE[786]
5-69	1073-1074	#	*[786]	SOFTWARE[786]
5-70	1075-1080	Usage	*[786]	SOFTWARE[786]
5-71	1082-1083	#	*[786]	SOFTWARE[786]
5-72	1083-1084	#	*[786]	SOFTWARE[786]
5-73	1084-1085	#	*[786]	SOFTWARE[786]
5-74	1086-1093	Dataset	*[786]	SOFTWARE[786]
5-75	1095-1098	The	*[786]	SOFTWARE[786]
5-76	1099-1107	datasets	*[786]	SOFTWARE[786]
5-77	1108-1111	can	*[786]	SOFTWARE[786]
5-78	1112-1114	be	*[786]	SOFTWARE[786]
5-79	1115-1125	downloaded	*[786]	SOFTWARE[786]
5-80	1126-1130	from	*[786]	SOFTWARE[786]
5-81	1131-1132	\[	*[786]	SOFTWARE[786]
5-82	1132-1136	Cora	*[786]	SOFTWARE[786]
5-83	1136-1137	\]	*[786]	SOFTWARE[786]
5-84	1137-1138	(	*[786]	SOFTWARE[786]
5-85	1138-1143	https	*[786]	SOFTWARE[786]
5-86	1143-1144	:	*[786]	SOFTWARE[786]
5-87	1144-1145	/	*[786]	SOFTWARE[786]
5-88	1145-1146	/	*[786]	SOFTWARE[786]
5-89	1146-1168	relational.fit.cvut.cz	*[786]	SOFTWARE[786]
5-90	1168-1169	/	*[786]	SOFTWARE[786]
5-91	1169-1176	dataset	*[786]	SOFTWARE[786]
5-92	1176-1177	/	*[786]	SOFTWARE[786]
5-93	1177-1181	CORA	*[786]	SOFTWARE[786]
5-94	1181-1182	)	*[786]	SOFTWARE[786]
5-95	1182-1183	,	*[786]	SOFTWARE[786]
5-96	1184-1185	\[	*[786]	SOFTWARE[786]
5-97	1185-1193	Citeseer	*[786]	SOFTWARE[786]
5-98	1193-1194	\]	*[786]	SOFTWARE[786]
5-99	1194-1195	(	*[786]	SOFTWARE[786]
5-100	1195-1200	https	*[786]	SOFTWARE[786]
5-101	1200-1201	:	*[786]	SOFTWARE[786]
5-102	1201-1202	/	*[786]	SOFTWARE[786]
5-103	1202-1203	/	*[786]	SOFTWARE[786]
5-104	1203-1221	linqs.soe.ucsc.edu	*[786]	SOFTWARE[786]
5-105	1221-1222	/	*[786]	SOFTWARE[786]
5-106	1222-1226	data	*[786]	SOFTWARE[786]
5-107	1226-1227	)	*[786]	SOFTWARE[786]
5-108	1227-1228	,	*[786]	SOFTWARE[786]
5-109	1229-1230	\[	*[786]	SOFTWARE[786]
5-110	1230-1236	Pubmed	*[786]	SOFTWARE[786]
5-111	1236-1237	\]	*[786]	SOFTWARE[786]
5-112	1237-1238	(	*[786]	SOFTWARE[786]
5-113	1238-1243	https	*[786]	SOFTWARE[786]
5-114	1243-1244	:	*[786]	SOFTWARE[786]
5-115	1244-1245	/	*[786]	SOFTWARE[786]
5-116	1245-1246	/	*[786]	SOFTWARE[786]
5-117	1246-1264	linqs.soe.ucsc.edu	*[786]	SOFTWARE[786]
5-118	1264-1265	/	*[786]	SOFTWARE[786]
5-119	1265-1269	data	*[786]	SOFTWARE[786]
5-120	1269-1270	)	*[786]	SOFTWARE[786]
5-121	1271-1274	and	*[786]	SOFTWARE[786]
5-122	1275-1276	\[	*[786]	SOFTWARE[786]
5-123	1276-1280	DBLP	*[786]	SOFTWARE[786]
5-124	1280-1281	\]	*[786]	SOFTWARE[786]
5-125	1281-1282	(	*[786]	SOFTWARE[786]
5-126	1282-1287	https	*[786]	SOFTWARE[786]
5-127	1287-1288	:	*[786]	SOFTWARE[786]
5-128	1288-1289	/	*[786]	SOFTWARE[786]
5-129	1289-1290	/	*[786]	SOFTWARE[786]
5-130	1290-1303	www.aminer.cn	*[786]	SOFTWARE[786]
5-131	1303-1304	/	*[786]	SOFTWARE[786]
5-132	1304-1312	citation	*[786]	SOFTWARE[786]
5-133	1312-1313	#	*[786]	SOFTWARE[786]
5-134	1313-1317	b541	*[786]	SOFTWARE[786]
5-135	1317-1318	)	*[786]	SOFTWARE[786]
5-136	1318-1319	.	*[786]	SOFTWARE[786]

#Text=Take Cora dataset as an example:  - make a folder called \*\*dataset\*\* at root directory
6-1	1320-1324	Take	*[786]	SOFTWARE[786]
6-2	1325-1329	Cora	*[786]	SOFTWARE[786]
6-3	1330-1337	dataset	*[786]	SOFTWARE[786]
6-4	1338-1340	as	*[786]	SOFTWARE[786]
6-5	1341-1343	an	*[786]	SOFTWARE[786]
6-6	1344-1351	example	*[786]	SOFTWARE[786]
6-7	1351-1352	:	*[786]	SOFTWARE[786]
6-8	1354-1355	-	*[786]	SOFTWARE[786]
6-9	1356-1360	make	*[786]	SOFTWARE[786]
6-10	1361-1362	a	*[786]	SOFTWARE[786]
6-11	1363-1369	folder	*[786]	SOFTWARE[786]
6-12	1370-1376	called	*[786]	SOFTWARE[786]
6-13	1377-1378	\*	*[786]	SOFTWARE[786]
6-14	1378-1379	\*	*[786]	SOFTWARE[786]
6-15	1379-1386	dataset	*[786]	SOFTWARE[786]
6-16	1386-1387	\*	*[786]	SOFTWARE[786]
6-17	1387-1388	\*	*[786]	SOFTWARE[786]
6-18	1389-1391	at	*[786]	SOFTWARE[786]
6-19	1392-1396	root	*[786]	SOFTWARE[786]
6-20	1397-1406	directory	*[786]	SOFTWARE[786]

#Text=.
7-1	1406-1407	.	*[786]	SOFTWARE[786]

#Text=- make a folder called \*\*cora\*\* in \*\*dataset\*\* directory
8-1	1409-1410	-	*[786]	SOFTWARE[786]
8-2	1411-1415	make	*[786]	SOFTWARE[786]
8-3	1416-1417	a	*[786]	SOFTWARE[786]
8-4	1418-1424	folder	*[786]	SOFTWARE[786]
8-5	1425-1431	called	*[786]	SOFTWARE[786]
8-6	1432-1433	\*	*[786]	SOFTWARE[786]
8-7	1433-1434	\*	*[786]	SOFTWARE[786]
8-8	1434-1438	cora	*[786]	SOFTWARE[786]
8-9	1438-1439	\*	*[786]	SOFTWARE[786]
8-10	1439-1440	\*	*[786]	SOFTWARE[786]
8-11	1441-1443	in	*[786]	SOFTWARE[786]
8-12	1444-1445	\*	*[786]	SOFTWARE[786]
8-13	1445-1446	\*	*[786]	SOFTWARE[786]
8-14	1446-1453	dataset	*[786]	SOFTWARE[786]
8-15	1453-1454	\*	*[786]	SOFTWARE[786]
8-16	1454-1455	\*	*[786]	SOFTWARE[786]
8-17	1456-1465	directory	*[786]	SOFTWARE[786]

#Text=.
9-1	1465-1466	.	*[786]	SOFTWARE[786]

#Text=- \*\*Cora\*\* folder contains four files:    - "edge.cora": each line represents a edge between two nodes with the follwing format:      ```     1397 1470     1397 362     ... ...     ```    - "feature.cora": each line represents the features (e.g., one-hot feature) of nodes with the following format:      ```     0 0 0 0 1 0 0 0,...,0     0 1 0 1 0 0 0 0,...,0     ...     ```    - "train.cora": each line represents the node ID in training set with the following format:      ```     0     2     ...     ```    - "test.cora": each line represents the node ID in test set with the following format:      ```     2159     2160     ...     ```  ### \*Example Usage\*  ``` cd ImGAGN python train.py ```  ## Citation  ``` @misc{qu2021imgagnimbalanced,       title={ImGAGN:Imbalanced Network Embedding via Generative Adversarial Graph Networks},        author={Liang Qu and Huaisheng Zhu and Ruiqi Zheng and Yuhui Shi and Hongzhi Yin},       year={2021},       eprint={2106.02817},       archivePrefix={arXiv},       primaryClass={cs.LG} } ```
10-1	1468-1469	-	*[786]	SOFTWARE[786]
10-2	1470-1471	\*	*[786]	SOFTWARE[786]
10-3	1471-1472	\*	*[786]	SOFTWARE[786]
10-4	1472-1476	Cora	*[786]	SOFTWARE[786]
10-5	1476-1477	\*	*[786]	SOFTWARE[786]
10-6	1477-1478	\*	*[786]	SOFTWARE[786]
10-7	1479-1485	folder	*[786]	SOFTWARE[786]
10-8	1486-1494	contains	*[786]	SOFTWARE[786]
10-9	1495-1499	four	*[786]	SOFTWARE[786]
10-10	1500-1505	files	*[786]	SOFTWARE[786]
10-11	1505-1506	:	*[786]	SOFTWARE[786]
10-12	1510-1511	-	*[786]	SOFTWARE[786]
10-13	1512-1513	"	*[786]	SOFTWARE[786]
10-14	1513-1522	edge.cora	*[786]	SOFTWARE[786]
10-14	1518-1522	cora	*[786]	SOFTWARE[786]
10-15	1522-1523	"	*[786]	SOFTWARE[786]
10-16	1523-1524	:	*[786]	SOFTWARE[786]
10-17	1525-1529	each	*[786]	SOFTWARE[786]
10-18	1530-1534	line	*[786]	SOFTWARE[786]
10-19	1535-1545	represents	*[786]	SOFTWARE[786]
10-20	1546-1547	a	*[786]	SOFTWARE[786]
10-21	1548-1552	edge	*[786]	SOFTWARE[786]
10-22	1553-1560	between	*[786]	SOFTWARE[786]
10-23	1561-1564	two	*[786]	SOFTWARE[786]
10-24	1565-1570	nodes	*[786]	SOFTWARE[786]
10-25	1571-1575	with	*[786]	SOFTWARE[786]
10-26	1576-1579	the	*[786]	SOFTWARE[786]
10-27	1580-1588	follwing	*[786]	SOFTWARE[786]
10-28	1589-1595	format	*[786]	SOFTWARE[786]
10-29	1595-1596	:	*[786]	SOFTWARE[786]
10-30	1602-1603	`	*[786]	SOFTWARE[786]
10-31	1603-1604	`	*[786]	SOFTWARE[786]
10-32	1604-1605	`	*[786]	SOFTWARE[786]
10-33	1610-1614	1397	*[786]	SOFTWARE[786]
10-34	1615-1619	1470	*[786]	SOFTWARE[786]
10-35	1624-1628	1397	*[786]	SOFTWARE[786]
10-36	1629-1632	362	*[786]	SOFTWARE[786]
10-37	1637-1638	.	*[786]	SOFTWARE[786]
10-38	1638-1639	.	*[786]	SOFTWARE[786]
10-39	1639-1640	.	*[786]	SOFTWARE[786]
10-40	1641-1642	.	*[786]	SOFTWARE[786]
10-41	1642-1643	.	*[786]	SOFTWARE[786]
10-42	1643-1644	.	*[786]	SOFTWARE[786]
10-43	1649-1650	`	*[786]	SOFTWARE[786]
10-44	1650-1651	`	*[786]	SOFTWARE[786]
10-45	1651-1652	`	*[786]	SOFTWARE[786]
10-46	1656-1657	-	*[786]	SOFTWARE[786]
10-47	1658-1659	"	*[786]	SOFTWARE[786]
10-48	1659-1671	feature.cora	*[786]	SOFTWARE[786]
10-48	1667-1671	cora	*[786]	SOFTWARE[786]
10-49	1671-1672	"	*[786]	SOFTWARE[786]
10-50	1672-1673	:	*[786]	SOFTWARE[786]
10-51	1674-1678	each	*[786]	SOFTWARE[786]
10-52	1679-1683	line	*[786]	SOFTWARE[786]
10-53	1684-1694	represents	*[786]	SOFTWARE[786]
10-54	1695-1698	the	*[786]	SOFTWARE[786]
10-55	1699-1707	features	*[786]	SOFTWARE[786]
10-56	1708-1709	(	*[786]	SOFTWARE[786]
10-57	1709-1712	e.g	*[786]	SOFTWARE[786]
10-58	1712-1713	.	*[786]	SOFTWARE[786]
10-59	1713-1714	,	*[786]	SOFTWARE[786]
10-60	1715-1722	one-hot	*[786]	SOFTWARE[786]
10-61	1723-1730	feature	*[786]	SOFTWARE[786]
10-62	1730-1731	)	*[786]	SOFTWARE[786]
10-63	1732-1734	of	*[786]	SOFTWARE[786]
10-64	1735-1740	nodes	*[786]	SOFTWARE[786]
10-65	1741-1745	with	*[786]	SOFTWARE[786]
10-66	1746-1749	the	*[786]	SOFTWARE[786]
10-67	1750-1759	following	*[786]	SOFTWARE[786]
10-68	1760-1766	format	*[786]	SOFTWARE[786]
10-69	1766-1767	:	*[786]	SOFTWARE[786]
10-70	1773-1774	`	*[786]	SOFTWARE[786]
10-71	1774-1775	`	*[786]	SOFTWARE[786]
10-72	1775-1776	`	*[786]	SOFTWARE[786]
10-73	1781-1782	0	*[786]	SOFTWARE[786]
10-74	1783-1784	0	*[786]	SOFTWARE[786]
10-75	1785-1786	0	*[786]	SOFTWARE[786]
10-76	1787-1788	0	*[786]	SOFTWARE[786]
10-77	1789-1790	1	*[786]	SOFTWARE[786]
10-78	1791-1792	0	*[786]	SOFTWARE[786]
10-79	1793-1794	0	*[786]	SOFTWARE[786]
10-80	1795-1796	0	*[786]	SOFTWARE[786]
10-81	1796-1797	,	*[786]	SOFTWARE[786]
10-82	1797-1798	.	*[786]	SOFTWARE[786]
10-83	1798-1799	.	*[786]	SOFTWARE[786]
10-84	1799-1800	.	*[786]	SOFTWARE[786]
10-85	1800-1801	,	*[786]	SOFTWARE[786]
10-86	1801-1802	0	*[786]	SOFTWARE[786]
10-87	1807-1808	0	*[786]	SOFTWARE[786]
10-88	1809-1810	1	*[786]	SOFTWARE[786]
10-89	1811-1812	0	*[786]	SOFTWARE[786]
10-90	1813-1814	1	*[786]	SOFTWARE[786]
10-91	1815-1816	0	*[786]	SOFTWARE[786]
10-92	1817-1818	0	*[786]	SOFTWARE[786]
10-93	1819-1820	0	*[786]	SOFTWARE[786]
10-94	1821-1822	0	*[786]	SOFTWARE[786]
10-95	1822-1823	,	*[786]	SOFTWARE[786]
10-96	1823-1824	.	*[786]	SOFTWARE[786]
10-97	1824-1825	.	*[786]	SOFTWARE[786]
10-98	1825-1826	.	*[786]	SOFTWARE[786]
10-99	1826-1827	,	*[786]	SOFTWARE[786]
10-100	1827-1828	0	*[786]	SOFTWARE[786]
10-101	1833-1834	.	*[786]	SOFTWARE[786]
10-102	1834-1835	.	*[786]	SOFTWARE[786]
10-103	1835-1836	.	*[786]	SOFTWARE[786]
10-104	1841-1842	`	*[786]	SOFTWARE[786]
10-105	1842-1843	`	*[786]	SOFTWARE[786]
10-106	1843-1844	`	*[786]	SOFTWARE[786]
10-107	1848-1849	-	*[786]	SOFTWARE[786]
10-108	1850-1851	"	*[786]	SOFTWARE[786]
10-109	1851-1861	train.cora	*[786]	SOFTWARE[786]
10-109	1857-1861	cora	*[786]	SOFTWARE[786]
10-110	1861-1862	"	*[786]	SOFTWARE[786]
10-111	1862-1863	:	*[786]	SOFTWARE[786]
10-112	1864-1868	each	*[786]	SOFTWARE[786]
10-113	1869-1873	line	*[786]	SOFTWARE[786]
10-114	1874-1884	represents	*[786]	SOFTWARE[786]
10-115	1885-1888	the	*[786]	SOFTWARE[786]
10-116	1889-1893	node	*[786]	SOFTWARE[786]
10-117	1894-1896	ID	*[786]	SOFTWARE[786]
10-118	1897-1899	in	*[786]	SOFTWARE[786]
10-119	1900-1908	training	*[786]	SOFTWARE[786]
10-120	1909-1912	set	*[786]	SOFTWARE[786]
10-121	1913-1917	with	*[786]	SOFTWARE[786]
10-122	1918-1921	the	*[786]	SOFTWARE[786]
10-123	1922-1931	following	*[786]	SOFTWARE[786]
10-124	1932-1938	format	*[786]	SOFTWARE[786]
10-125	1938-1939	:	*[786]	SOFTWARE[786]
10-126	1945-1946	`	*[786]	SOFTWARE[786]
10-127	1946-1947	`	*[786]	SOFTWARE[786]
10-128	1947-1948	`	*[786]	SOFTWARE[786]
10-129	1953-1954	0	*[786]	SOFTWARE[786]
10-130	1959-1960	2	*[786]	SOFTWARE[786]
10-131	1965-1966	.	*[786]	SOFTWARE[786]
10-132	1966-1967	.	*[786]	SOFTWARE[786]
10-133	1967-1968	.	*[786]	SOFTWARE[786]
10-134	1973-1974	`	*[786]	SOFTWARE[786]
10-135	1974-1975	`	*[786]	SOFTWARE[786]
