#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=<img src="docs/img/icon.png" width=125 height=125 align="right">  \[!
1-1	0-1	<	*[523]|*[776]	SOFTWARE[523]|SOFTWARE[776]
7-77	828-830	by	*[776]	SOFTWARE[776]
7-78	831-832	\[	*[776]	SOFTWARE[776]
7-79	832-839	Antoine	*[776]	SOFTWARE[776]
7-80	840-845	Louis	*[776]	SOFTWARE[776]
7-81	845-846	\]	*[776]	SOFTWARE[776]
7-82	846-847	(	*[776]	SOFTWARE[776]
7-83	847-852	https	*[776]	SOFTWARE[776]
7-84	852-853	:	*[776]	SOFTWARE[776]
7-85	853-854	/	*[776]	SOFTWARE[776]
7-86	854-869	antoinelouis.co	*[776]	SOFTWARE[776]
7-87	869-870	/	*[776]	SOFTWARE[776]
7-88	870-874	work	*[776]	SOFTWARE[776]
7-89	874-875	/	*[776]	SOFTWARE[776]
7-90	875-876	)	*[776]	SOFTWARE[776]
7-91	877-880	and	*[776]	SOFTWARE[776]
7-92	881-882	\[	*[776]	SOFTWARE[776]
7-93	882-887	Jerry	*[776]	SOFTWARE[776]
7-94	888-896	Spanakis	*[776]	SOFTWARE[776]
7-95	896-897	\]	*[776]	SOFTWARE[776]
7-96	897-898	(	*[776]	SOFTWARE[776]
7-97	898-903	https	*[776]	SOFTWARE[776]
7-98	903-904	:	*[776]	SOFTWARE[776]
7-99	904-905	/	*[776]	SOFTWARE[776]
7-100	905-906	/	*[776]	SOFTWARE[776]
7-101	906-933	dke.maastrichtuniversity.nl	*[776]	SOFTWARE[776]
7-102	933-934	/	*[776]	SOFTWARE[776]
7-103	934-948	jerry.spanakis	*[776]	SOFTWARE[776]
7-104	948-949	/	*[776]	SOFTWARE[776]
7-105	949-950	)	*[776]	SOFTWARE[776]
7-106	950-951	.	*[776]	SOFTWARE[776]

#Text=<img align="center" src="docs/img/task.png" width="1000">  Statutory article retrieval is the task of automatically retrieving law articles relevant to a legal question.
8-1	953-954	<	*[776]	SOFTWARE[776]
8-2	954-957	img	*[776]	SOFTWARE[776]
8-3	958-963	align	*[776]	SOFTWARE[776]
8-4	963-964	=	*[776]	SOFTWARE[776]
8-5	964-965	"	*[776]	SOFTWARE[776]
8-6	965-971	center	*[776]	SOFTWARE[776]
8-7	971-972	"	*[776]	SOFTWARE[776]
8-8	973-976	src	*[776]	SOFTWARE[776]
8-9	976-977	=	*[776]	SOFTWARE[776]
8-10	977-978	"	*[776]	SOFTWARE[776]
8-11	978-982	docs	*[776]	SOFTWARE[776]
8-12	982-983	/	*[776]	SOFTWARE[776]
8-13	983-986	img	*[776]	SOFTWARE[776]
8-14	986-987	/	*[776]	SOFTWARE[776]
8-15	987-995	task.png	*[776]	SOFTWARE[776]
8-16	995-996	"	*[776]	SOFTWARE[776]
8-17	997-1002	width	*[776]	SOFTWARE[776]
8-18	1002-1003	=	*[776]	SOFTWARE[776]
8-19	1003-1004	"	*[776]	SOFTWARE[776]
8-20	1004-1008	1000	*[776]	SOFTWARE[776]
8-21	1008-1009	"	*[776]	SOFTWARE[776]
8-22	1009-1010	>	*[776]	SOFTWARE[776]
8-23	1012-1021	Statutory	*[776]	SOFTWARE[776]
8-24	1022-1029	article	*[776]	SOFTWARE[776]
8-25	1030-1039	retrieval	*[776]	SOFTWARE[776]
8-26	1040-1042	is	*[776]	SOFTWARE[776]
8-27	1043-1046	the	*[776]	SOFTWARE[776]
8-28	1047-1051	task	*[776]	SOFTWARE[776]
8-29	1052-1054	of	*[776]	SOFTWARE[776]
8-30	1055-1068	automatically	*[776]	SOFTWARE[776]
8-31	1069-1079	retrieving	*[776]	SOFTWARE[776]
8-32	1080-1083	law	*[776]	SOFTWARE[776]
8-33	1084-1092	articles	*[776]	SOFTWARE[776]
8-34	1093-1101	relevant	*[776]	SOFTWARE[776]
8-35	1102-1104	to	*[776]	SOFTWARE[776]
8-36	1105-1106	a	*[776]	SOFTWARE[776]
8-37	1107-1112	legal	*[776]	SOFTWARE[776]
8-38	1113-1121	question	*[776]	SOFTWARE[776]
8-39	1121-1122	.	*[776]	SOFTWARE[776]

#Text=While recent advances in natural language processing have sparked considerable interest in many legal tasks, statutory article retrieval remains primarily untouched due to the scarcity of large-scale and high-quality annotated datasets.
9-1	1123-1128	While	*[776]	SOFTWARE[776]
9-2	1129-1135	recent	*[776]	SOFTWARE[776]
9-3	1136-1144	advances	*[776]	SOFTWARE[776]
9-4	1145-1147	in	*[776]	SOFTWARE[776]
9-5	1148-1155	natural	*[776]	SOFTWARE[776]
9-6	1156-1164	language	*[776]	SOFTWARE[776]
9-7	1165-1175	processing	*[776]	SOFTWARE[776]
9-8	1176-1180	have	*[776]	SOFTWARE[776]
9-9	1181-1188	sparked	*[776]	SOFTWARE[776]
9-10	1189-1201	considerable	*[776]	SOFTWARE[776]
9-11	1202-1210	interest	*[776]	SOFTWARE[776]
9-12	1211-1213	in	*[776]	SOFTWARE[776]
9-13	1214-1218	many	*[776]	SOFTWARE[776]
9-14	1219-1224	legal	*[776]	SOFTWARE[776]
9-15	1225-1230	tasks	*[776]	SOFTWARE[776]
9-16	1230-1231	,	*[776]	SOFTWARE[776]
9-17	1232-1241	statutory	*[776]	SOFTWARE[776]
9-18	1242-1249	article	*[776]	SOFTWARE[776]
9-19	1250-1259	retrieval	*[776]	SOFTWARE[776]
9-20	1260-1267	remains	*[776]	SOFTWARE[776]
9-21	1268-1277	primarily	*[776]	SOFTWARE[776]
9-22	1278-1287	untouched	*[776]	SOFTWARE[776]
9-23	1288-1291	due	*[776]	SOFTWARE[776]
9-24	1292-1294	to	*[776]	SOFTWARE[776]
9-25	1295-1298	the	*[776]	SOFTWARE[776]
9-26	1299-1307	scarcity	*[776]	SOFTWARE[776]
9-27	1308-1310	of	*[776]	SOFTWARE[776]
9-28	1311-1322	large-scale	*[776]	SOFTWARE[776]
9-29	1323-1326	and	*[776]	SOFTWARE[776]
9-30	1327-1339	high-quality	*[776]	SOFTWARE[776]
9-31	1340-1349	annotated	*[776]	SOFTWARE[776]
9-32	1350-1358	datasets	*[776]	SOFTWARE[776]
9-33	1358-1359	.	*[776]	SOFTWARE[776]

#Text=To address this bottleneck, we introduce the Belgian Statutory Article Retrieval Dataset (BSARD), which consists of 1,100+ French native legal questions labeled by experienced jurists with relevant articles from a corpus of 22,600+ Belgian law articles.
10-1	1360-1362	To	*[776]	SOFTWARE[776]
10-2	1363-1370	address	*[776]	SOFTWARE[776]
10-3	1371-1375	this	*[776]	SOFTWARE[776]
10-4	1376-1386	bottleneck	*[776]	SOFTWARE[776]
10-5	1386-1387	,	*[776]	SOFTWARE[776]
10-6	1388-1390	we	*[776]	SOFTWARE[776]
10-7	1391-1400	introduce	*[776]	SOFTWARE[776]
10-8	1401-1404	the	*[776]	SOFTWARE[776]
10-9	1405-1412	Belgian	*[776]	SOFTWARE[776]
10-10	1413-1422	Statutory	*[776]	SOFTWARE[776]
10-11	1423-1430	Article	*[776]	SOFTWARE[776]
10-12	1431-1440	Retrieval	*[776]	SOFTWARE[776]
10-13	1441-1448	Dataset	*[776]	SOFTWARE[776]
10-14	1449-1450	(	*[776]	SOFTWARE[776]
10-15	1450-1455	BSARD	*[776]	SOFTWARE[776]
10-16	1455-1456	)	*[776]	SOFTWARE[776]
10-17	1456-1457	,	*[776]	SOFTWARE[776]
10-18	1458-1463	which	*[776]	SOFTWARE[776]
10-19	1464-1472	consists	*[776]	SOFTWARE[776]
10-20	1473-1475	of	*[776]	SOFTWARE[776]
10-21	1476-1481	1,100	*[776]	SOFTWARE[776]
10-22	1481-1482	+	*[776]	SOFTWARE[776]
10-23	1483-1489	French	*[776]	SOFTWARE[776]
10-24	1490-1496	native	*[776]	SOFTWARE[776]
10-25	1497-1502	legal	*[776]	SOFTWARE[776]
10-26	1503-1512	questions	*[776]	SOFTWARE[776]
10-27	1513-1520	labeled	*[776]	SOFTWARE[776]
10-28	1521-1523	by	*[776]	SOFTWARE[776]
10-29	1524-1535	experienced	*[776]	SOFTWARE[776]
10-30	1536-1543	jurists	*[776]	SOFTWARE[776]
10-31	1544-1548	with	*[776]	SOFTWARE[776]
10-32	1549-1557	relevant	*[776]	SOFTWARE[776]
10-33	1558-1566	articles	*[776]	SOFTWARE[776]
10-34	1567-1571	from	*[776]	SOFTWARE[776]
10-35	1572-1573	a	*[776]	SOFTWARE[776]
10-36	1574-1580	corpus	*[776]	SOFTWARE[776]
10-37	1581-1583	of	*[776]	SOFTWARE[776]
10-38	1584-1590	22,600	*[776]	SOFTWARE[776]
10-39	1590-1591	+	*[776]	SOFTWARE[776]
10-40	1592-1599	Belgian	*[776]	SOFTWARE[776]
10-41	1600-1603	law	*[776]	SOFTWARE[776]
10-42	1604-1612	articles	*[776]	SOFTWARE[776]
10-43	1612-1613	.	*[776]	SOFTWARE[776]

#Text=Using BSARD, we benchmark several state-of-the-art retrieval approaches, including lexical and dense architectures, both in zero-shot and supervised setups.
11-1	1614-1619	Using	*[776]	SOFTWARE[776]
11-2	1620-1625	BSARD	*[776]	SOFTWARE[776]
11-3	1625-1626	,	*[776]	SOFTWARE[776]
11-4	1627-1629	we	*[776]	SOFTWARE[776]
11-5	1630-1639	benchmark	*[776]	SOFTWARE[776]
11-6	1640-1647	several	*[776]	SOFTWARE[776]
11-7	1648-1664	state-of-the-art	*[776]	SOFTWARE[776]
11-8	1665-1674	retrieval	*[776]	SOFTWARE[776]
11-9	1675-1685	approaches	*[776]	SOFTWARE[776]
11-10	1685-1686	,	*[776]	SOFTWARE[776]
11-11	1687-1696	including	*[776]	SOFTWARE[776]
11-12	1697-1704	lexical	*[776]	SOFTWARE[776]
11-13	1705-1708	and	*[776]	SOFTWARE[776]
11-14	1709-1714	dense	*[776]	SOFTWARE[776]
11-15	1715-1728	architectures	*[776]	SOFTWARE[776]
11-16	1728-1729	,	*[776]	SOFTWARE[776]
11-17	1730-1734	both	*[776]	SOFTWARE[776]
11-18	1735-1737	in	*[776]	SOFTWARE[776]
11-19	1738-1747	zero-shot	*[776]	SOFTWARE[776]
11-20	1748-1751	and	*[776]	SOFTWARE[776]
11-21	1752-1762	supervised	*[776]	SOFTWARE[776]
11-22	1763-1769	setups	*[776]	SOFTWARE[776]
11-23	1769-1770	.	*[776]	SOFTWARE[776]

#Text=We find that fine-tuned dense retrieval models significantly outperform other systems.
12-1	1771-1773	We	*[776]	SOFTWARE[776]
12-2	1774-1778	find	*[776]	SOFTWARE[776]
12-3	1779-1783	that	*[776]	SOFTWARE[776]
12-4	1784-1794	fine-tuned	*[776]	SOFTWARE[776]
12-5	1795-1800	dense	*[776]	SOFTWARE[776]
12-6	1801-1810	retrieval	*[776]	SOFTWARE[776]
12-7	1811-1817	models	*[776]	SOFTWARE[776]
12-8	1818-1831	significantly	*[776]	SOFTWARE[776]
12-9	1832-1842	outperform	*[776]	SOFTWARE[776]
12-10	1843-1848	other	*[776]	SOFTWARE[776]
12-11	1849-1856	systems	*[776]	SOFTWARE[776]
12-12	1856-1857	.	*[776]	SOFTWARE[776]

#Text=Our best performing baseline achieves 74.8% R@100, which is promising for the feasibility of the task and indicates there is still room for improvement.
13-1	1858-1861	Our	*[776]	SOFTWARE[776]
13-2	1862-1866	best	*[776]	SOFTWARE[776]
13-3	1867-1877	performing	*[776]	SOFTWARE[776]
13-4	1878-1886	baseline	*[776]	SOFTWARE[776]
13-5	1887-1895	achieves	*[776]	SOFTWARE[776]
13-6	1896-1901	74.8%	*[776]	SOFTWARE[776]
13-7	1902-1903	R	*[776]	SOFTWARE[776]
13-8	1903-1904	@	*[776]	SOFTWARE[776]
13-9	1904-1907	100	*[776]	SOFTWARE[776]
13-10	1907-1908	,	*[776]	SOFTWARE[776]
13-11	1909-1914	which	*[776]	SOFTWARE[776]
13-12	1915-1917	is	*[776]	SOFTWARE[776]
13-13	1918-1927	promising	*[776]	SOFTWARE[776]
13-14	1928-1931	for	*[776]	SOFTWARE[776]
13-15	1932-1935	the	*[776]	SOFTWARE[776]
13-16	1936-1947	feasibility	*[776]	SOFTWARE[776]
13-17	1948-1950	of	*[776]	SOFTWARE[776]
13-18	1951-1954	the	*[776]	SOFTWARE[776]
13-19	1955-1959	task	*[776]	SOFTWARE[776]
13-20	1960-1963	and	*[776]	SOFTWARE[776]
13-21	1964-1973	indicates	*[776]	SOFTWARE[776]
13-22	1974-1979	there	*[776]	SOFTWARE[776]
13-23	1980-1982	is	*[776]	SOFTWARE[776]
13-24	1983-1988	still	*[776]	SOFTWARE[776]
13-25	1989-1993	room	*[776]	SOFTWARE[776]
13-26	1994-1997	for	*[776]	SOFTWARE[776]
13-27	1998-2009	improvement	*[776]	SOFTWARE[776]
13-28	2009-2010	.	*[776]	SOFTWARE[776]

#Text=By the specificity of the domain and addressed task, BSARD presents a unique challenge problem for future research on legal information retrieval.  ## Documentation  Detailed documentation on the dataset and how to reproduce the main experimental results can be found \[here\](docs/README.md).  ## Citation  For attribution in academic contexts, please cite this work as:  ```latex @inproceedings{louis2022statutory,   title = {A Statutory Article Retrieval Dataset in French},   author = {Louis, Antoine and Spanakis, Gerasimos},   booktitle = {Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics},   month = may,   year = {2022},   address = {Dublin, Ireland},   publisher = {Association for Computational Linguistics},   url = {https://aclanthology.org/2022.acl-long.468},   pages = {6789--6803}, } ```  ## License  This repository is MIT-licensed.
14-1	2011-2013	By	*[776]	SOFTWARE[776]
14-2	2014-2017	the	*[776]	SOFTWARE[776]
14-3	2018-2029	specificity	*[776]	SOFTWARE[776]
14-4	2030-2032	of	*[776]	SOFTWARE[776]
14-5	2033-2036	the	*[776]	SOFTWARE[776]
14-6	2037-2043	domain	*[776]	SOFTWARE[776]
14-7	2044-2047	and	*[776]	SOFTWARE[776]
14-8	2048-2057	addressed	*[776]	SOFTWARE[776]
14-9	2058-2062	task	*[776]	SOFTWARE[776]
14-10	2062-2063	,	*[776]	SOFTWARE[776]
14-11	2064-2069	BSARD	*[776]	SOFTWARE[776]
14-12	2070-2078	presents	*[776]	SOFTWARE[776]
14-13	2079-2080	a	*[776]	SOFTWARE[776]
14-14	2081-2087	unique	*[776]	SOFTWARE[776]
14-15	2088-2097	challenge	*[776]	SOFTWARE[776]
14-16	2098-2105	problem	*[776]	SOFTWARE[776]
14-17	2106-2109	for	*[776]	SOFTWARE[776]
14-18	2110-2116	future	*[776]	SOFTWARE[776]
14-19	2117-2125	research	*[776]	SOFTWARE[776]
14-20	2126-2128	on	*[776]	SOFTWARE[776]
14-21	2129-2134	legal	*[776]	SOFTWARE[776]
