#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=## Accurate 3D Face Reconstruction with Weakly-Supervised Learning: From Single Image to Image Set ##  <p align="center">  <img src="/images/example.gif"> </p>  ### \*\*\_\\\*\\\*\\\*07/20/2021: A \[PyTorch implementation\](https://github.com/sicxu/Deep3DFaceRecon\_pytorch) which has much better performance and is much easier to use is available now.
1-1	0-1	#	*[523]|*[785]	SOFTWARE[523]|SOFTWARE[785]
11-9	929-931	to	*[785]	SOFTWARE[785]
11-10	932-936	pose	*[785]	SOFTWARE[785]
11-11	937-940	and	*[785]	SOFTWARE[785]
11-12	941-952	occlussions	*[785]	SOFTWARE[785]
11-13	952-953	.	*[785]	SOFTWARE[785]

#Text=It achieves state-of-the-art performance on multiple datasets such as FaceWarehouse, MICC Florence and BU-3DFE.     ## Features  ### ● Accurate shapes The method reconstructs faces with high accuracy.
12-1	954-956	It	*[785]	SOFTWARE[785]
12-2	957-965	achieves	*[785]	SOFTWARE[785]
12-3	966-982	state-of-the-art	*[785]	SOFTWARE[785]
12-4	983-994	performance	*[785]	SOFTWARE[785]
12-5	995-997	on	*[785]	SOFTWARE[785]
12-6	998-1006	multiple	*[785]	SOFTWARE[785]
12-7	1007-1015	datasets	*[785]	SOFTWARE[785]
12-8	1016-1020	such	*[785]	SOFTWARE[785]
12-9	1021-1023	as	*[785]	SOFTWARE[785]
12-10	1024-1037	FaceWarehouse	*[785]	SOFTWARE[785]
12-11	1037-1038	,	*[785]	SOFTWARE[785]
12-12	1039-1043	MICC	*[785]	SOFTWARE[785]
12-13	1044-1052	Florence	*[785]	SOFTWARE[785]
12-14	1053-1056	and	*[785]	SOFTWARE[785]
12-15	1057-1059	BU	*[785]	SOFTWARE[785]
12-16	1059-1060	-	*[785]	SOFTWARE[785]
12-17	1060-1064	3DFE	*[785]	SOFTWARE[785]
12-18	1064-1065	.	*[785]	SOFTWARE[785]
12-19	1070-1071	#	*[785]	SOFTWARE[785]
12-20	1071-1072	#	*[785]	SOFTWARE[785]
12-21	1073-1081	Features	*[785]	SOFTWARE[785]
12-22	1083-1084	#	*[785]	SOFTWARE[785]
12-23	1084-1085	#	*[785]	SOFTWARE[785]
12-24	1085-1086	#	*[785]	SOFTWARE[785]
12-25	1087-1088	●	*[785]	SOFTWARE[785]
12-26	1089-1097	Accurate	*[785]	SOFTWARE[785]
12-27	1098-1104	shapes	*[785]	SOFTWARE[785]
12-28	1105-1108	The	*[785]	SOFTWARE[785]
12-29	1109-1115	method	*[785]	SOFTWARE[785]
12-30	1116-1128	reconstructs	*[785]	SOFTWARE[785]
12-31	1129-1134	faces	*[785]	SOFTWARE[785]
12-32	1135-1139	with	*[785]	SOFTWARE[785]
12-33	1140-1144	high	*[785]	SOFTWARE[785]
12-34	1145-1153	accuracy	*[785]	SOFTWARE[785]
12-35	1153-1154	.	*[785]	SOFTWARE[785]

#Text=Quantitative evaluations (shape errors in mm) on several benchmarks show its state-of-the-art performance:   \|Method\|FaceWareHouse\|Florence\|BU3DFE\| \|:---:\|:---:\|:---:\|:---:\| \|\[Tewari et al. 17\](https://arxiv.org/abs/1703.10580)</center>\|2.19±0.54\|-\|-\| \|\[Tewari et al. 18\](https://arxiv.org/abs/1712.02859)\|1.84±0.38\|-\|-\| \|\[Genova et al. 18\](https://arxiv.org/abs/1806.06098)\|-\|1.77±0.53\|-\| \|\[Sela et al. 17\](https://arxiv.org/abs/1703.10131)\|-\|-\|2.91±0.60\| \|\[PRN 18\](https://arxiv.org/abs/1803.07835)\|-\|-\|1.86±0.47\| \|Ours\|\*\*1.81±0.50\*\*\|\*\*1.67±0.50\*\*\|\*\*1.40±0.31\*\*\|  (Please refer to our paper for more details about these results)  ### ● High fidelity textures The method produces high fidelity face textures meanwhile preserves identity information of input images.
13-1	1155-1167	Quantitative	*[785]	SOFTWARE[785]
13-2	1168-1179	evaluations	*[785]	SOFTWARE[785]
13-3	1180-1181	(	*[785]	SOFTWARE[785]
13-4	1181-1186	shape	*[785]	SOFTWARE[785]
13-5	1187-1193	errors	*[785]	SOFTWARE[785]
13-6	1194-1196	in	*[785]	SOFTWARE[785]
13-7	1197-1199	mm	*[785]	SOFTWARE[785]
13-8	1199-1200	)	*[785]	SOFTWARE[785]
13-9	1201-1203	on	*[785]	SOFTWARE[785]
13-10	1204-1211	several	*[785]	SOFTWARE[785]
13-11	1212-1222	benchmarks	*[785]	SOFTWARE[785]
13-12	1223-1227	show	*[785]	SOFTWARE[785]
13-13	1228-1231	its	*[785]	SOFTWARE[785]
13-14	1232-1248	state-of-the-art	*[785]	SOFTWARE[785]
13-15	1249-1260	performance	*[785]	SOFTWARE[785]
13-16	1260-1261	:	*[785]	SOFTWARE[785]
13-17	1264-1265	\|	*[785]	SOFTWARE[785]
13-18	1265-1271	Method	*[785]	SOFTWARE[785]
13-19	1271-1272	\|	*[785]	SOFTWARE[785]
13-20	1272-1285	FaceWareHouse	*[785]	SOFTWARE[785]
13-21	1285-1286	\|	*[785]	SOFTWARE[785]
13-22	1286-1294	Florence	*[785]	SOFTWARE[785]
13-23	1294-1295	\|	*[785]	SOFTWARE[785]
13-24	1295-1301	BU3DFE	*[785]	SOFTWARE[785]
13-25	1301-1302	\|	*[785]	SOFTWARE[785]
13-26	1303-1304	\|	*[785]	SOFTWARE[785]
13-27	1304-1305	:	*[785]	SOFTWARE[785]
13-28	1305-1306	-	*[785]	SOFTWARE[785]
13-29	1306-1307	-	*[785]	SOFTWARE[785]
13-30	1307-1308	-	*[785]	SOFTWARE[785]
13-31	1308-1309	:	*[785]	SOFTWARE[785]
13-32	1309-1310	\|	*[785]	SOFTWARE[785]
13-33	1310-1311	:	*[785]	SOFTWARE[785]
13-34	1311-1312	-	*[785]	SOFTWARE[785]
13-35	1312-1313	-	*[785]	SOFTWARE[785]
13-36	1313-1314	-	*[785]	SOFTWARE[785]
13-37	1314-1315	:	*[785]	SOFTWARE[785]
13-38	1315-1316	\|	*[785]	SOFTWARE[785]
13-39	1316-1317	:	*[785]	SOFTWARE[785]
13-40	1317-1318	-	*[785]	SOFTWARE[785]
13-41	1318-1319	-	*[785]	SOFTWARE[785]
13-42	1319-1320	-	*[785]	SOFTWARE[785]
13-43	1320-1321	:	*[785]	SOFTWARE[785]
13-44	1321-1322	\|	*[785]	SOFTWARE[785]
13-45	1322-1323	:	*[785]	SOFTWARE[785]
13-46	1323-1324	-	*[785]	SOFTWARE[785]
13-47	1324-1325	-	*[785]	SOFTWARE[785]
13-48	1325-1326	-	*[785]	SOFTWARE[785]
13-49	1326-1327	:	*[785]	SOFTWARE[785]
13-50	1327-1328	\|	*[785]	SOFTWARE[785]
13-51	1329-1330	\|	*[785]	SOFTWARE[785]
13-52	1330-1331	\[	*[785]	SOFTWARE[785]
13-53	1331-1337	Tewari	*[785]	SOFTWARE[785]
13-54	1338-1340	et	*[785]	SOFTWARE[785]
13-55	1341-1343	al	*[785]	SOFTWARE[785]
13-56	1343-1344	.	*[785]	SOFTWARE[785]
13-57	1345-1347	17	*[785]	SOFTWARE[785]
13-58	1347-1348	\]	*[785]	SOFTWARE[785]
13-59	1348-1349	(	*[785]	SOFTWARE[785]
13-60	1349-1354	https	*[785]	SOFTWARE[785]
13-61	1354-1355	:	*[785]	SOFTWARE[785]
13-62	1355-1356	/	*[785]	SOFTWARE[785]
13-63	1356-1357	/	*[785]	SOFTWARE[785]
13-64	1357-1366	arxiv.org	*[785]	SOFTWARE[785]
13-65	1366-1367	/	*[785]	SOFTWARE[785]
13-66	1367-1370	abs	*[785]	SOFTWARE[785]
13-67	1370-1371	/	*[785]	SOFTWARE[785]
13-68	1371-1381	1703.10580	*[785]	SOFTWARE[785]
13-69	1381-1382	)	*[785]	SOFTWARE[785]
13-70	1382-1383	<	*[785]	SOFTWARE[785]
13-71	1383-1384	/	*[785]	SOFTWARE[785]
13-72	1384-1390	center	*[785]	SOFTWARE[785]
13-73	1390-1391	>	*[785]	SOFTWARE[785]
13-74	1391-1392	\|	*[785]	SOFTWARE[785]
13-75	1392-1396	2.19	*[785]	SOFTWARE[785]
13-76	1396-1397	±	*[785]	SOFTWARE[785]
13-77	1397-1401	0.54	*[785]	SOFTWARE[785]
13-78	1401-1402	\|	*[785]	SOFTWARE[785]
13-79	1402-1403	-	*[785]	SOFTWARE[785]
13-80	1403-1404	\|	*[785]	SOFTWARE[785]
13-81	1404-1405	-	*[785]	SOFTWARE[785]
13-82	1405-1406	\|	*[785]	SOFTWARE[785]
13-83	1407-1408	\|	*[785]	SOFTWARE[785]
13-84	1408-1409	\[	*[785]	SOFTWARE[785]
13-85	1409-1415	Tewari	*[785]	SOFTWARE[785]
13-86	1416-1418	et	*[785]	SOFTWARE[785]
13-87	1419-1421	al	*[785]	SOFTWARE[785]
13-88	1421-1422	.	*[785]	SOFTWARE[785]
13-89	1423-1425	18	*[785]	SOFTWARE[785]
13-90	1425-1426	\]	*[785]	SOFTWARE[785]
13-91	1426-1427	(	*[785]	SOFTWARE[785]
13-92	1427-1432	https	*[785]	SOFTWARE[785]
13-93	1432-1433	:	*[785]	SOFTWARE[785]
13-94	1433-1434	/	*[785]	SOFTWARE[785]
13-95	1434-1435	/	*[785]	SOFTWARE[785]
13-96	1435-1444	arxiv.org	*[785]	SOFTWARE[785]
13-97	1444-1445	/	*[785]	SOFTWARE[785]
13-98	1445-1448	abs	*[785]	SOFTWARE[785]
13-99	1448-1449	/	*[785]	SOFTWARE[785]
13-100	1449-1459	1712.02859	*[785]	SOFTWARE[785]
13-101	1459-1460	)	*[785]	SOFTWARE[785]
13-102	1460-1461	\|	*[785]	SOFTWARE[785]
13-103	1461-1465	1.84	*[785]	SOFTWARE[785]
13-104	1465-1466	±	*[785]	SOFTWARE[785]
13-105	1466-1470	0.38	*[785]	SOFTWARE[785]
13-106	1470-1471	\|	*[785]	SOFTWARE[785]
13-107	1471-1472	-	*[785]	SOFTWARE[785]
13-108	1472-1473	\|	*[785]	SOFTWARE[785]
13-109	1473-1474	-	*[785]	SOFTWARE[785]
13-110	1474-1475	\|	*[785]	SOFTWARE[785]
13-111	1476-1477	\|	*[785]	SOFTWARE[785]
13-112	1477-1478	\[	*[785]	SOFTWARE[785]
13-113	1478-1484	Genova	*[785]	SOFTWARE[785]
13-114	1485-1487	et	*[785]	SOFTWARE[785]
13-115	1488-1490	al	*[785]	SOFTWARE[785]
13-116	1490-1491	.	*[785]	SOFTWARE[785]
13-117	1492-1494	18	*[785]	SOFTWARE[785]
13-118	1494-1495	\]	*[785]	SOFTWARE[785]
13-119	1495-1496	(	*[785]	SOFTWARE[785]
13-120	1496-1501	https	*[785]	SOFTWARE[785]
13-121	1501-1502	:	*[785]	SOFTWARE[785]
13-122	1502-1503	/	*[785]	SOFTWARE[785]
13-123	1503-1504	/	*[785]	SOFTWARE[785]
13-124	1504-1513	arxiv.org	*[785]	SOFTWARE[785]
13-125	1513-1514	/	*[785]	SOFTWARE[785]
13-126	1514-1517	abs	*[785]	SOFTWARE[785]
13-127	1517-1518	/	*[785]	SOFTWARE[785]
13-128	1518-1528	1806.06098	*[785]	SOFTWARE[785]
13-129	1528-1529	)	*[785]	SOFTWARE[785]
13-130	1529-1530	\|	*[785]	SOFTWARE[785]
13-131	1530-1531	-	*[785]	SOFTWARE[785]
13-132	1531-1532	\|	*[785]	SOFTWARE[785]
13-133	1532-1536	1.77	*[785]	SOFTWARE[785]
13-134	1536-1537	±	*[785]	SOFTWARE[785]
13-135	1537-1541	0.53	*[785]	SOFTWARE[785]
13-136	1541-1542	\|	*[785]	SOFTWARE[785]
13-137	1542-1543	-	*[785]	SOFTWARE[785]
13-138	1543-1544	\|	*[785]	SOFTWARE[785]
13-139	1545-1546	\|	*[785]	SOFTWARE[785]
13-140	1546-1547	\[	*[785]	SOFTWARE[785]
13-141	1547-1551	Sela	*[785]	SOFTWARE[785]
13-142	1552-1554	et	*[785]	SOFTWARE[785]
13-143	1555-1557	al	*[785]	SOFTWARE[785]
13-144	1557-1558	.	*[785]	SOFTWARE[785]
13-145	1559-1561	17	*[785]	SOFTWARE[785]
13-146	1561-1562	\]	*[785]	SOFTWARE[785]
13-147	1562-1563	(	*[785]	SOFTWARE[785]
13-148	1563-1568	https	*[785]	SOFTWARE[785]
13-149	1568-1569	:	*[785]	SOFTWARE[785]
13-150	1569-1570	/	*[785]	SOFTWARE[785]
13-151	1570-1571	/	*[785]	SOFTWARE[785]
13-152	1571-1580	arxiv.org	*[785]	SOFTWARE[785]
13-153	1580-1581	/	*[785]	SOFTWARE[785]
13-154	1581-1584	abs	*[785]	SOFTWARE[785]
13-155	1584-1585	/	*[785]	SOFTWARE[785]
13-156	1585-1595	1703.10131	*[785]	SOFTWARE[785]
13-157	1595-1596	)	*[785]	SOFTWARE[785]
13-158	1596-1597	\|	*[785]	SOFTWARE[785]
13-159	1597-1598	-	*[785]	SOFTWARE[785]
13-160	1598-1599	\|	*[785]	SOFTWARE[785]
13-161	1599-1600	-	*[785]	SOFTWARE[785]
13-162	1600-1601	\|	*[785]	SOFTWARE[785]
13-163	1601-1605	2.91	*[785]	SOFTWARE[785]
13-164	1605-1606	±	*[785]	SOFTWARE[785]
13-165	1606-1610	0.60	*[785]	SOFTWARE[785]
13-166	1610-1611	\|	*[785]	SOFTWARE[785]
13-167	1612-1613	\|	*[785]	SOFTWARE[785]
13-168	1613-1614	\[	*[785]	SOFTWARE[785]
13-169	1614-1617	PRN	*[785]	SOFTWARE[785]
13-170	1618-1620	18	*[785]	SOFTWARE[785]
13-171	1620-1621	\]	*[785]	SOFTWARE[785]
13-172	1621-1622	(	*[785]	SOFTWARE[785]
13-173	1622-1627	https	*[785]	SOFTWARE[785]
13-174	1627-1628	:	*[785]	SOFTWARE[785]
13-175	1628-1629	/	*[785]	SOFTWARE[785]
13-176	1629-1630	/	*[785]	SOFTWARE[785]
13-177	1630-1639	arxiv.org	*[785]	SOFTWARE[785]
13-178	1639-1640	/	*[785]	SOFTWARE[785]
13-179	1640-1643	abs	*[785]	SOFTWARE[785]
13-180	1643-1644	/	*[785]	SOFTWARE[785]
13-181	1644-1654	1803.07835	*[785]	SOFTWARE[785]
13-182	1654-1655	)	*[785]	SOFTWARE[785]
