#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Thermometer: Towards Universal Calibration for Large Language Models #### This repository contains official implementation of the paper \[Thermometer: Towards Universal Calibration for Large Language Models\](https://arxiv.org/abs/2403.08819).  ## Requirements ```bash pip install torch==2.2.1 transformers==4.28.1 evaluate==0.4.1 tqdm pandas ``` ## File Structure #### \*src\* folder includes all the source code for the experiments. - ### \*configs\* folder:      includes all the information of training configurations and model hyper-parameter. - ### \*data\* folder:     includes the dataloader to load and process the datasets. - ### other code files:   - \*process\_mrqa.py\* pre-process the raw data in free-form QA datasets MRQA\;    - \*extract\_features.py\* aims to extract labels, features, and logits from pretrained LLMs\;   - \*train\_thermometer.py\* and \*eval\_thermometer.py\* contain the main function to train Thermometer,   and the functions to evaluate calibration performance of trained Thermometer, respectively.   ## Usage #### We provide the scripts to help reproduce the results of our paper. - ### Step-1: extract the features and logits from pre-trained LLMs,     ```     exract.sh     ``` - ### Step-2: train Thermometer model,     ```     train.sh     ``` - ### Step-3: evaluate calibration of trained Thermometer model,     ```     eval.sh     ``` - ### Free-form QA task requires an additional step to pre-process the raw data, i.e., append the LLM's response to the prompts,     ```     mrqa.sh     ``` - ### Choose different types of LLMs,     ```     --model\_type decoder\_only --model\_name Llama-2-7b-chat-hf     --model\_type encoder\_decoder --model\_name flan-t5-xl     ```  ## Citation #### If you find this repository helpful for your research, please consider citing our paper,  ``` @InProceedings{pmlr-v235-shen24c,   title = {Thermometer: Towards Universal Calibration for Large Language Models},   author =  {Shen, Maohao and Das, Subhro and Greenewald, Kristjan and Sattigeri, Prasanna and Wornell, Gregory W. and Ghosh, Soumya},   booktitle = {Proceedings of the 41st International Conference on Machine Learning},   pages = {44687--44711},   year =  {2024},   editor =  {Salakhutdinov, Ruslan and Kolter, Zico and Heller, Katherine and Weller, Adrian and Oliver, Nuria and Scarlett, Jonathan and Berkenkamp, Felix},   volume =  {235},   series =  {Proceedings of Machine Learning Research},   month = {21--27 Jul},   publisher = {PMLR} } ```
1-1	0-1	#	*[523]|*[534]	SOFTWARE[523]|SOFTWARE[534]
1-110	522-527	model	*[534]	SOFTWARE[534]
1-111	528-543	hyper-parameter	*[534]	SOFTWARE[534]
1-112	543-544	.	*[534]	SOFTWARE[534]
1-113	545-546	-	*[534]	SOFTWARE[534]
1-114	547-548	#	*[534]	SOFTWARE[534]
1-115	548-549	#	*[534]	SOFTWARE[534]
1-116	549-550	#	*[534]	SOFTWARE[534]
1-117	551-552	\*	*[534]	SOFTWARE[534]
1-118	552-556	data	*[534]	SOFTWARE[534]
1-119	556-557	\*	*[534]	SOFTWARE[534]
1-120	558-564	folder	*[534]	SOFTWARE[534]
1-121	564-565	:	*[534]	SOFTWARE[534]
1-122	570-578	includes	*[534]	SOFTWARE[534]
1-123	579-582	the	*[534]	SOFTWARE[534]
1-124	583-593	dataloader	*[534]	SOFTWARE[534]
1-125	594-596	to	*[534]	SOFTWARE[534]
1-126	597-601	load	*[534]	SOFTWARE[534]
1-127	602-605	and	*[534]	SOFTWARE[534]
1-128	606-613	process	*[534]	SOFTWARE[534]
1-129	614-617	the	*[534]	SOFTWARE[534]
1-130	618-626	datasets	*[534]	SOFTWARE[534]
1-131	626-627	.	*[534]	SOFTWARE[534]
1-132	628-629	-	*[534]	SOFTWARE[534]
1-133	630-631	#	*[534]	SOFTWARE[534]
1-134	631-632	#	*[534]	SOFTWARE[534]
1-135	632-633	#	*[534]	SOFTWARE[534]
1-136	634-639	other	*[534]	SOFTWARE[534]
1-137	640-644	code	*[534]	SOFTWARE[534]
1-138	645-650	files	*[534]	SOFTWARE[534]
1-139	650-651	:	*[534]	SOFTWARE[534]
1-140	654-655	-	*[534]	SOFTWARE[534]
1-141	656-657	\*	*[534]	SOFTWARE[534]
1-142	657-672	process\_mrqa.py	*[534]	SOFTWARE[534]
1-143	672-673	\*	*[534]	SOFTWARE[534]
1-144	674-685	pre-process	*[534]	SOFTWARE[534]
1-145	686-689	the	*[534]	SOFTWARE[534]
1-146	690-693	raw	*[534]	SOFTWARE[534]
1-147	694-698	data	*[534]	SOFTWARE[534]
1-148	699-701	in	*[534]	SOFTWARE[534]
1-149	702-711	free-form	*[534]	SOFTWARE[534]
1-150	712-714	QA	*[534]	SOFTWARE[534]
1-151	715-723	datasets	*[534]	SOFTWARE[534]
1-152	724-728	MRQA	*[534]	SOFTWARE[534]
1-153	728-729	\;	*[534]	SOFTWARE[534]
1-154	733-734	-	*[534]	SOFTWARE[534]
1-155	735-736	\*	*[534]	SOFTWARE[534]
1-156	736-755	extract\_features.py	*[534]	SOFTWARE[534]
1-157	755-756	\*	*[534]	SOFTWARE[534]
1-158	757-761	aims	*[534]	SOFTWARE[534]
1-159	762-764	to	*[534]	SOFTWARE[534]
1-160	765-772	extract	*[534]	SOFTWARE[534]
1-161	773-779	labels	*[534]	SOFTWARE[534]
1-162	779-780	,	*[534]	SOFTWARE[534]
1-163	781-789	features	*[534]	SOFTWARE[534]
1-164	789-790	,	*[534]	SOFTWARE[534]
1-165	791-794	and	*[534]	SOFTWARE[534]
1-166	795-801	logits	*[534]	SOFTWARE[534]
1-167	802-806	from	*[534]	SOFTWARE[534]
1-168	807-817	pretrained	*[534]	SOFTWARE[534]
1-169	818-822	LLMs	*[534]	SOFTWARE[534]
1-170	822-823	\;	*[534]	SOFTWARE[534]
1-171	826-827	-	*[534]	SOFTWARE[534]
1-172	828-829	\*	*[534]	SOFTWARE[534]
1-173	829-849	train\_thermometer.py	*[534]	SOFTWARE[534]
1-174	849-850	\*	*[534]	SOFTWARE[534]
1-175	851-854	and	*[534]	SOFTWARE[534]
1-176	855-856	\*	*[534]	SOFTWARE[534]
1-177	856-875	eval\_thermometer.py	*[534]	SOFTWARE[534]
1-178	875-876	\*	*[534]	SOFTWARE[534]
1-179	877-884	contain	*[534]	SOFTWARE[534]
1-180	885-888	the	*[534]	SOFTWARE[534]
1-181	889-893	main	*[534]	SOFTWARE[534]
1-182	894-902	function	*[534]	SOFTWARE[534]
1-183	903-905	to	*[534]	SOFTWARE[534]
1-184	906-911	train	*[534]	SOFTWARE[534]
1-185	912-923	Thermometer	*[534]	SOFTWARE[534]
1-186	923-924	,	*[534]	SOFTWARE[534]
1-187	927-930	and	*[534]	SOFTWARE[534]
1-188	931-934	the	*[534]	SOFTWARE[534]
1-189	935-944	functions	*[534]	SOFTWARE[534]
1-190	945-947	to	*[534]	SOFTWARE[534]
1-191	948-956	evaluate	*[534]	SOFTWARE[534]
1-192	957-968	calibration	*[534]	SOFTWARE[534]
1-193	969-980	performance	*[534]	SOFTWARE[534]
1-194	981-983	of	*[534]	SOFTWARE[534]
1-195	984-991	trained	*[534]	SOFTWARE[534]
1-196	992-1003	Thermometer	*[534]	SOFTWARE[534]
1-197	1003-1004	,	*[534]	SOFTWARE[534]
1-198	1005-1017	respectively	*[534]	SOFTWARE[534]
1-199	1017-1018	.	*[534]	SOFTWARE[534]
1-200	1021-1022	#	*[534]	SOFTWARE[534]
1-201	1022-1023	#	*[534]	SOFTWARE[534]
1-202	1024-1029	Usage	*[534]	SOFTWARE[534]
1-203	1030-1031	#	*[534]	SOFTWARE[534]
1-204	1031-1032	#	*[534]	SOFTWARE[534]
1-205	1032-1033	#	*[534]	SOFTWARE[534]
1-206	1033-1034	#	*[534]	SOFTWARE[534]
1-207	1035-1037	We	*[534]	SOFTWARE[534]
1-208	1038-1045	provide	*[534]	SOFTWARE[534]
1-209	1046-1049	the	*[534]	SOFTWARE[534]
1-210	1050-1057	scripts	*[534]	SOFTWARE[534]
1-211	1058-1060	to	*[534]	SOFTWARE[534]
1-212	1061-1065	help	*[534]	SOFTWARE[534]
1-213	1066-1075	reproduce	*[534]	SOFTWARE[534]
1-214	1076-1079	the	*[534]	SOFTWARE[534]
1-215	1080-1087	results	*[534]	SOFTWARE[534]
1-216	1088-1090	of	*[534]	SOFTWARE[534]
1-217	1091-1094	our	*[534]	SOFTWARE[534]
1-218	1095-1100	paper	*[534]	SOFTWARE[534]
1-219	1100-1101	.	*[534]	SOFTWARE[534]
1-220	1102-1103	-	*[534]	SOFTWARE[534]
1-221	1104-1105	#	*[534]	SOFTWARE[534]
1-222	1105-1106	#	*[534]	SOFTWARE[534]
1-223	1106-1107	#	*[534]	SOFTWARE[534]
1-224	1108-1112	Step	*[534]	SOFTWARE[534]
1-225	1112-1113	-	*[534]	SOFTWARE[534]
1-226	1113-1114	1	*[534]	SOFTWARE[534]
1-227	1114-1115	:	*[534]	SOFTWARE[534]
1-228	1116-1123	extract	*[534]	SOFTWARE[534]
1-229	1124-1127	the	*[534]	SOFTWARE[534]
1-230	1128-1136	features	*[534]	SOFTWARE[534]
1-231	1137-1140	and	*[534]	SOFTWARE[534]
1-232	1141-1147	logits	*[534]	SOFTWARE[534]
1-233	1148-1152	from	*[534]	SOFTWARE[534]
1-234	1153-1164	pre-trained	*[534]	SOFTWARE[534]
1-235	1165-1169	LLMs	*[534]	SOFTWARE[534]
1-236	1169-1170	,	*[534]	SOFTWARE[534]
1-237	1175-1176	`	*[534]	SOFTWARE[534]
1-238	1176-1177	`	*[534]	SOFTWARE[534]
1-239	1177-1178	`	*[534]	SOFTWARE[534]
1-240	1183-1192	exract.sh	*[534]	SOFTWARE[534]
1-241	1197-1198	`	*[534]	SOFTWARE[534]
1-242	1198-1199	`	*[534]	SOFTWARE[534]
1-243	1199-1200	`	*[534]	SOFTWARE[534]
1-244	1201-1202	-	*[534]	SOFTWARE[534]
1-245	1203-1204	#	*[534]	SOFTWARE[534]
1-246	1204-1205	#	*[534]	SOFTWARE[534]
1-247	1205-1206	#	*[534]	SOFTWARE[534]
1-248	1207-1211	Step	*[534]	SOFTWARE[534]
1-249	1211-1212	-	*[534]	SOFTWARE[534]
1-250	1212-1213	2	*[534]	SOFTWARE[534]
1-251	1213-1214	:	*[534]	SOFTWARE[534]
1-252	1215-1220	train	*[534]	SOFTWARE[534]
1-253	1221-1232	Thermometer	*[534]	SOFTWARE[534]
1-254	1233-1238	model	*[534]	SOFTWARE[534]
1-255	1238-1239	,	*[534]	SOFTWARE[534]
1-256	1244-1245	`	*[534]	SOFTWARE[534]
1-257	1245-1246	`	*[534]	SOFTWARE[534]
1-258	1246-1247	`	*[534]	SOFTWARE[534]
1-259	1252-1260	train.sh	*[534]	SOFTWARE[534]
1-260	1265-1266	`	*[534]	SOFTWARE[534]
1-261	1266-1267	`	*[534]	SOFTWARE[534]
1-262	1267-1268	`	*[534]	SOFTWARE[534]
1-263	1269-1270	-	*[534]	SOFTWARE[534]
1-264	1271-1272	#	*[534]	SOFTWARE[534]
1-265	1272-1273	#	*[534]	SOFTWARE[534]
1-266	1273-1274	#	*[534]	SOFTWARE[534]
1-267	1275-1279	Step	*[534]	SOFTWARE[534]
1-268	1279-1280	-	*[534]	SOFTWARE[534]
1-269	1280-1281	3	*[534]	SOFTWARE[534]
1-270	1281-1282	:	*[534]	SOFTWARE[534]
1-271	1283-1291	evaluate	*[534]	SOFTWARE[534]
1-272	1292-1303	calibration	*[534]	SOFTWARE[534]
1-273	1304-1306	of	*[534]	SOFTWARE[534]
1-274	1307-1314	trained	*[534]	SOFTWARE[534]
1-275	1315-1326	Thermometer	*[534]	SOFTWARE[534]
1-276	1327-1332	model	*[534]	SOFTWARE[534]
1-277	1332-1333	,	*[534]	SOFTWARE[534]
1-278	1338-1339	`	*[534]	SOFTWARE[534]
1-279	1339-1340	`	*[534]	SOFTWARE[534]
1-280	1340-1341	`	*[534]	SOFTWARE[534]
1-281	1346-1353	eval.sh	*[534]	SOFTWARE[534]
1-282	1358-1359	`	*[534]	SOFTWARE[534]
1-283	1359-1360	`	*[534]	SOFTWARE[534]
1-284	1360-1361	`	*[534]	SOFTWARE[534]
1-285	1362-1363	-	*[534]	SOFTWARE[534]
1-286	1364-1365	#	*[534]	SOFTWARE[534]
1-287	1365-1366	#	*[534]	SOFTWARE[534]
1-288	1366-1367	#	*[534]	SOFTWARE[534]
1-289	1368-1377	Free-form	*[534]	SOFTWARE[534]
1-290	1378-1380	QA	*[534]	SOFTWARE[534]
1-291	1381-1385	task	*[534]	SOFTWARE[534]
1-292	1386-1394	requires	*[534]	SOFTWARE[534]
1-293	1395-1397	an	*[534]	SOFTWARE[534]
1-294	1398-1408	additional	*[534]	SOFTWARE[534]
1-295	1409-1413	step	*[534]	SOFTWARE[534]
1-296	1414-1416	to	*[534]	SOFTWARE[534]
1-297	1417-1428	pre-process	*[534]	SOFTWARE[534]
1-298	1429-1432	the	*[534]	SOFTWARE[534]
1-299	1433-1436	raw	*[534]	SOFTWARE[534]
1-300	1437-1441	data	*[534]	SOFTWARE[534]
1-301	1441-1442	,	*[534]	SOFTWARE[534]
1-302	1443-1446	i.e	*[534]	SOFTWARE[534]
1-303	1446-1447	.	*[534]	SOFTWARE[534]
1-304	1447-1448	,	*[534]	SOFTWARE[534]
1-305	1449-1455	append	*[534]	SOFTWARE[534]
1-306	1456-1459	the	*[534]	SOFTWARE[534]
1-307	1460-1465	LLM's	*[534]	SOFTWARE[534]
1-308	1466-1474	response	*[534]	SOFTWARE[534]
1-309	1475-1477	to	*[534]	SOFTWARE[534]
1-310	1478-1481	the	*[534]	SOFTWARE[534]
1-311	1482-1489	prompts	*[534]	SOFTWARE[534]
1-312	1489-1490	,	*[534]	SOFTWARE[534]
1-313	1495-1496	`	*[534]	SOFTWARE[534]
1-314	1496-1497	`	*[534]	SOFTWARE[534]
1-315	1497-1498	`	*[534]	SOFTWARE[534]
1-316	1503-1510	mrqa.sh	*[534]	SOFTWARE[534]
1-316	1503-1507	mrqa	*[534]	SOFTWARE[534]
1-317	1515-1516	`	*[534]	SOFTWARE[534]
1-318	1516-1517	`	*[534]	SOFTWARE[534]
1-319	1517-1518	`	*[534]	SOFTWARE[534]
1-320	1519-1520	-	*[534]	SOFTWARE[534]
1-321	1521-1522	#	*[534]	SOFTWARE[534]
1-322	1522-1523	#	*[534]	SOFTWARE[534]
1-323	1523-1524	#	*[534]	SOFTWARE[534]
1-324	1525-1531	Choose	*[534]	SOFTWARE[534]
1-325	1532-1541	different	*[534]	SOFTWARE[534]
1-326	1542-1547	types	*[534]	SOFTWARE[534]
1-327	1548-1550	of	*[534]	SOFTWARE[534]
1-328	1551-1555	LLMs	*[534]	SOFTWARE[534]
1-329	1555-1556	,	*[534]	SOFTWARE[534]
1-330	1561-1562	`	*[534]	SOFTWARE[534]
1-331	1562-1563	`	*[534]	SOFTWARE[534]
1-332	1563-1564	`	*[534]	SOFTWARE[534]
1-333	1569-1570	-	*[534]	SOFTWARE[534]
1-334	1570-1571	-	*[534]	SOFTWARE[534]
1-335	1571-1581	model\_type	*[534]	SOFTWARE[534]
1-336	1582-1594	decoder\_only	*[534]	SOFTWARE[534]
1-337	1595-1596	-	*[534]	SOFTWARE[534]
1-338	1596-1597	-	*[534]	SOFTWARE[534]
1-339	1597-1607	model\_name	*[534]	SOFTWARE[534]
1-340	1608-1613	Llama	*[534]	SOFTWARE[534]
1-341	1613-1614	-	*[534]	SOFTWARE[534]
1-342	1614-1615	2	*[534]	SOFTWARE[534]
1-343	1615-1616	-	*[534]	SOFTWARE[534]
1-344	1616-1626	7b-chat-hf	*[534]	SOFTWARE[534]
1-345	1631-1632	-	*[534]	SOFTWARE[534]
1-346	1632-1633	-	*[534]	SOFTWARE[534]
1-347	1633-1643	model\_type	*[534]	SOFTWARE[534]
1-348	1644-1659	encoder\_decoder	*[534]	SOFTWARE[534]
1-349	1660-1661	-	*[534]	SOFTWARE[534]
1-350	1661-1662	-	*[534]	SOFTWARE[534]
1-351	1662-1672	model\_name	*[534]	SOFTWARE[534]
1-352	1673-1680	flan-t5	*[534]	SOFTWARE[534]
1-353	1680-1681	-	*[534]	SOFTWARE[534]
1-354	1681-1683	xl	*[534]	SOFTWARE[534]
1-355	1688-1689	`	*[534]	SOFTWARE[534]
1-356	1689-1690	`	*[534]	SOFTWARE[534]
1-357	1690-1691	`	*[534]	SOFTWARE[534]
1-358	1693-1694	#	*[534]	SOFTWARE[534]
1-359	1694-1695	#	*[534]	SOFTWARE[534]
1-360	1696-1704	Citation	*[534]	SOFTWARE[534]
1-361	1705-1706	#	*[534]	SOFTWARE[534]
1-362	1706-1707	#	*[534]	SOFTWARE[534]
1-363	1707-1708	#	*[534]	SOFTWARE[534]
1-364	1708-1709	#	*[534]	SOFTWARE[534]
1-365	1710-1712	If	*[534]	SOFTWARE[534]
1-366	1713-1716	you	*[534]	SOFTWARE[534]
1-367	1717-1721	find	*[534]	SOFTWARE[534]
1-368	1722-1726	this	*[534]	SOFTWARE[534]
1-369	1727-1737	repository	*[534]	SOFTWARE[534]
1-370	1738-1745	helpful	*[534]	SOFTWARE[534]
1-371	1746-1749	for	*[534]	SOFTWARE[534]
1-372	1750-1754	your	*[534]	SOFTWARE[534]
1-373	1755-1763	research	*[534]	SOFTWARE[534]
1-374	1763-1764	,	*[534]	SOFTWARE[534]
1-375	1765-1771	please	*[534]	SOFTWARE[534]
1-376	1772-1780	consider	*[534]	SOFTWARE[534]
1-377	1781-1787	citing	*[534]	SOFTWARE[534]
1-378	1788-1791	our	*[534]	SOFTWARE[534]
1-379	1792-1797	paper	*[534]	SOFTWARE[534]
1-380	1797-1798	,	*[534]	SOFTWARE[534]
1-381	1800-1801	`	*[534]	SOFTWARE[534]
1-382	1801-1802	`	*[534]	SOFTWARE[534]
1-383	1802-1803	`	*[534]	SOFTWARE[534]
1-384	1804-1805	@	*[534]	SOFTWARE[534]
1-385	1805-1818	InProceedings	*[534]	SOFTWARE[534]
1-386	1818-1819	{	*[534]	SOFTWARE[534]
1-387	1819-1828	pmlr-v235	*[534]	SOFTWARE[534]
1-388	1828-1829	-	*[534]	SOFTWARE[534]
1-389	1829-1836	shen24c	*[534]	SOFTWARE[534]
1-390	1836-1837	,	*[534]	SOFTWARE[534]
1-391	1840-1845	title	*[534]	SOFTWARE[534]
1-392	1846-1847	=	*[534]	SOFTWARE[534]
1-393	1848-1849	{	*[534]	SOFTWARE[534]
1-394	1849-1860	Thermometer	*[534]	SOFTWARE[534]
1-395	1860-1861	:	*[534]	SOFTWARE[534]
1-396	1862-1869	Towards	*[534]	SOFTWARE[534]
1-397	1870-1879	Universal	*[534]	SOFTWARE[534]
1-398	1880-1891	Calibration	*[534]	SOFTWARE[534]
1-399	1892-1895	for	*[534]	SOFTWARE[534]
1-400	1896-1901	Large	*[534]	SOFTWARE[534]
1-401	1902-1910	Language	*[534]	SOFTWARE[534]
1-402	1911-1917	Models	*[534]	SOFTWARE[534]
1-403	1917-1918	}	*[534]	SOFTWARE[534]
1-404	1918-1919	,	*[534]	SOFTWARE[534]
1-405	1922-1928	author	*[534]	SOFTWARE[534]
1-406	1929-1930	=	*[534]	SOFTWARE[534]
1-407	1932-1933	{	*[534]	SOFTWARE[534]
1-408	1933-1937	Shen	*[534]	SOFTWARE[534]
1-409	1937-1938	,	*[534]	SOFTWARE[534]
1-410	1939-1945	Maohao	*[534]	SOFTWARE[534]
1-411	1946-1949	and	*[534]	SOFTWARE[534]
1-412	1950-1953	Das	*[534]	SOFTWARE[534]
1-413	1953-1954	,	*[534]	SOFTWARE[534]
1-414	1955-1961	Subhro	*[534]	SOFTWARE[534]
1-415	1962-1965	and	*[534]	SOFTWARE[534]
1-416	1966-1976	Greenewald	*[534]	SOFTWARE[534]
1-417	1976-1977	,	*[534]	SOFTWARE[534]
1-418	1978-1986	Kristjan	*[534]	SOFTWARE[534]
1-419	1987-1990	and	*[534]	SOFTWARE[534]
1-420	1991-2000	Sattigeri	*[534]	SOFTWARE[534]
1-421	2000-2001	,	*[534]	SOFTWARE[534]
1-422	2002-2010	Prasanna	*[534]	SOFTWARE[534]
