#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=<h1 align="center">PFHedge: Deep Hedging in PyTorch</h1>  \[!
1-1	0-1	<	*[523]|*[788]	SOFTWARE[523]|SOFTWARE[788]
4-3	248-249	\]	*[788]	SOFTWARE[788]
4-4	249-250	(	*[788]	SOFTWARE[788]
4-5	250-255	https	*[788]	SOFTWARE[788]
4-6	255-256	:	*[788]	SOFTWARE[788]
4-7	256-257	/	*[788]	SOFTWARE[788]
4-8	257-258	/	*[788]	SOFTWARE[788]
4-9	258-268	github.com	*[788]	SOFTWARE[788]
4-10	268-269	/	*[788]	SOFTWARE[788]
4-11	269-283	pfnet-research	*[788]	SOFTWARE[788]
4-12	283-284	/	*[788]	SOFTWARE[788]
4-13	284-291	pfhedge	*[788]	SOFTWARE[788]
4-14	291-292	/	*[788]	SOFTWARE[788]
4-15	292-301	workflows	*[788]	SOFTWARE[788]
4-16	301-302	/	*[788]	SOFTWARE[788]
4-17	302-304	CI	*[788]	SOFTWARE[788]
4-18	304-305	/	*[788]	SOFTWARE[788]
4-19	305-314	badge.svg	*[788]	SOFTWARE[788]
4-20	314-315	)	*[788]	SOFTWARE[788]
4-21	315-316	\]	*[788]	SOFTWARE[788]
4-22	316-317	(	*[788]	SOFTWARE[788]
4-23	317-322	https	*[788]	SOFTWARE[788]
4-24	322-323	:	*[788]	SOFTWARE[788]
4-25	323-324	/	*[788]	SOFTWARE[788]
4-26	324-325	/	*[788]	SOFTWARE[788]
4-27	325-335	github.com	*[788]	SOFTWARE[788]
4-28	335-336	/	*[788]	SOFTWARE[788]
4-29	336-350	pfnet-research	*[788]	SOFTWARE[788]
4-30	350-351	/	*[788]	SOFTWARE[788]
4-31	351-358	pfhedge	*[788]	SOFTWARE[788]
4-32	358-359	/	*[788]	SOFTWARE[788]
4-33	359-366	actions	*[788]	SOFTWARE[788]
4-34	366-367	?	*[788]	SOFTWARE[788]

#Text=query=workflow%3ACI) \[!
5-1	367-372	query	*[788]	SOFTWARE[788]
5-2	372-373	=	*[788]	SOFTWARE[788]
5-3	373-381	workflow	*[788]	SOFTWARE[788]
5-4	381-382	%	*[788]	SOFTWARE[788]
5-5	382-386	3ACI	*[788]	SOFTWARE[788]
5-6	386-387	)	*[788]	SOFTWARE[788]
5-7	388-389	\[	*[788]	SOFTWARE[788]
5-8	389-390	!	*[788]	SOFTWARE[788]

#Text=\[codecov\](https://codecov.io/gh/pfnet-research/pfhedge/branch/main/graph/badge.svg?
6-1	390-391	\[	*[788]	SOFTWARE[788]
6-2	391-398	codecov	*[788]	SOFTWARE[788]
6-3	398-399	\]	*[788]	SOFTWARE[788]
6-4	399-400	(	*[788]	SOFTWARE[788]
6-5	400-405	https	*[788]	SOFTWARE[788]
6-6	405-406	:	*[788]	SOFTWARE[788]
6-7	406-407	/	*[788]	SOFTWARE[788]
6-8	407-408	/	*[788]	SOFTWARE[788]
6-9	408-418	codecov.io	*[788]	SOFTWARE[788]
6-10	418-419	/	*[788]	SOFTWARE[788]
6-11	419-421	gh	*[788]	SOFTWARE[788]
6-12	421-422	/	*[788]	SOFTWARE[788]
6-13	422-436	pfnet-research	*[788]	SOFTWARE[788]
6-14	436-437	/	*[788]	SOFTWARE[788]
6-15	437-444	pfhedge	*[788]	SOFTWARE[788]
6-16	444-445	/	*[788]	SOFTWARE[788]
6-17	445-451	branch	*[788]	SOFTWARE[788]
6-18	451-452	/	*[788]	SOFTWARE[788]
6-19	452-456	main	*[788]	SOFTWARE[788]
6-20	456-457	/	*[788]	SOFTWARE[788]
6-21	457-462	graph	*[788]	SOFTWARE[788]
6-22	462-463	/	*[788]	SOFTWARE[788]
6-23	463-472	badge.svg	*[788]	SOFTWARE[788]
6-24	472-473	?	*[788]	SOFTWARE[788]

#Text=token=GpXV1ldVCN)\](https://codecov.io/gh/pfnet-research/pfhedge) \[!
7-1	473-478	token	*[788]	SOFTWARE[788]
7-2	478-479	=	*[788]	SOFTWARE[788]
7-3	479-489	GpXV1ldVCN	*[788]	SOFTWARE[788]
7-4	489-490	)	*[788]	SOFTWARE[788]
7-5	490-491	\]	*[788]	SOFTWARE[788]
7-6	491-492	(	*[788]	SOFTWARE[788]
7-7	492-497	https	*[788]	SOFTWARE[788]
7-8	497-498	:	*[788]	SOFTWARE[788]
7-9	498-499	/	*[788]	SOFTWARE[788]
7-10	499-500	/	*[788]	SOFTWARE[788]
7-11	500-510	codecov.io	*[788]	SOFTWARE[788]
7-11	500-507	codecov	*[788]	SOFTWARE[788]
7-12	510-511	/	*[788]	SOFTWARE[788]
7-13	511-513	gh	*[788]	SOFTWARE[788]
7-14	513-514	/	*[788]	SOFTWARE[788]
7-15	514-528	pfnet-research	*[788]	SOFTWARE[788]
7-16	528-529	/	*[788]	SOFTWARE[788]
7-17	529-536	pfhedge	*[788]	SOFTWARE[788]
7-18	536-537	)	*[788]	SOFTWARE[788]
7-19	538-539	\[	*[788]	SOFTWARE[788]
7-20	539-540	!	*[788]	SOFTWARE[788]

#Text=\[downloads\](https://img.shields.io/pypi/dm/pfhedge)\](https://pypi.org/project/pfhedge) \[!
8-1	540-541	\[	*[788]	SOFTWARE[788]
8-2	541-550	downloads	*[788]	SOFTWARE[788]
8-3	550-551	\]	*[788]	SOFTWARE[788]
8-4	551-552	(	*[788]	SOFTWARE[788]
8-5	552-557	https	*[788]	SOFTWARE[788]
8-6	557-558	:	*[788]	SOFTWARE[788]
8-7	558-559	/	*[788]	SOFTWARE[788]
8-8	559-560	/	*[788]	SOFTWARE[788]
8-9	560-574	img.shields.io	*[788]	SOFTWARE[788]
8-10	574-575	/	*[788]	SOFTWARE[788]
8-11	575-579	pypi	*[788]	SOFTWARE[788]
8-12	579-580	/	*[788]	SOFTWARE[788]
8-13	580-582	dm	*[788]	SOFTWARE[788]
8-14	582-583	/	*[788]	SOFTWARE[788]
8-15	583-590	pfhedge	*[788]	SOFTWARE[788]
8-16	590-591	)	*[788]	SOFTWARE[788]
8-17	591-592	\]	*[788]	SOFTWARE[788]
8-18	592-593	(	*[788]	SOFTWARE[788]
8-19	593-598	https	*[788]	SOFTWARE[788]
8-20	598-599	:	*[788]	SOFTWARE[788]
8-21	599-600	/	*[788]	SOFTWARE[788]
8-22	600-601	/	*[788]	SOFTWARE[788]
8-23	601-609	pypi.org	*[788]	SOFTWARE[788]
8-24	609-610	/	*[788]	SOFTWARE[788]
8-25	610-617	project	*[788]	SOFTWARE[788]
8-26	617-618	/	*[788]	SOFTWARE[788]
8-27	618-625	pfhedge	*[788]	SOFTWARE[788]
8-28	625-626	)	*[788]	SOFTWARE[788]
8-29	627-628	\[	*[788]	SOFTWARE[788]
8-30	628-629	!	*[788]	SOFTWARE[788]

#Text=\[code style: black\](https://img.shields.io/badge/code%20style-black-000000.svg)\](https://github.com/psf/black) !
9-1	629-630	\[	*[788]	SOFTWARE[788]
9-2	630-634	code	*[788]	SOFTWARE[788]
9-3	635-640	style	*[788]	SOFTWARE[788]
9-4	640-641	:	*[788]	SOFTWARE[788]
9-5	642-647	black	*[788]	SOFTWARE[788]
9-6	647-648	\]	*[788]	SOFTWARE[788]
9-7	648-649	(	*[788]	SOFTWARE[788]
9-8	649-654	https	*[788]	SOFTWARE[788]
9-9	654-655	:	*[788]	SOFTWARE[788]
9-10	655-656	/	*[788]	SOFTWARE[788]
9-11	656-657	/	*[788]	SOFTWARE[788]
9-12	657-671	img.shields.io	*[788]	SOFTWARE[788]
9-13	671-672	/	*[788]	SOFTWARE[788]
9-14	672-677	badge	*[788]	SOFTWARE[788]
9-15	677-678	/	*[788]	SOFTWARE[788]
9-16	678-682	code	*[788]	SOFTWARE[788]
9-17	682-683	%	*[788]	SOFTWARE[788]
9-18	683-696	20style-black	*[788]	SOFTWARE[788]
9-19	696-697	-	*[788]	SOFTWARE[788]
9-20	697-703	000000	*[788]	SOFTWARE[788]
9-21	703-704	.	*[788]	SOFTWARE[788]
9-22	704-707	svg	*[788]	SOFTWARE[788]
9-23	707-708	)	*[788]	SOFTWARE[788]
9-24	708-709	\]	*[788]	SOFTWARE[788]
9-25	709-710	(	*[788]	SOFTWARE[788]
9-26	710-715	https	*[788]	SOFTWARE[788]
9-27	715-716	:	*[788]	SOFTWARE[788]
9-28	716-717	/	*[788]	SOFTWARE[788]
9-29	717-718	/	*[788]	SOFTWARE[788]
9-30	718-728	github.com	*[788]	SOFTWARE[788]
9-31	728-729	/	*[788]	SOFTWARE[788]
9-32	729-732	psf	*[788]	SOFTWARE[788]
9-33	732-733	/	*[788]	SOFTWARE[788]
9-34	733-738	black	*[788]	SOFTWARE[788]
9-35	738-739	)	*[788]	SOFTWARE[788]
9-36	740-741	!	*[788]	SOFTWARE[788]

#Text=\[pytorch\](https://img.shields.io/badge/torch-1.9.0--%20%7C%202.0.0---red)  \*\*PFHedge\*\* is a \[PyTorch\](https://pytorch.org/)-based framework for \[Deep Hedging\]\[deep-hedging-arxiv\]
10-1	741-742	\[	*[788]	SOFTWARE[788]
10-2	742-749	pytorch	*[788]	SOFTWARE[788]
10-3	749-750	\]	*[788]	SOFTWARE[788]
10-4	750-751	(	*[788]	SOFTWARE[788]
10-5	751-756	https	*[788]	SOFTWARE[788]
10-6	756-757	:	*[788]	SOFTWARE[788]
10-7	757-758	/	*[788]	SOFTWARE[788]
10-8	758-759	/	*[788]	SOFTWARE[788]
10-9	759-773	img.shields.io	*[788]	SOFTWARE[788]
10-10	773-774	/	*[788]	SOFTWARE[788]
10-11	774-779	badge	*[788]	SOFTWARE[788]
10-12	779-780	/	*[788]	SOFTWARE[788]
10-13	780-785	torch	*[788]	SOFTWARE[788]
10-14	785-786	-	*[788]	SOFTWARE[788]
10-15	786-791	1.9.0	*[788]	SOFTWARE[788]
10-16	791-792	-	*[788]	SOFTWARE[788]
10-17	792-793	-	*[788]	SOFTWARE[788]
10-18	793-794	%	*[788]	SOFTWARE[788]
10-19	794-797	20%	*[788]	SOFTWARE[788]
10-20	797-799	7C	*[788]	SOFTWARE[788]
10-21	799-800	%	*[788]	SOFTWARE[788]
10-22	800-807	202.0.0	*[788]	SOFTWARE[788]
10-23	807-808	-	*[788]	SOFTWARE[788]
10-24	808-809	-	*[788]	SOFTWARE[788]
10-25	809-810	-	*[788]	SOFTWARE[788]
10-26	810-813	red	*[788]	SOFTWARE[788]
10-27	813-814	)	*[788]	SOFTWARE[788]
10-28	816-817	\*	*[788]	SOFTWARE[788]
10-29	817-818	\*	*[788]	SOFTWARE[788]
10-30	818-825	PFHedge	*[788]	SOFTWARE[788]
10-31	825-826	\*	*[788]	SOFTWARE[788]
10-32	826-827	\*	*[788]	SOFTWARE[788]
10-33	828-830	is	*[788]	SOFTWARE[788]
10-34	831-832	a	*[788]	SOFTWARE[788]
10-35	833-834	\[	*[788]	SOFTWARE[788]
10-36	834-841	PyTorch	*[788]	SOFTWARE[788]
10-37	841-842	\]	*[788]	SOFTWARE[788]
10-38	842-843	(	*[788]	SOFTWARE[788]
10-39	843-848	https	*[788]	SOFTWARE[788]
10-40	848-849	:	*[788]	SOFTWARE[788]
10-41	849-850	/	*[788]	SOFTWARE[788]
10-42	850-851	/	*[788]	SOFTWARE[788]
10-43	851-862	pytorch.org	*[788]	SOFTWARE[788]
10-43	851-858	pytorch	*[788]	SOFTWARE[788]
10-44	862-863	/	*[788]	SOFTWARE[788]
10-45	863-864	)	*[788]	SOFTWARE[788]
10-46	864-865	-	*[788]	SOFTWARE[788]
10-47	865-870	based	*[788]	SOFTWARE[788]
10-48	871-880	framework	*[788]	SOFTWARE[788]
10-49	881-884	for	*[788]	SOFTWARE[788]
10-50	885-886	\[	*[788]	SOFTWARE[788]
10-51	886-890	Deep	*[788]	SOFTWARE[788]
10-52	891-898	Hedging	*[788]	SOFTWARE[788]
10-53	898-899	\]	*[788]	SOFTWARE[788]
10-54	899-900	\[	*[788]	SOFTWARE[788]
10-55	900-918	deep-hedging-arxiv	*[788]	SOFTWARE[788]
10-56	918-919	\]	*[788]	SOFTWARE[788]

#Text=.
11-1	919-920	.	*[788]	SOFTWARE[788]

#Text=\* \[PFHedge Documentation\](https://pfnet-research.github.io/pfhedge/) \* \[Neural Network Architecture for Efficient Deep Hedging\](https://tech.preferred.jp/en/blog/neural-network-architecture-for-efficient-deep-hedging/) (\[Japanese version\](https://tech.preferred.jp/ja/blog/deep-hedging/))  ## What is Deep Hedging?
12-1	922-923	\*	*[788]	SOFTWARE[788]
12-2	924-925	\[	*[788]	SOFTWARE[788]
12-3	925-932	PFHedge	*[788]	SOFTWARE[788]
12-4	933-946	Documentation	*[788]	SOFTWARE[788]
12-5	946-947	\]	*[788]	SOFTWARE[788]
12-6	947-948	(	*[788]	SOFTWARE[788]
12-7	948-953	https	*[788]	SOFTWARE[788]
12-8	953-954	:	*[788]	SOFTWARE[788]
12-9	954-955	/	*[788]	SOFTWARE[788]
12-10	955-956	/	*[788]	SOFTWARE[788]
12-11	956-980	pfnet-research.github.io	*[788]	SOFTWARE[788]
12-12	980-981	/	*[788]	SOFTWARE[788]
12-13	981-988	pfhedge	*[788]	SOFTWARE[788]
12-14	988-989	/	*[788]	SOFTWARE[788]
12-15	989-990	)	*[788]	SOFTWARE[788]
12-16	991-992	\*	*[788]	SOFTWARE[788]
12-17	993-994	\[	*[788]	SOFTWARE[788]
12-18	994-1000	Neural	*[788]	SOFTWARE[788]
12-19	1001-1008	Network	*[788]	SOFTWARE[788]
12-20	1009-1021	Architecture	*[788]	SOFTWARE[788]
12-21	1022-1025	for	*[788]	SOFTWARE[788]
12-22	1026-1035	Efficient	*[788]	SOFTWARE[788]
12-23	1036-1040	Deep	*[788]	SOFTWARE[788]
12-24	1041-1048	Hedging	*[788]	SOFTWARE[788]
12-25	1048-1049	\]	*[788]	SOFTWARE[788]
12-26	1049-1050	(	*[788]	SOFTWARE[788]
12-27	1050-1055	https	*[788]	SOFTWARE[788]
12-28	1055-1056	:	*[788]	SOFTWARE[788]
12-29	1056-1057	/	*[788]	SOFTWARE[788]
12-30	1057-1058	/	*[788]	SOFTWARE[788]
12-31	1058-1075	tech.preferred.jp	*[788]	SOFTWARE[788]
12-32	1075-1076	/	*[788]	SOFTWARE[788]
12-33	1076-1078	en	*[788]	SOFTWARE[788]
12-34	1078-1079	/	*[788]	SOFTWARE[788]
12-35	1079-1083	blog	*[788]	SOFTWARE[788]
12-36	1083-1084	/	*[788]	SOFTWARE[788]
12-37	1084-1138	neural-network-architecture-for-efficient-deep-hedging	*[788]	SOFTWARE[788]
12-38	1138-1139	/	*[788]	SOFTWARE[788]
12-39	1139-1140	)	*[788]	SOFTWARE[788]
12-40	1141-1142	(	*[788]	SOFTWARE[788]
12-41	1142-1143	\[	*[788]	SOFTWARE[788]
12-42	1143-1151	Japanese	*[788]	SOFTWARE[788]
12-43	1152-1159	version	*[788]	SOFTWARE[788]
12-44	1159-1160	\]	*[788]	SOFTWARE[788]
12-45	1160-1161	(	*[788]	SOFTWARE[788]
12-46	1161-1166	https	*[788]	SOFTWARE[788]
12-47	1166-1167	:	*[788]	SOFTWARE[788]
12-48	1167-1168	/	*[788]	SOFTWARE[788]
12-49	1168-1169	/	*[788]	SOFTWARE[788]
12-50	1169-1186	tech.preferred.jp	*[788]	SOFTWARE[788]
12-51	1186-1187	/	*[788]	SOFTWARE[788]
12-52	1187-1189	ja	*[788]	SOFTWARE[788]
12-53	1189-1190	/	*[788]	SOFTWARE[788]
12-54	1190-1194	blog	*[788]	SOFTWARE[788]
12-55	1194-1195	/	*[788]	SOFTWARE[788]
12-56	1195-1207	deep-hedging	*[788]	SOFTWARE[788]
12-57	1207-1208	/	*[788]	SOFTWARE[788]
12-58	1208-1209	)	*[788]	SOFTWARE[788]
12-59	1209-1210	)	*[788]	SOFTWARE[788]
12-60	1212-1213	#	*[788]	SOFTWARE[788]
12-61	1213-1214	#	*[788]	SOFTWARE[788]
12-62	1215-1219	What	*[788]	SOFTWARE[788]
12-63	1220-1222	is	*[788]	SOFTWARE[788]
12-64	1223-1227	Deep	*[788]	SOFTWARE[788]
12-65	1228-1235	Hedging	*[788]	SOFTWARE[788]
12-66	1235-1236	?	*[788]	SOFTWARE[788]

#Text=\[\*\*Deep Hedging\*\*\]\[deep-hedging-arxiv\] is a deep learning-based framework to hedge financial derivatives.
13-1	1238-1239	\[	*[788]	SOFTWARE[788]
13-2	1239-1240	\*	*[788]	SOFTWARE[788]
13-3	1240-1241	\*	*[788]	SOFTWARE[788]
13-4	1241-1245	Deep	*[788]	SOFTWARE[788]
13-5	1246-1253	Hedging	*[788]	SOFTWARE[788]
13-6	1253-1254	\*	*[788]	SOFTWARE[788]
13-7	1254-1255	\*	*[788]	SOFTWARE[788]
13-8	1255-1256	\]	*[788]	SOFTWARE[788]
13-9	1256-1257	\[	*[788]	SOFTWARE[788]
13-10	1257-1275	deep-hedging-arxiv	*[788]	SOFTWARE[788]
13-11	1275-1276	\]	*[788]	SOFTWARE[788]
13-12	1277-1279	is	*[788]	SOFTWARE[788]
13-13	1280-1281	a	*[788]	SOFTWARE[788]
13-14	1282-1286	deep	*[788]	SOFTWARE[788]
13-15	1287-1301	learning-based	*[788]	SOFTWARE[788]
13-16	1302-1311	framework	*[788]	SOFTWARE[788]
13-17	1312-1314	to	*[788]	SOFTWARE[788]
13-18	1315-1320	hedge	*[788]	SOFTWARE[788]
13-19	1321-1330	financial	*[788]	SOFTWARE[788]
13-20	1331-1342	derivatives	*[788]	SOFTWARE[788]
13-21	1342-1343	.	*[788]	SOFTWARE[788]

#Text=Hedging \[financial derivatives\](https://en.wikipedia.org/wiki/Derivative\_(finance)) in the presence of market frictions (e.g., transaction cost) is a challenging task.
14-1	1345-1352	Hedging	*[788]	SOFTWARE[788]
14-2	1353-1354	\[	*[788]	SOFTWARE[788]
14-3	1354-1363	financial	*[788]	SOFTWARE[788]
14-4	1364-1375	derivatives	*[788]	SOFTWARE[788]
14-5	1375-1376	\]	*[788]	SOFTWARE[788]
14-6	1376-1377	(	*[788]	SOFTWARE[788]
14-7	1377-1382	https	*[788]	SOFTWARE[788]
14-8	1382-1383	:	*[788]	SOFTWARE[788]
14-9	1383-1384	/	*[788]	SOFTWARE[788]
14-10	1384-1385	/	*[788]	SOFTWARE[788]
14-11	1385-1401	en.wikipedia.org	*[788]	SOFTWARE[788]
14-12	1401-1402	/	*[788]	SOFTWARE[788]
14-13	1402-1406	wiki	*[788]	SOFTWARE[788]
14-14	1406-1407	/	*[788]	SOFTWARE[788]
14-15	1407-1417	Derivative	*[788]	SOFTWARE[788]
14-16	1417-1418	\_	*[788]	SOFTWARE[788]
14-17	1418-1419	(	*[788]	SOFTWARE[788]
14-18	1419-1426	finance	*[788]	SOFTWARE[788]
14-19	1426-1427	)	*[788]	SOFTWARE[788]
14-20	1427-1428	)	*[788]	SOFTWARE[788]
14-21	1429-1431	in	*[788]	SOFTWARE[788]
14-22	1432-1435	the	*[788]	SOFTWARE[788]
14-23	1436-1444	presence	*[788]	SOFTWARE[788]
14-24	1445-1447	of	*[788]	SOFTWARE[788]
14-25	1448-1454	market	*[788]	SOFTWARE[788]
14-26	1455-1464	frictions	*[788]	SOFTWARE[788]
14-27	1465-1466	(	*[788]	SOFTWARE[788]
14-28	1466-1469	e.g	*[788]	SOFTWARE[788]
14-29	1469-1470	.	*[788]	SOFTWARE[788]
14-30	1470-1471	,	*[788]	SOFTWARE[788]
14-31	1472-1483	transaction	*[788]	SOFTWARE[788]
14-32	1484-1488	cost	*[788]	SOFTWARE[788]
14-33	1488-1489	)	*[788]	SOFTWARE[788]
14-34	1490-1492	is	*[788]	SOFTWARE[788]
14-35	1493-1494	a	*[788]	SOFTWARE[788]
14-36	1495-1506	challenging	*[788]	SOFTWARE[788]
14-37	1507-1511	task	*[788]	SOFTWARE[788]
14-38	1511-1512	.	*[788]	SOFTWARE[788]

#Text=In the absence of market frictions, the perfect hedge is accessible based on the \[Black-Scholes model\](https://en.wikipedia.org/wiki/Black%E2%80%93Scholes\_model).
15-1	1513-1515	In	*[788]	SOFTWARE[788]
15-2	1516-1519	the	*[788]	SOFTWARE[788]
15-3	1520-1527	absence	*[788]	SOFTWARE[788]
15-4	1528-1530	of	*[788]	SOFTWARE[788]
15-5	1531-1537	market	*[788]	SOFTWARE[788]
15-6	1538-1547	frictions	*[788]	SOFTWARE[788]
15-7	1547-1548	,	*[788]	SOFTWARE[788]
15-8	1549-1552	the	*[788]	SOFTWARE[788]
15-9	1553-1560	perfect	*[788]	SOFTWARE[788]
15-10	1561-1566	hedge	*[788]	SOFTWARE[788]
15-11	1567-1569	is	*[788]	SOFTWARE[788]
15-12	1570-1580	accessible	*[788]	SOFTWARE[788]
15-13	1581-1586	based	*[788]	SOFTWARE[788]
15-14	1587-1589	on	*[788]	SOFTWARE[788]
15-15	1590-1593	the	*[788]	SOFTWARE[788]
15-16	1594-1595	\[	*[788]	SOFTWARE[788]
15-17	1595-1608	Black-Scholes	*[788]	SOFTWARE[788]
15-18	1609-1614	model	*[788]	SOFTWARE[788]
15-19	1614-1615	\]	*[788]	SOFTWARE[788]
15-20	1615-1616	(	*[788]	SOFTWARE[788]
15-21	1616-1621	https	*[788]	SOFTWARE[788]
15-22	1621-1622	:	*[788]	SOFTWARE[788]
15-23	1622-1623	/	*[788]	SOFTWARE[788]
15-24	1623-1624	/	*[788]	SOFTWARE[788]
15-25	1624-1640	en.wikipedia.org	*[788]	SOFTWARE[788]
15-26	1640-1641	/	*[788]	SOFTWARE[788]
15-27	1641-1645	wiki	*[788]	SOFTWARE[788]
15-28	1645-1646	/	*[788]	SOFTWARE[788]
15-29	1646-1651	Black	*[788]	SOFTWARE[788]
15-30	1651-1652	%	*[788]	SOFTWARE[788]
15-31	1652-1655	E2%	*[788]	SOFTWARE[788]
15-32	1655-1658	80%	*[788]	SOFTWARE[788]
15-33	1658-1673	93Scholes\_model	*[788]	SOFTWARE[788]
15-34	1673-1674	)	*[788]	SOFTWARE[788]
15-35	1674-1675	.	*[788]	SOFTWARE[788]

#Text=The real market, in contrast, always involves frictions and thereby makes hedging optimization much more challenging.
16-1	1676-1679	The	*[788]	SOFTWARE[788]
16-2	1680-1684	real	*[788]	SOFTWARE[788]
16-3	1685-1691	market	*[788]	SOFTWARE[788]
16-4	1691-1692	,	*[788]	SOFTWARE[788]
16-5	1693-1695	in	*[788]	SOFTWARE[788]
16-6	1696-1704	contrast	*[788]	SOFTWARE[788]
16-7	1704-1705	,	*[788]	SOFTWARE[788]
16-8	1706-1712	always	*[788]	SOFTWARE[788]
16-9	1713-1721	involves	*[788]	SOFTWARE[788]
16-10	1722-1731	frictions	*[788]	SOFTWARE[788]
