#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text= 
0-0	0-1	 	*[507]|*[523]|*[534]	DATASET[507]|ONTOLOGY[507]|WORKSHOP[507]|PROJECT[507]|LICENSE[507]|PUBLICATION[507]|EVALMETRIC[507]|PROGLANG[507]|SOFTWARE[523]|CONFERENCE[534]
1-16	104-118	implementation	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-17	119-122	for	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-18	123-126	the	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-19	127-128	\[	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-20	128-133	paper	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-21	133-134	\]	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-22	134-135	(	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-23	135-140	https	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-24	140-141	:	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-25	141-142	/	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-26	142-143	/	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-27	143-152	arxiv.org	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-28	152-153	/	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-29	153-156	abs	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-30	156-157	/	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-31	157-167	2106.02817	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-32	167-168	)	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-33	168-169	:	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-34	171-172	>	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-35	173-178	Liang	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-36	179-181	Qu	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-37	181-182	,	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-38	183-192	Huaisheng	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-39	193-196	Zhu	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-40	196-197	,	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-41	198-203	Ruiqi	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-42	204-209	Zheng	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-43	209-210	,	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-44	211-216	Yuhui	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-45	217-220	Shi	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-46	220-221	,	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-47	222-225	and	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-48	226-233	Hongzhi	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-49	234-237	Yin	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-50	237-238	.	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-51	239-243	2021	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-52	243-244	.	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]

#Text=ImGAGN:Imbalanced Network Embedding via Generative Adversarial Graph Networks.
2-1	245-251	ImGAGN	*[509]|*[525]	DATASET[509]|PROGLANG[509]|CONFERENCE[509]|ONTOLOGY[509]|WORKSHOP[509]|LICENSE[509]|PUBLICATION[509]|EVALMETRIC[509]|PROJECT[509]|SOFTWARE[525]
2-2	251-252	:	*[509]|*[525]	DATASET[509]|PROGLANG[509]|CONFERENCE[509]|ONTOLOGY[509]|WORKSHOP[509]|LICENSE[509]|PUBLICATION[509]|EVALMETRIC[509]|PROJECT[509]|SOFTWARE[525]
2-3	252-262	Imbalanced	*[509]|*[525]	DATASET[509]|PROGLANG[509]|CONFERENCE[509]|ONTOLOGY[509]|WORKSHOP[509]|LICENSE[509]|PUBLICATION[509]|EVALMETRIC[509]|PROJECT[509]|SOFTWARE[525]
2-4	263-270	Network	*[509]|*[525]	DATASET[509]|PROGLANG[509]|CONFERENCE[509]|ONTOLOGY[509]|WORKSHOP[509]|LICENSE[509]|PUBLICATION[509]|EVALMETRIC[509]|PROJECT[509]|SOFTWARE[525]
2-5	271-280	Embedding	*[509]|*[525]	DATASET[509]|PROGLANG[509]|CONFERENCE[509]|ONTOLOGY[509]|WORKSHOP[509]|LICENSE[509]|PUBLICATION[509]|EVALMETRIC[509]|PROJECT[509]|SOFTWARE[525]
2-6	281-284	via	*[509]|*[525]	DATASET[509]|PROGLANG[509]|CONFERENCE[509]|ONTOLOGY[509]|WORKSHOP[509]|LICENSE[509]|PUBLICATION[509]|EVALMETRIC[509]|PROJECT[509]|SOFTWARE[525]
2-7	285-295	Generative	*[509]|*[525]	DATASET[509]|PROGLANG[509]|CONFERENCE[509]|ONTOLOGY[509]|WORKSHOP[509]|LICENSE[509]|PUBLICATION[509]|EVALMETRIC[509]|PROJECT[509]|SOFTWARE[525]
2-8	296-307	Adversarial	*[509]|*[525]	DATASET[509]|PROGLANG[509]|CONFERENCE[509]|ONTOLOGY[509]|WORKSHOP[509]|LICENSE[509]|PUBLICATION[509]|EVALMETRIC[509]|PROJECT[509]|SOFTWARE[525]
2-9	308-313	Graph	*[509]|*[525]	DATASET[509]|PROGLANG[509]|CONFERENCE[509]|ONTOLOGY[509]|WORKSHOP[509]|LICENSE[509]|PUBLICATION[509]|EVALMETRIC[509]|PROJECT[509]|SOFTWARE[525]
2-10	314-322	Networks	*[509]|*[525]	DATASET[509]|PROGLANG[509]|CONFERENCE[509]|ONTOLOGY[509]|WORKSHOP[509]|LICENSE[509]|PUBLICATION[509]|EVALMETRIC[509]|PROJECT[509]|SOFTWARE[525]
2-11	322-323	.	*[509]|*[525]	DATASET[509]|PROGLANG[509]|CONFERENCE[509]|ONTOLOGY[509]|WORKSHOP[509]|LICENSE[509]|PUBLICATION[509]|EVALMETRIC[509]|PROJECT[509]|SOFTWARE[525]

#Text=In Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery and Data Mining (KDD ’21), August 14–18, 2021, Virtual Event, Singapore.
3-1	324-326	In	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-2	327-338	Proceedings	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-3	339-341	of	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-4	342-345	the	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-5	346-350	27th	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-6	351-354	ACM	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-7	355-361	SIGKDD	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-8	362-372	Conference	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-9	373-375	on	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-10	376-385	Knowledge	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-11	386-395	Discovery	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-12	396-399	and	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-13	400-404	Data	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-14	405-411	Mining	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-15	412-413	(	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-16	413-416	KDD	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-17	417-418	’	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-18	418-420	21	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-19	420-421	)	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-20	421-422	,	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-21	423-429	August	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-22	430-432	14	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-23	432-433	–	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-24	433-435	18	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-25	435-436	,	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-26	437-441	2021	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-27	441-442	,	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-28	443-450	Virtual	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-29	451-456	Event	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-30	456-457	,	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-31	458-467	Singapore	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]
3-32	467-468	.	*[510]|*[526]	PROGLANG[510]|CONFERENCE[510]|DATASET[510]|ONTOLOGY[510]|PUBLICATION[510]|WORKSHOP[510]|PROJECT[510]|LICENSE[510]|EVALMETRIC[510]|SOFTWARE[526]

#Text=ACM, New York, NY, USA, 9 pages. https://doi.org/10.11453447548.3467334  ## Introduction  This work presents a generative adversarial graph network model, called ImGAGN to address the imbalanced classification problem on graphs.
4-1	469-472	ACM	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-2	472-473	,	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-3	474-477	New	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-4	478-482	York	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-5	482-483	,	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-6	484-486	NY	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-7	486-487	,	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-8	488-491	USA	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-9	491-492	,	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-10	493-494	9	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
